,id,scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_clean
id,1.0,,0.3161710686789462,0.09141395247590338,0.06725047481422171,,0.15450061990922045,-0.024754120785565787,-0.0928512437434412,0.001984628120739429,-0.042015938165910496,-0.10255173251597237,0.075670776935995,-0.43309757053798803,0.06735234474697005,0.07600647708129867,-0.48842534251558023,-0.49321216171690746,0.07668142115941477,-0.4938365715762789,,0.03224662806679575,0.02295762429358293,0.022337715062913474,0.02617807894400337,-0.5326462705476319,-0.2124728401840083,-0.07134707893207824,0.02160283796225376,-0.36695933494596905,-0.2244066677842154,-0.22187727427237822,-0.11308132204834238,-0.09855986750820384,-0.14152644130989245,-0.10987059794856,-0.08691411210834728,-0.18070574038783835,-0.08099934036993495,,0.07288606242711555,0.00989747228709012,0.11378024484754339,,-0.03518867122592596,-0.09395973365687221
scrape_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_id,0.3161710686789462,,1.0,-0.03055304177743341,-0.05070488302487535,,0.1333069202178573,0.028171148541607852,-0.0351402064597447,0.016766742940078554,-0.01278859914372478,-0.026721086735113905,0.06222636632108715,-0.2963748450372982,0.06795574972157015,0.06086372980550149,-0.22984664894295484,-0.24522717000260402,0.061534074638755085,-0.2445535434925981,,0.027521970331618933,-0.001837759706936096,-0.028856080087157863,0.01673481566595219,-0.24174474591998812,-0.0930734373174733,-0.06756422725220317,-0.0296022636991584,-0.18920955996880873,-0.09871188270321377,-0.09464623663325361,-0.16273466161379246,-0.15554426638468005,-0.1537919737333227,-0.1749618769094825,-0.15570540681906891,-0.16232134603253018,-0.1548021819813364,,-0.05115125315254565,-0.0829606359384195,0.04461512447969406,,-0.041801813025267184,-0.027742808564245366
host_listings_count,0.09141395247590338,,-0.03055304177743341,1.0,0.97279193411456,,-0.07047362797463429,0.12313211656372612,0.03064404129218021,-0.04571878048834209,0.03264257181323733,0.03607775394233188,0.02169923136464607,0.15985039855760935,0.01737841310906177,0.024268970400548748,0.15526550100564326,0.15066300520993475,0.020970724736591666,0.15118685352504296,,-0.029000823746899506,-0.06018914360885331,-0.08261162602498584,-0.08668988132478314,-0.08353171880011656,-0.11059349373452822,-0.09090203400577143,-0.07984124746155978,-0.09159372268930031,-0.08704419232066912,-0.08099238984923732,-0.2970317987727794,-0.22523433384729805,-0.3426512159930416,-0.26954074308341003,-0.3580796292908064,-0.2660264221987675,-0.3396805429316352,,0.010069560778951095,0.049710934202902304,-0.06448624872797275,,-0.11917489040979255,0.0209390166645847
host_total_listings_count,0.06725047481422171,,-0.05070488302487535,0.97279193411456,1.0,,-0.07385059037107836,0.1091317983870267,0.05277253513481567,-0.042303948694079316,0.05568242813651897,0.048784207595788776,-0.002200838385641131,0.17508137397732035,-0.0036091551047610295,0.0029939821812186873,0.14459672036629603,0.1402581128806266,-0.0021101221104959872,0.1407360456532898,,-0.003009180809441247,-0.02757167078060445,-0.04550613781152652,-0.040711502259103936,-0.07293457514596136,-0.09844284663608115,-0.079098636552164,-0.04313588130111406,-0.07920164308834336,-0.10087834132748126,-0.08290352160640385,-0.21585074279079178,-0.18966782015863498,-0.2792585152861621,-0.194003436269037,-0.30240484483905355,-0.19944433479967794,-0.23868332955256477,,0.0016769448636806815,0.03965560881508088,-0.06282932827816733,,-0.10499035709392791,0.02552023449609658
neighbourhood_group_cleansed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude,0.15450061990922045,,0.1333069202178573,-0.07047362797463429,-0.07385059037107836,,1.0,-0.5330924732933563,-0.014734542182704998,0.0942770207379738,-0.00885575976060756,0.019948884140566173,0.11284288508684655,-0.14033032617027574,0.11847387871611323,0.12216061979780295,-0.18554919723346555,-0.19814902239231916,0.12018030796626614,-0.19770942416778778,,0.12058924808145582,0.13309141620339418,0.1341090927589153,0.10604771984572366,-0.16093166886875945,-0.15167882558461354,-0.13022735326519463,0.13333534745658163,-0.1307408090010539,-0.1667132953271566,-0.15044090334762236,-0.020328358926184644,-0.03152511827516701,0.011771080369758095,-0.007636681654408456,0.021287222484877116,0.06600786330158323,-0.00463086655668657,,0.21789016480787524,0.0884400106281752,0.24327893608487083,,-0.16616928251793175,-0.02446378070937994
longitude,-0.024754120785565787,,0.028171148541607852,0.12313211656372612,0.1091317983870267,,-0.5330924732933563,1.0,-0.08809998000074791,-0.21587188188336626,-0.20659736550638483,-0.18464026692465302,-0.1368885800966488,-0.0017471716022269383,-0.13641814026144639,-0.16340966508120067,0.0032370006512088844,0.020716692891414677,-0.15311344307586736,0.019664195776810927,,0.07372823173418695,0.042148880456037006,0.0033215959581370065,-0.0781637453763374,0.0371386031469974,-0.028386570296331393,-0.03482575868357051,0.0076765497260459364,-0.037928143216600284,-0.0445206350300084,-0.12417567493007246,-0.20568321121736588,-0.20095557340676698,-0.1547816312218502,-0.15788151915106827,-0.12908535687909473,-0.29336865623830777,-0.19608511051615207,,-0.10823363491563763,0.058884375873052563,-0.29190080787173817,,0.055777995062104006,-0.11306562569975644
accommodates,-0.0928512437434412,,-0.0351402064597447,0.03064404129218021,0.05277253513481567,,-0.014734542182704998,-0.08809998000074791,1.0,0.5262693417736658,0.8604486201472267,0.8395146719655153,-0.11812537924433653,0.05528085732821117,-0.11336404080532057,-0.10077751050198709,0.19207247424828983,0.18556180325539445,-0.11197224235671532,0.186143625223563,,-0.018805659312684013,-0.032361974049807174,-0.028558858160957674,-0.018749217039662123,0.03323852556622247,0.08527826678774239,0.03938929042626203,-0.02951669264406284,0.045441464345934345,0.11278467861162843,0.47428015286364106,0.004482403618665112,-0.017913326603832182,0.013060747193351591,0.011027188846076327,0.016734651559744566,0.00862139828197668,0.0005204527356588806,,-0.046654031381024974,0.05679160340314772,-0.17817915007995425,,0.08852318512011637,0.6728799950977554
bathrooms,0.001984628120739429,,0.016766742940078554,-0.04571878048834209,-0.042303948694079316,,0.0942770207379738,-0.21587188188336626,0.5262693417736658,1.0,0.5310903969988684,0.4877587127656049,-0.061070077944914355,-0.05622966686362585,-0.056822112755942886,-0.05713379061318308,0.15182702292281003,0.14073924767358625,-0.06465957694678154,0.14160044889142667,,0.007839216091199556,0.012542725142996931,0.02201360690263533,-0.026396005906145097,-0.029421433183146054,0.06462106117773762,0.06818353120497017,0.02115736528649621,0.0778285374405788,0.06232893068522262,0.25627156070753676,0.06788403293843477,0.05235013360321618,0.08737088656543866,0.051695814031260355,0.04482143999423578,0.12158014809894122,0.07891762260146473,,0.08302722209971694,-0.05421065220518344,0.23377499569929125,,0.02241414441465702,0.4790985677214733
