variable_name,data_type,n_unique,n_missing,pct_missing,min,max,range,mean,median,std,precision,mode
id,continuous,460.0,0,0.0,2992450,1522036487464000982,1.5220364874610086e+18,8.32803448991777e+17,9.923371912265157e+17,5.542559025360751e+17,0.0,2992450
listing_url,discrete_categorical,460.0,0,0.0,https://www.airbnb.com/rooms/1004978540001566331,https://www.airbnb.com/rooms/999161887055542119,,,,,,https://www.airbnb.com/rooms/1004978540001566331
scrape_id,discrete_numeric,1.0,0,0.0,20251005230129,20251005230129,0.0,20251005230129.0,20251005230129.0,0.0,0.0,20251005230129
last_scraped,discrete_categorical,2.0,0,0.0,2025-10-05,2025-10-06,,,,,,2025-10-05
source,discrete_categorical,2.0,0,0.0,city scrape,previous scrape,,,,,,city scrape
name,discrete_categorical,456.0,0,0.0,"""The Albany Allen Home"" Private Bedroom 1",🪴 Historic & Homey 1 Bdrm Apt @ Downtown Albany,,,,,,Funky Urban Gem: Prime Central Location - Parking!
description,discrete_categorical,395.0,9,1.96,"""The Red House,"" an inspiring 4-bedroom, 2nd-floor...","✔ 4 Bedrooms with 5 Beds, plus a sofa bed! ✔ Dedic...",,,,,,Welcome to your cozy Albany retreat! Enjoy a comfo...
neighborhood_overview,discrete_categorical,148.0,280,60.87,+ 92 Walkscore + 5-minute walk to MVP Arena + 13-m...,"minutes away from Movie theaters , Crossgates mall...",,,,,,+ 92 Walkscore + 5-minute walk to MVP Arena + 13-m...
picture_url,discrete_categorical,452.0,0,0.0,https://a0.muscache.com/pictures/094b32c2-2966-4b1...,https://a0.muscache.com/pictures/prohost-api/Hosti...,,,,,,https://a0.muscache.com/pictures/miso/Hosting-1158...
host_id,continuous,189.0,0,0.0,649068,710552538,709903470.0,248147079.11956522,232778464.0,195415891.0013965,0.0,232967878
host_url,discrete_categorical,189.0,0,0.0,https://www.airbnb.com/users/show/1017349,https://www.airbnb.com/users/show/98744672,,,,,,https://www.airbnb.com/users/show/232967878
host_name,discrete_categorical,168.0,0,0.0,Abdelrahman,Zuhair,,,,,,Diana
host_since,discrete_categorical,186.0,0,0.0,2011-05-31,2025-07-30,,,,,,2018-12-28
host_location,discrete_categorical,32.0,107,23.26,"Albany, NY","Woodbury, NY",,,,,,"Albany, NY"
host_about,discrete_categorical,91.0,213,46.3,I am a mechanical engineer. I'm easy going and lov...,"hi, I’m Tim. Living in Albany after leaving Irelan...",,,,,,Airbnb has transformed every part of my life for t...
host_response_time,discrete_categorical,4.0,26,5.65,a few days or more,within an hour,,,,,,within an hour
host_response_rate,discrete_categorical,13.0,26,5.65,0%,99%,,,,,,100%
host_acceptance_rate,discrete_categorical,38.0,13,2.83,0%,99%,,,,,,100%
host_is_superhost,discrete_categorical,2.0,3,0.65,f,t,,,,,,t
host_thumbnail_url,discrete_categorical,177.0,0,0.0,https://a0.muscache.com/defaults/user_pic-50x50.pn...,https://z0.muscache.cn/im/pictures/user/c33b52e9-2...,,,,,,https://a0.muscache.com/im/pictures/user/User/orig...
host_picture_url,discrete_categorical,177.0,0,0.0,https://a0.muscache.com/defaults/user_pic-225x225....,https://z0.muscache.cn/im/pictures/user/c33b52e9-2...,,,,,,https://a0.muscache.com/im/pictures/user/User/orig...
host_neighbourhood,discrete_categorical,35.0,80,17.39,Arbor Hill,West Hill,,,,,,Pine Hills
host_listings_count,discrete_numeric,20.0,0,0.0,1,1250,1249.0,34.68043478260869,5.0,158.75684003182718,0.0,1
host_total_listings_count,discrete_numeric,24.0,0,0.0,1,2692,2691.0,57.280434782608694,6.5,314.0068440198618,0.0,1
host_verifications,discrete_categorical,3.0,0,0.0,"['email', 'phone', 'work_email']",['phone'],,,,,,"['email', 'phone']"
host_has_profile_pic,discrete_categorical,2.0,0,0.0,f,t,,,,,,t
host_identity_verified,discrete_categorical,2.0,0,0.0,f,t,,,,,,t
neighbourhood,discrete_categorical,1.0,280,60.87,Neighborhood highlights,Neighborhood highlights,,,,,,Neighborhood highlights
neighbourhood_cleansed,discrete_categorical,15.0,0,0.0,EIGHTH WARD,TWELFTH WARD,,,,,,SIXTH WARD
neighbourhood_group_cleansed,empty,,460,100.0,,,,,,,,
latitude,continuous,439.0,0,0.0,42.63066,42.7149,0.0842400000000012,42.659091783657196,42.65776842924778,0.010621549866465007,15.0,42.64535
longitude,continuous,447.0,0,0.0,-73.87649,-73.73825,0.13824000000001035,-73.7763977262884,-73.77428275,0.018478068513823196,14.0,-73.82402
property_type,discrete_categorical,19.0,0,0.0,Entire condo,Room in hotel,,,,,,Entire rental unit
room_type,discrete_categorical,2.0,0,0.0,Entire home/apt,Private room,,,,,,Entire home/apt
accommodates,discrete_numeric,15.0,0,0.0,1,16,15.0,3.4434782608695653,2.0,2.4643561139111494,0.0,2
bathrooms,discrete_numeric,11.0,35,7.61,0.0,7.0,7.0,1.2317647058823529,1.0,0.6358421404129899,0.0,1.0
bathrooms_text,discrete_categorical,19.0,0,0.0,0 baths,Private half-bath,,,,,,1 bath
bedrooms,discrete_numeric,9.0,8,1.74,0.0,9.0,9.0,1.5995575221238938,1.0,1.100815975832651,0.0,1.0
beds,discrete_numeric,10.0,35,7.61,0.0,10.0,10.0,1.8376470588235294,1.0,1.3155435484881994,0.0,1.0
amenities,discrete_categorical,447.0,0,0.0,"[""32 inch HDTV with Amazon Prime Video, Netflix, D...","[""Wine glasses"", ""Wolf stove"", ""Oven"", ""Dishes and...",,,,,,"[""Fire extinguisher"", ""Carbon monoxide alarm"", ""Ai..."
price,discrete_categorical,166.0,35,7.61,"$1,050.00",$99.00,,,,,,$56.00
minimum_nights,discrete_numeric,20.0,0,0.0,1,365,364.0,7.1173913043478265,2.0,22.249802861703596,0.0,1
maximum_nights,discrete_numeric,39.0,0,0.0,1,1125,1124.0,487.54782608695655,365.0,396.4992779895623,0.0,365
minimum_minimum_nights,discrete_numeric,21.0,0,0.0,1,365,364.0,6.808695652173913,2.0,22.130685585456543,0.0,1
maximum_minimum_nights,discrete_numeric,20.0,0,0.0,1,365,364.0,7.8130434782608695,2.0,23.600059162213537,0.0,1
minimum_maximum_nights,discrete_numeric,34.0,0,0.0,1,1125,1124.0,633.1543478260869,365.0,437.99702558978595,0.0,1125
maximum_maximum_nights,discrete_numeric,33.0,0,0.0,1,1125,1124.0,645.4391304347826,365.0,437.9192663819705,0.0,1125
minimum_nights_avg_ntm,continuous,50.0,0,0.0,1.0,365.0,364.0,7.405434782608696,2.0,22.55125637960266,1.0,1.0
maximum_nights_avg_ntm,continuous,37.0,0,0.0,1.0,1125.0,1124.0,644.7534782608695,365.0,437.2365447765011,1.0,1125.0
calendar_updated,empty,,460,100.0,,,,,,,,
has_availability,discrete_categorical,1.0,7,1.52,t,t,,,,,,t
availability_30,discrete_numeric,30.0,0,0.0,0,30,30.0,15.641304347826088,17.0,11.188211117589164,0.0,0
availability_60,continuous,58.0,0,0.0,0,60,60.0,37.13695652173913,44.0,21.41621826234536,0.0,0
availability_90,continuous,75.0,0,0.0,0,90,90.0,60.006521739130434,71.0,30.443668485225402,0.0,0
availability_365,continuous,195.0,0,0.0,0,365,365.0,240.26739130434783,272.5,122.26368973494354,0.0,365
calendar_last_scraped,discrete_categorical,2.0,0,0.0,2025-10-05,2025-10-06,,,,,,2025-10-05
number_of_reviews,continuous,153.0,0,0.0,0,962,962.0,60.56956521739131,20.0,111.43837530225677,0.0,0
number_of_reviews_ltm,continuous,70.0,0,0.0,0,143,143.0,14.404347826086957,6.0,20.07756154983095,0.0,0
number_of_reviews_l30d,discrete_numeric,11.0,0,0.0,0,11,11.0,1.0695652173913044,0.0,1.8220232912158583,0.0,0
availability_eoy,continuous,76.0,0,0.0,0,88,88.0,58.18913043478261,69.0,29.853474621132918,0.0,0
number_of_reviews_ly,continuous,70.0,0,0.0,0,139,139.0,13.217391304347826,4.0,21.338145947638303,0.0,0
estimated_occupancy_l365d,continuous,63.0,0,0.0,0,255,255.0,82.94565217391305,54.0,84.18412284266807,0.0,0
estimated_revenue_l365d,continuous,314.0,35,7.61,0.0,90780.0,90780.0,9753.905882352941,4806.0,12366.630670370461,1.0,0.0
first_review,discrete_categorical,351.0,61,13.26,2014-07-01,2025-09-26,,,,,,2023-11-05
last_review,discrete_categorical,152.0,61,13.26,2022-08-17,2025-10-05,,,,,,2025-09-28
