var1,var2,correlation
number_of_reviews,reviews_per_month,0.7530836695542427
availability_365,calculated_host_listings_count,0.21478906356670002
price_clean,number_of_reviews,-0.15217933638300618
reviews_per_month,calculated_host_listings_count,-0.13531652832168073
minimum_nights,reviews_per_month,-0.1320887874793123
price_clean,reviews_per_month,-0.13098431062562713
number_of_reviews,calculated_host_listings_count,-0.09542890782204361
number_of_reviews,minimum_nights,-0.08396902865199775
price_clean,availability_365,0.07396141734472286
price_clean,calculated_host_listings_count,0.06518453279138209
minimum_nights,calculated_host_listings_count,-0.06129858428568533
price_clean,minimum_nights,-0.044891539452006184
availability_365,reviews_per_month,0.03691844306514457
number_of_reviews,availability_365,-0.014755978404073344
availability_365,minimum_nights,0.0034360098591183093
