var1,var2,correlation
number_of_reviews,reviews_per_month,0.6144880855097652
availability_365,reviews_per_month,0.25180398195478626
availability_365,calculated_host_listings_count,0.2440417621351341
price_clean,calculated_host_listings_count,0.20964267096365918
minimum_nights,reviews_per_month,-0.11380742170327379
number_of_reviews,availability_365,0.10381769239972974
number_of_reviews,calculated_host_listings_count,-0.06648611396239659
number_of_reviews,minimum_nights,-0.06328690435582413
price_clean,reviews_per_month,-0.05372927509704523
price_clean,availability_365,0.04987337069063335
price_clean,number_of_reviews,-0.04321388661475838
price_clean,minimum_nights,-0.031235293117611744
availability_365,minimum_nights,0.024262552545754636
reviews_per_month,calculated_host_listings_count,0.0019177956774263515
minimum_nights,calculated_host_listings_count,0.0007187978029872694
