variable_name,data_type,n_unique,n_missing,pct_missing,min,max,range,mean,median,std,precision,mode
id,continuous,15187,0,0,5456,1.44166E+18,1.44E+18,6.00E+17,6.97E+17,5.52E+17,0,5456
listing_url,discrete_categorical,15187,0,0,https://www.airbnb.com/rooms/1000016109686428185,https://www.airbnb.com/rooms/999823,,,,,,https://www.airbnb.com/rooms/1000016109686428185
scrape_id,discrete_numeric,1,0,0,2.02506E+13,2.02506E+13,0,2.02506E+13,2.02506E+13,0.003906379,0,2.02506E+13
last_scraped,discrete_categorical,2,0,0,6/13/2025,6/14/2025,,,,,,6/13/2025
source,discrete_categorical,2,0,0,city scrape,previous scrape,,,,,,city scrape
name,discrete_categorical,14826,0,0,! Hip East Austin Bungalow Haven with Backyard !,🤟🏽This Must Be The Place👌🏼,,,,,,Wyndham Austin Resort|1BR/1BA King Bed w/ Gym&Pool
description,discrete_categorical,13245,347,2.28,This is a modern two-bedroom house in the heart of...,🦋 Welcome to Mariposa House. If you appreciate ecl...,,,,,,Please click on -show more- and read the descripti...
neighborhood_overview,discrete_categorical,6332,7273,47.89,"""A mile from downtown, East Austin has historicall...",🧭 Prime Location = Endless Possibilities 🎓 0.5 mi ...,,,,,,"• CW Austin Resort is in Austin, Texas."
picture_url,discrete_categorical,14750,1,0.01,https://a0.muscache.com/pictures/001c5c6a-d2b7-495...,https://a0.muscache.com/pictures/prohost-api/Hosti...,,,,,,https://a0.muscache.com/pictures/miso/Hosting-1400...
host_id,continuous,8877,0,0,23,700650145,700650122,181790758.8,84767145,200863059.3,0,107434423
host_url,discrete_categorical,8877,0,0,https://www.airbnb.com/users/show/100075823,https://www.airbnb.com/users/show/9999092,,,,,,https://www.airbnb.com/users/show/107434423
host_name,discrete_categorical,3566,2,0.01,A,Zvi,,,,,,RoomPicks
host_since,discrete_categorical,3881,2,0.01,3/3/2008,6/11/2025,,,,,,2/20/2023
host_location,discrete_categorical,527,2567,16.9,"Abilene, TX","Yellowstone National Park, WY",,,,,,"Austin, TX"
host_about,discrete_categorical,4790,5836,38.43,,저는 텍사스 에서만 40여년 살고있는 교포 입니다. 집에 빈방이 있어 여행객들이 편하게 여...,,,,,,Vacasa Vacation Home Management Vacasa unlocks the...
host_response_time,discrete_categorical,4,4319,28.44,a few days or more,within an hour,,,,,,within an hour
host_response_rate,discrete_categorical,43,4319,28.44,0%,99%,,,,,,100%
host_acceptance_rate,discrete_categorical,96,3499,23.04,0%,99%,,,,,,100%
host_is_superhost,discrete_categorical,2,478,3.15,f,t,,,,,,f
host_thumbnail_url,discrete_categorical,8701,2,0.01,https://a0.muscache.com/defaults/user_pic-50x50.pn...,https://z0.muscache.cn/im/users/9586902/profile_pi...,,,,,,https://a0.muscache.com/defaults/user_pic-50x50.pn...
