,id,scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_clean,log_price,price_per_accommodates,log_price_per_accommodates,log_reviews,log_accommodates,log_beds,price_zscore,price_percentile,log_price_zscore,reviews_zscore,reviews_percentile,reviews_per_month_zscore,occupancy_rate,occupancy_rate_booked,occupancy_is_capped,est_annual_revenue,est_annual_revenue_booked,revenue_per_accommodates,revenue_per_bedroom,log_est_revenue,host_listings_in_city,host_is_professional,pct_professional_hosts,pct_large_operators,median_host_listings,gini_host_concentration,market_professionalization_score,purchase_price,monthly_payment,zori_rent,annual_cash_flow,cash_on_cash_roi,cap_rate,price_to_rent_ratio,revenue_yield,annual_cash_flow_booked,cash_on_cash_roi_booked,cap_rate_booked,revenue_yield_booked
id,1.0,,0.4147706412020457,0.002441497310377941,0.005803608904255486,,0.0524835319619007,0.030600714620271714,0.11237197364432361,0.03502090039735738,0.07840759921875444,0.06944271890446899,-0.2085289971156072,-0.3085005542669391,-0.20895687050936101,-0.07337371831123758,-0.32243237931934793,-0.05353201257037206,-0.19760954334656,-0.05353116292971308,,0.10386530733821042,0.1401432913822548,0.15447817477571327,0.156339713670697,-0.3686103681074512,-0.04414517458976681,0.07298755144560849,0.1629364357324813,-0.15842609257346996,-0.03817670885211638,-0.045202184431473516,-0.001182698174353988,-0.035425544729820756,0.023900154896012903,-0.03743603590418431,-0.012567587027056626,0.006554061725455388,-0.029714064021773765,0.045680972293922754,0.026661854635801462,0.13461280092989275,-0.02284769580536543,0.19811070534293132,0.059731345819400566,0.11239487073688974,0.016396946415391966,0.014571096737471293,-0.40286522921343676,0.10444572724968101,0.07752992250908707,0.05973134581940136,0.1141706451508673,0.11239487073689083,-0.36861036810745135,-0.4007207293389829,0.19811070534293174,-0.15633971367069618,-0.03817670885211612,-0.017324733194890203,0.011342513317869327,-0.045202184431473516,0.004506544106631616,0.013051919686943036,-0.011687525804615509,0.045680972293922754,0.18904835720158203,,,,,,,,,0.01134251331786883,0.011342513317868695,0.011342513317868235,-0.040133605089822055,0.011342513317868235,-0.045202184431473384,-0.04520218443147396,-0.04520218443147353,-0.04520218443147353
scrape_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_id,0.4147706412020457,,1.0,-0.10928175586622424,-0.10690166221882368,,0.06884433239412124,0.059143214435422774,0.07796466431602199,-0.02491262029417443,0.06435867179766845,0.09289439282757206,-0.17608065112013715,-0.2838715729734766,-0.1814629695332963,-0.16776380964480098,-0.24556578141965152,0.04400809091189346,-0.18318311364999162,0.04429365701831556,,0.13681650666212677,0.15513542693334714,0.16093677484941615,-0.004714768600266837,-0.1062270266632492,0.08902993480409192,0.11931450783573735,0.16185140801214337,0.0274407161285068,0.09733611241868698,0.15314715574220028,-0.018680223991437928,-0.0297551454340909,0.03081615011350333,-0.005852101762504796,0.000571732740572273,0.033739102568007565,-0.0267516506706188,-0.09038827605076691,-0.10779581898256263,0.1241144569777281,0.019230451036197752,0.21789041413772184,0.05493238981103311,0.1237424368745113,0.02740516625366133,0.07731138523922756,-0.07761876116268032,0.04184162893296562,0.09811497601185427,0.054932389811033294,0.1184295428247262,0.12374243687451154,-0.10622702666324906,-0.07652036242404286,0.2178904141377218,0.0047147686002668165,0.09733611241868755,0.07562231245381555,0.06733017145760639,0.15314715574220028,0.04372311887917567,0.044719842685793335,0.07971686983173493,-0.09038827605076691,0.10071304785504694,,,,,,,,,0.06733017145760624,0.06733017145760618,0.06733017145760621,-0.04340695663607293,0.06733017145760621,0.15314715574220042,0.15314715574220053,0.15314715574220056,0.15314715574220056
host_listings_count,0.002441497310377941,,-0.10928175586622424,1.0,0.9922792690679165,,0.1449095757496159,0.045489251638906394,-0.11726435216908278,-0.08319780347960902,-0.12498421489765217,-0.13937606827700438,0.050132543849821014,0.4105218365922731,0.043559843138896465,0.877516645076565,0.29316825164340576,-0.015366597691174353,0.09364368249137986,-0.015356819758095455,,-0.19694821779883015,-0.24472290555464152,-0.2620242077127688,0.01821359902383489,-0.16328882150081733,-0.1813819711099037,-0.1557102437960248,-0.25484644637508835,-0.15825367514503957,-0.24892894313381295,-0.20401103922723407,-0.1961913620135395,-0.10162822523679872,-0.141452498406667,-0.23937447951523094,-0.2618554458806519,-0.05177612398241128,-0.28868287966394846,0.9679230751364913,0.9780903149746968,-0.08034804771124868,-0.02345423314754655,-0.15090277733039995,0.05492259697965703,0.20624878140110997,0.13803887606464305,0.36773120404152676,-0.3616293060696847,-0.08574371618383109,-0.15054456176648148,0.054922596979657345,0.25705062200680673,0.20624878140111122,-0.1632888215008167,-0.36745727119994326,-0.15090277733039936,-0.018213599023834747,-0.2489289431338128,-0.1202079869548587,0.07699557572406605,-0.20401103922723407,0.1278669654319727,0.11475185610073466,0.19286726230040774,0.9679230751364913,0.17741921663817403,,,,,,,,,0.07699557572406608,0.07699557572406632,0.07699557572406576,-0.060644449582686694,0.07699557572406576,-0.20401103922723415,-0.20401103922723487,-0.20401103922723432,-0.20401103922723432
host_total_listings_count,0.005803608904255486,,-0.10690166221882368,0.9922792690679165,1.0,,0.15678408462216145,0.05248166056594046,-0.1225260208179093,-0.09471798668045336,-0.11671190778418908,-0.14353631437199701,0.062280251601362774,0.4107286144297111,0.055155777355245766,0.8707104646706294,0.2742559860431701,-0.016728397471010233,0.10455912586454223,-0.016717590084656203,,-0.1832500233628959,-0.23058999374583664,-0.24805393467331735,0.031725667901989114,-0.17449836439062788,-0.19326350270830592,-0.166276512784949,-0.24060098811246539,-0.1689992008650761,-0.26069167593353804,-0.21095309689170255,-0.20702610084492906,-0.11734022913758538,-0.14626492267133823,-0.2541346585388345,-0.2872932666508127,-0.05193460915153063,-0.30293150263330254,0.9618634255391845,0.9690590777283554,-0.05921017666806649,-0.025587830128963734,-0.16390787077609775,0.0525292825352491,0.20032673023732994,0.1361383106888808,0.3661934732177,-0.37779625609537737,-0.09150081690700486,-0.15473747578731148,0.05252928253524924,0.25294850628014315,0.20032673023732986,-0.17449836439062796,-0.38386461315814213,-0.16390787077609686,-0.0317256679019891,-0.2606916759335388,-0.12471086199491313,0.07212179645059812,-0.21095309689170255,0.1248720162660966,0.11013761783471243,0.18652982185269756,0.9618634255391845,0.1922605422416406,,,,,,,,,0.0721217964505981,0.07212179645059817,0.072121796450598,-0.060414630618564044,0.072121796450598,-0.21095309689170255,-0.2109530968917027,-0.21095309689170244,-0.21095309689170244
neighbourhood_group_cleansed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude,0.0524835319619007,,0.06884433239412124,0.1449095757496159,0.15678408462216145,,1.0,0.3096859248403936,-0.1069852425052209,-0.09485446847548645,-0.16988735320787457,-0.12917834417713545,0.009331296730941284,0.08757174673400038,0.0018547625696047397,0.12924046498233427,-0.010077511318038482,0.02909354358287604,0.022552929888454695,0.02888283363699153,,-0.10847247666374335,-0.11509743976784645,-0.10373256978730469,-0.07690731803580035,0.040679896004395984,0.07575570149951046,0.06006100390287282,-0.09721636652913647,0.057043230803297235,0.042693245645393334,0.1374607326113287,-0.0534319084837111,-0.039121735570832455,-0.04874593620834174,-0.05717167025497888,-0.06107616767745973,0.21808133789718234,-0.09852303990281358,0.18468136514877434,0.1817350788982434,0.01920682693793266,0.016574763249026347,0.1390138784403858,0.11233676870781509,0.2359714301078922,0.13947116236258297,0.36151756885283176,-0.049981416936316,-0.04251299094742868,-0.11809257322627667,0.11233676870781473,0.2326677785412917,0.23597143010789204,0.04067989600439605,-0.054660616586733456,0.13901387844038604,0.07690731803580024,0.04269324564539348,0.07286500631408442,0.12148770650906025,0.1374607326113287,0.12234044855647973,0.13413842757054675,0.19749927786413285,0.18468136514877434,0.07897091712617403,,,,,,,,,0.12148770650906023,0.12148770650906025,0.12148770650906017,-0.04683943509814794,0.12148770650906017,0.13746073261132874,0.13746073261132818,0.13746073261132888,0.13746073261132888
longitude,0.030600714620271714,,0.059143214435422774,0.045489251638906394,0.05248166056594046,,0.3096859248403936,1.0,0.05269366031913763,0.04149974954783457,-0.03880932949119452,0.02677166030124157,-0.0818969535106991,0.007978015198674575,-0.07395939598484381,0.006595475384745237,-0.07245890826707102,0.01624862715772031,-0.07693758345806967,0.016079068014845963,,-0.026511432988898888,-0.02610436917802449,-0.018999102009355836,-0.001448565085201821,0.06181636923508053,0.052271385510670273,0.030160768482333768,-0.02012783791061933,0.07110142413122338,0.015404932529147515,0.09575197833257591,-0.05427955962447193,-0.05686467753067417,-0.04558573856338233,-0.05047417709454722,-0.04652276837152487,-0.021249239129686886,-0.06624373607578489,0.06400077124354155,0.060784771112444555,0.02222320496291287,0.005502362604444071,0.09547254771230536,0.08748884874130129,0.13984019998357658,0.06483919055751629,0.12795910604818264,0.0074750114286730495,0.05940622619718814,0.020770782095228413,0.08748884874130129,0.14203396005221797,0.13984019998357702,0.061816369235080465,0.0037399383949611002,0.09547254771230507,0.0014485650852018605,0.015404932529147467,0.02851749567728428,0.08516970337889994,0.09575197833257591,0.06167011845638399,0.0683135089970569,0.11791930175367875,0.06400077124354155,0.044683697208907004,,,,,,,,,0.08516970337889986,0.08516970337889995,0.0851697033789001,0.016442928026764135,0.0851697033789001,0.09575197833257601,0.09575197833257593,0.09575197833257608,0.09575197833257608
accommodates,0.11237197364432361,,0.07796466431602199,-0.11726435216908278,-0.1225260208179093,,-0.1069852425052209,0.05269366031913763,1.0,0.5467691018870773,0.7466867571505037,0.8633579657471774,-0.1535775048426963,-0.07894821805975533,-0.15859176035579492,-0.1522888802084061,-0.0372649311443489,-0.014790095443800009,-0.16158791114034438,-0.01495021473055259,,0.10788111638839284,0.12694812702939912,0.11888449885199441,0.07877740297347421,0.015536226808979507,0.08265299097225497,0.053971046742885095,0.1087876866829186,0.0564973020340435,0.0661439284879867,0.3211167371273919,0.10053274152955322,0.07832805781077098,0.13222675764824085,0.05256770967032392,0.05757464108371935,-0.003964913405319184,0.10345916556151838,-0.14310801018407454,-0.11393607290420232,-0.20536580076754124,-0.04775463116804296,0.10270006311586884,0.30046131775840557,0.5597152575503913,-0.10343092182518812,-0.29155995847613003,0.09774856777195869,0.9197140422869556,0.8460589119242922,0.3004613177584048,0.5504646156450902,0.5597152575503912,0.015536226808979694,0.1002662422936034,0.10270006311586896,-0.07877740297347398,0.06614392848798703,0.032707459825582846,0.15761227123073251,0.3211167371273919,-0.08703511235380636,-0.038373151544721186,0.21990537768477983,-0.14310801018407454,-0.12279493442399893,,,,,,,,,0.15761227123073257,0.1576122712307322,0.15761227123073326,-0.0792070035996618,0.15761227123073326,0.3211167371273919,0.3211167371273914,0.32111673712739164,0.32111673712739164
bathrooms,0.03502090039735738,,-0.02491262029417443,-0.08319780347960902,-0.09471798668045336,,-0.09485446847548645,0.04149974954783457,0.5467691018870773,1.0,0.5542403100243665,0.5574931405965158,-0.06093131612646745,-0.04721808301643131,-0.06451193464844021,-0.08688036140663624,-0.003361623836278556,-0.022075226993305698,-0.06848683326166663,-0.022076525286202138,,0.12079549017972892,0.1157772440304581,0.09335263485993667,0.0716506215863821,-0.02561780986312192,0.012339922716063496,-0.021998041617787487,0.08407791532643077,0.008462354152289738,0.006259884703018881,0.24494579150983933,0.06339942206314801,0.04627561837745005,0.04569862037675492,0.03141064153129354,0.020390436863383637,-0.03469470216141029,0.07328909365450494,-0.09481574123071126,-0.08021680085930931,-0.10753681236106669,-0.027644943213893436,-0.0007290866423485081,0.2554084052379075,0.35789382374114664,-0.040140897084960506,-0.055003811377444,0.013487816735311518,0.467375467780988,0.5106061544275796,0.25540840523790714,0.33883697251949824,0.3578938237411465,-0.025617809863122037,0.015337568753421687,-0.0007290866423484817,-0.07165062158638254,0.0062598847030189385,0.0219184693457802,0.11973407370451507,0.24494579150983933,-0.06164664669747395,-0.06324749577192704,0.13137150389286514,-0.09481574123071126,-0.06963807034472248,,,,,,,,,0.11973407370451498,0.11973407370451532,0.11973407370451498,-0.037510253971572705,0.11973407370451498,0.24494579150983928,0.2449457915098388,0.24494579150983797,0.24494579150983797
