variable_1,variable_2,correlation
est_annual_revenue,cash_on_cash_roi,1.0000000000000049
annual_cash_flow,cash_on_cash_roi,1.0000000000000047
log_price,log_price_zscore,1.000000000000003
annual_cash_flow,cap_rate,1.0000000000000029
est_annual_revenue,revenue_yield,1.0000000000000029
est_annual_revenue,cap_rate,1.0000000000000029
annual_cash_flow,revenue_yield,1.0000000000000029
cash_on_cash_roi,revenue_yield,1.000000000000001
cash_on_cash_roi,cap_rate,1.000000000000001
cap_rate_booked,revenue_yield_booked,1.0
est_annual_revenue,annual_cash_flow,1.0
cap_rate,revenue_yield,1.0
est_annual_revenue_booked,annual_cash_flow_booked,1.0
calculated_host_listings_count,host_listings_in_city,1.0
estimated_revenue_l365d,est_annual_revenue_booked,1.0
estimated_revenue_l365d,annual_cash_flow_booked,1.0
cash_on_cash_roi_booked,revenue_yield_booked,0.9999999999999999
cash_on_cash_roi_booked,cap_rate_booked,0.9999999999999999
price_clean,price_zscore,0.9999999999999994
number_of_reviews,reviews_zscore,0.9999999999999993
annual_cash_flow_booked,revenue_yield_booked,0.9999999999999992
annual_cash_flow_booked,cap_rate_booked,0.9999999999999992
reviews_per_month,reviews_per_month_zscore,0.9999999999999989
estimated_revenue_l365d,revenue_yield_booked,0.9999999999999988
est_annual_revenue_booked,revenue_yield_booked,0.9999999999999988
id,log_reviews,-0.40286522921343676
minimum_nights_avg_ntm,reviews_percentile,-0.4038121707723521
minimum_nights_avg_ntm,log_reviews,-0.40395382836841137
availability_90,log_est_revenue,-0.40920351656960074
minimum_nights_avg_ntm,reviews_per_month_zscore,-0.41273631267973404
minimum_nights_avg_ntm,reviews_per_month,-0.4127363126797355
minimum_minimum_nights,reviews_per_month,-0.4180642606813493
minimum_minimum_nights,reviews_per_month_zscore,-0.4180642606813507
minimum_nights,reviews_per_month,-0.42015394692516805
minimum_nights,reviews_per_month_zscore,-0.42015394692516866
availability_30,occupancy_rate,-0.42785325369533206
availability_365,annual_cash_flow,-0.4307559472304697
availability_365,est_annual_revenue,-0.4307559472304698
availability_365,cash_on_cash_roi,-0.43075594723046984
availability_365,cap_rate,-0.4307559472304709
availability_365,revenue_yield,-0.4307559472304709
availability_eoy,log_est_revenue,-0.4361038965239997
maximum_minimum_nights,log_reviews,-0.4504424910600319
maximum_minimum_nights,reviews_percentile,-0.45482900332295917
availability_60,occupancy_rate,-0.5282116900375419
log_est_revenue,price_to_rent_ratio,-0.5282254962265079
availability_90,occupancy_rate,-0.6094654457897627
availability_eoy,occupancy_rate,-0.6450339679992447
availability_365,log_est_revenue,-0.7210900411467198
availability_365,occupancy_rate,-1.0000000000000033
