variable_name,data_type,n_unique,n_missing,pct_missing,min,max,range,mean,median,std,precision,mode
id,continuous,4361.0,0,0.0,3781,1515466025834395498,1.5154660258343918e+18,6.472919376012582e+17,7.543425352708166e+17,5.796695090839553e+17,0.0,3781
listing_url,discrete_categorical,4361.0,0,0.0,https://www.airbnb.com/rooms/1000103798537447390,https://www.airbnb.com/rooms/999917182225322201,,,,,,https://www.airbnb.com/rooms/1000103798537447390
scrape_id,discrete_numeric,1.0,0,0.0,20250923202714,20250923202714,0.0,20250923202713.996,20250923202714.0,0.0039066979387664515,0.0,20250923202714
last_scraped,discrete_categorical,2.0,0,0.0,2025-09-23,2025-09-24,,,,,,2025-09-24
source,discrete_categorical,2.0,0,0.0,city scrape,previous scrape,,,,,,city scrape
name,discrete_categorical,4136.0,0,0.0,"""Casita"" on the Water - Harbor View",🎖The Boiler Room | Close to Subway + Downtown🎖,,,,,,"Blueground | Chinatown/Theater Dist, gym, nr t"
description,discrete_categorical,3387.0,47,1.08,"""Fully furnished one-bedroom in quiet neighborhood...","📍 Stay in the heart of South Boston, a vibrant nei...",,,,,,Please click on -show more- and read the descripti...
neighborhood_overview,discrete_categorical,1309.0,2128,48.8,"""Abutted by the Boston Common – the nation’s origi...",繁华,,,,,,This furnished apartment is located in the West En...
picture_url,discrete_categorical,4259.0,0,0.0,https://a0.muscache.com/pictures/000b0e3b-a23f-44d...,https://a0.muscache.com/pictures/prohost-api/Hosti...,,,,,,https://a0.muscache.com/pictures/aa16809d-fc42-457...
host_id,continuous,1475.0,0,0.0,4804,717956143,717951339.0,185749965.48796147,107434423.0,192627937.52068886,0.0,107434423
host_url,discrete_categorical,1475.0,0,0.0,https://www.airbnb.com/users/show/100148225,https://www.airbnb.com/users/show/98987494,,,,,,https://www.airbnb.com/users/show/107434423
host_name,discrete_categorical,1022.0,1,0.02,A Delightful Hotel,Zvi,,,,,,Blueground
host_since,discrete_categorical,1216.0,1,0.02,2008-12-03,2025-09-08,,,,,,2016-12-16
host_location,discrete_categorical,129.0,835,19.15,"Acton, MA","Winthrop, MA",,,,,,"Boston, MA"
host_about,discrete_categorical,797.0,1428,32.74,I'm originally from Spain but I've been in JP for ...,我叫Anne Wang，來自中國歷史文化名城——西安，大學主修旅遊英語與會計，曾在國內從事翻譯工作。...,,,,,,"We’re Blueground, a global proptech company with s..."
host_response_time,discrete_categorical,4.0,542,12.43,a few days or more,within an hour,,,,,,within an hour
host_response_rate,discrete_categorical,37.0,542,12.43,0%,99%,,,,,,100%
host_acceptance_rate,discrete_categorical,73.0,525,12.04,0%,99%,,,,,,100%
host_is_superhost,discrete_categorical,2.0,229,5.25,f,t,,,,,,f
host_thumbnail_url,discrete_categorical,1445.0,1,0.02,https://a0.muscache.com/defaults/user_pic-50x50.pn...,https://z1.muscache.cn/im/users/100252/profile_pic...,,,,,,https://a0.muscache.com/im/pictures/user/d0ad9599-...
host_picture_url,discrete_categorical,1445.0,1,0.02,https://a0.muscache.com/defaults/user_pic-225x225....,https://z1.muscache.cn/im/users/100252/profile_pic...,,,,,,https://a0.muscache.com/im/pictures/user/d0ad9599-...
host_neighbourhood,discrete_categorical,131.0,105,2.41,Allapattah,West Yarmouth,,,,,,Dorchester
host_listings_count,continuous,64.0,1,0.02,1.0,5084.0,5083.0,441.45183486238534,10.0,1360.0187585481917,1.0,1.0
host_total_listings_count,continuous,86.0,1,0.02,1.0,5865.0,5864.0,555.7112385321101,16.0,1576.6883199110443,1.0,1.0
host_verifications,discrete_categorical,5.0,1,0.02,"['email', 'phone', 'work_email']",['phone'],,,,,,"['email', 'phone']"
host_has_profile_pic,discrete_categorical,2.0,1,0.02,f,t,,,,,,t
host_identity_verified,discrete_categorical,2.0,1,0.02,f,t,,,,,,t
neighbourhood,discrete_categorical,1.0,2128,48.8,Neighborhood highlights,Neighborhood highlights,,,,,,Neighborhood highlights
neighbourhood_cleansed,discrete_categorical,25.0,0,0.0,Allston,West Roxbury,,,,,,Dorchester
neighbourhood_group_cleansed,empty,,4361,100.0,,,,,,,,
latitude,continuous,3443.0,0,0.0,42.23533,42.39184401563319,0.15651401563319212,42.336578054889074,42.34449233495892,0.027750427201405675,14.0,42.365947
longitude,continuous,3512.0,0,0.0,-71.17402,-70.996,0.17802000000000362,-71.08283444676943,-71.074088,0.03288040139958396,14.0,-71.063473
property_type,discrete_categorical,32.0,0,0.0,Boat,Tiny home,,,,,,Entire rental unit
room_type,discrete_categorical,3.0,0,0.0,Entire home/apt,Shared room,,,,,,Entire home/apt
accommodates,discrete_numeric,16.0,0,0.0,1,16,15.0,3.3460215546892913,2.0,2.421560905449488,0.0,2
bathrooms,discrete_numeric,15.0,854,19.58,0.0,7.5,7.5,1.2765896777872825,1.0,0.5990599244501678,0.0,1.0
bathrooms_text,discrete_categorical,25.0,0,0.0,0 baths,Shared half-bath,,,,,,1 bath
bedrooms,discrete_numeric,13.0,305,6.99,0.0,15.0,15.0,1.530078895463511,1.0,1.1795974542486525,0.0,1.0
beds,continuous,21.0,856,19.63,0.0,22.0,22.0,1.9238231098430814,1.0,1.6455853466424963,1.0,1.0
