,id,scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_clean,log_price,price_per_accommodates,log_price_per_accommodates,log_reviews,log_accommodates,log_beds,price_zscore,price_percentile,log_price_zscore,reviews_zscore,reviews_percentile,reviews_per_month_zscore,occupancy_rate,occupancy_rate_booked,occupancy_is_capped,est_annual_revenue,est_annual_revenue_booked,revenue_per_accommodates,revenue_per_bedroom,log_est_revenue,host_listings_in_city,host_is_professional,pct_professional_hosts,pct_large_operators,median_host_listings,gini_host_concentration,market_professionalization_score,purchase_price,monthly_payment,zori_rent,annual_cash_flow,cash_on_cash_roi,cap_rate,price_to_rent_ratio,revenue_yield,annual_cash_flow_booked,cash_on_cash_roi_booked,cap_rate_booked,revenue_yield_booked
id,1.0,,0.24542200492734137,-0.06888382339490563,-0.07323850291835934,,0.011606854381729958,-0.12518218566890613,-0.013614101932333459,0.059712388354763286,-0.006281275846072807,-0.08129114298190343,0.09163082342440573,-0.2940350377983913,0.09708130540829342,0.08711307828060603,-0.37678648153276595,-0.4127773830915411,0.09307394583219027,-0.3873825394911131,,-0.03980570236839789,-0.028715117263669036,-0.017453255549578627,-0.07871076276893968,-0.4586314429310415,-0.19119402971040858,-0.13024557184062024,-0.016508502561006527,-0.306884839558733,-0.17918320036547894,-0.16361178918005792,0.08072920450755941,0.03776702931271744,0.10254874468758675,0.014341755352496386,0.04386030085243414,-0.031249143674538887,0.05104044417262268,0.13275837989580913,0.1029722554384595,0.21110893002447564,-0.04709200894686525,-0.027533741432832045,-0.09660378558578482,-0.10111078626172017,-0.08884309781463003,-0.08860220697792333,-0.6060039619061653,-0.015719454868325267,-0.08115434731274568,-0.0966037855857848,-0.08931429556522455,-0.10111078626171911,-0.4586314429310411,-0.5972323320374832,-0.027533741432831597,0.07871076276893939,-0.17918320036547825,-0.10758488776278546,0.022156189002067155,-0.16361178918005792,0.053520355583456775,0.05439004170681203,-0.009366142384844029,0.13275837989580913,0.15302429657086503,,,,,,,,,0.022156189002067155,0.022156189002066666,0.022156189002066774,0.10646970949787073,0.022156189002066774,-0.1636117891800582,-0.1636117891800583,-0.1636117891800591,-0.1636117891800591
scrape_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_id,0.24542200492734137,,1.0,-0.051017865663142994,-0.0477811867361287,,-0.029656238115807105,-0.060397041899546706,0.11425592707923464,0.015170901572206847,-0.013446006413216593,0.08667378996069769,-0.01611063208293892,-0.06634312940563447,-0.015354096046610104,-0.0202223266299727,-0.09962851018260746,-0.10106969529168379,-0.010200934083694086,-0.10676056934401054,,-0.005751131566325932,0.010413778774579958,0.037039216735497364,0.06324766763663718,-0.12362497292305578,0.05272225555069148,0.014456999343845561,0.017109851413111683,-0.011922964269261632,0.056839236959438245,0.04303172173904659,0.004743433706705014,-0.03383517319327862,0.02703956899872936,-0.001546780153022884,-0.02196123817639103,-0.03173913644253962,0.02910069627364154,-0.07145239757848591,-0.10612683637405947,0.25983880068028614,-0.027523518550887194,0.08564941828292678,-0.022514905008622348,0.014386651045492398,-0.10246077458034855,-0.14696715603004504,-0.072708271215709,0.12914477468157984,0.0792837653332585,-0.022514905008622285,0.01243673818094305,0.01438665104549264,-0.12362497292305585,-0.06629039140650612,0.08564941828292698,-0.0632476676366373,0.056839236959438606,0.03372090950512053,-0.026246100908368278,0.04303172173904659,-0.06120288698219199,0.014129338033831063,-0.06167919547574228,-0.07145239757848591,0.02021719079891786,,,,,,,,,-0.026246100908368278,-0.026246100908368434,-0.02624610090836839,-0.001876203011568853,-0.02624610090836839,0.04303172173904645,0.04303172173904647,0.0430317217390462,0.0430317217390462
host_listings_count,-0.06888382339490563,,-0.051017865663142994,1.0,0.9962710770874406,,0.0030411733655771414,0.03996474890241415,0.09368200455076187,0.15711423416072007,0.11172023502527646,0.0895888824311324,0.025730304238340624,0.25494855732143085,0.03001482499622419,0.021155653190717324,0.04364635356124241,0.11465885218327919,0.03088192261961511,0.07128305166798098,,-0.012655868423291356,-0.021435249746694227,-0.020876001898158515,0.062256651795840875,-0.10788348589418013,-0.12222266388718236,-0.12524839706621604,-0.02542645022033002,-0.12029343732721685,-0.09264398970362622,-0.07134124157139368,-0.14802855383723446,-0.14920995719561395,-0.1873081623779878,-0.23297381209798626,-0.29719030721290135,-0.005609816685976693,-0.19463813912526753,0.2049207923800688,0.21030827444183642,-0.053690693863211764,-0.009467130140014785,-0.16850305580876734,0.06107183494061012,0.0565345954305552,-0.046043413032392885,-0.05240036083806756,-0.07600466176809349,0.10209385730169643,0.0993812481701341,0.06107183494061017,0.046990739624445034,0.05653459543055512,-0.10788348589418019,-0.1009479360401547,-0.1685030558087673,-0.06225665179584082,-0.09264398970362661,-0.08531983392144518,-0.03849155961400347,-0.07134124157139368,-0.08344460672778975,-0.08006830842242642,-0.02100313235149575,0.2049207923800688,0.22502619369778407,,,,,,,,,-0.03849155961400347,-0.038491559614003544,-0.03849155961400353,-0.006298807644880414,-0.03849155961400353,-0.0713412415713937,-0.07134124157139378,-0.07134124157139365,-0.07134124157139365
host_total_listings_count,-0.07323850291835934,,-0.0477811867361287,0.9962710770874406,1.0,,-0.004740210556862207,0.03926230017950264,0.08806225597696671,0.14212450922809358,0.1047625316216617,0.08092391683028992,0.029028599188027884,0.24000684429082267,0.03227926716779039,0.019389884488937005,0.07233825220825968,0.11462823437421706,0.030562884623980473,0.0901905639843578,,-0.01761645523552875,-0.028473870737748486,-0.028593288938511055,0.052915950608116935,-0.0946222714922527,-0.11010812639560073,-0.11590746128575223,-0.03335213632124615,-0.10866966178534404,-0.07803381552218133,-0.06317221367488049,-0.13366084636815745,-0.13958072956276388,-0.17669737714735426,-0.21415160498656563,-0.2872471342897149,0.0015513331939974926,-0.17108346232763183,0.15245809316533301,0.15764290998006786,-0.04824028661009501,-0.00870726144158309,-0.15390358095621298,0.054286369588342966,0.049907471107795066,-0.0466034302567937,-0.051875920487283005,-0.0603921945127629,0.09469079709294141,0.0894196035680547,0.05428636958834295,0.04101263855829872,0.049907471107795025,-0.09462227149225273,-0.08385031789353448,-0.1539035809562129,-0.052915950608117046,-0.07803381552218143,-0.07739028132388455,-0.0388352620406318,-0.06317221367488049,-0.07846275556962704,-0.07343137769972265,-0.015491734748493519,0.15245809316533301,0.1969035627100506,,,,,,,,,-0.0388352620406318,-0.038835262040631785,-0.038835262040631834,-0.010957116956008638,-0.038835262040631834,-0.0631722136748805,-0.06317221367488038,-0.06317221367488035,-0.06317221367488035
neighbourhood_group_cleansed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude,0.011606854381729958,,-0.029656238115807105,0.0030411733655771414,-0.004740210556862207,,1.0,-0.09828380777549771,0.010284754726553824,0.05580444333344696,-0.007411304409472552,-0.02141232453215089,-0.003714863915739695,0.09929287403500438,-0.0010253513609923472,0.010755068022418601,-0.04319943726221171,0.019664422931396513,0.005383261880727472,-0.0069690169906778225,,-0.10418246648467169,-0.09157390278186968,-0.11397284182076461,-0.10398635863265064,-0.012351997656717148,-0.024428048830871466,-0.018413992488443196,-0.10129060176652753,-0.03349981619410273,-0.04097692194143848,-0.016563484930805353,0.028278983128419043,0.05918514525373143,-0.07681613981863152,0.006959837535998008,-0.05843282690575416,-0.06594859592124139,-0.005027787991177237,0.15492363896773909,0.15400941184949374,-0.00504180200900607,-0.003134783742446609,-0.012335305546541041,0.06488028382038454,0.0880047724647125,0.021474123384369926,0.08381911391497651,-0.02690313785928278,0.00638760106009724,-0.02676364510302065,0.06488028382038448,0.08390303817316319,0.08800477246471224,-0.012351997656717123,-0.037324260363420105,-0.012335305546541013,0.10398635863265052,-0.040976921941438475,-0.003063788058308772,0.10632680072318319,-0.016563484930805353,0.06385340540605923,0.07649134710970015,0.16020695989735242,0.15492363896773909,-0.011462833585744155,,,,,,,,,0.10632680072318319,0.10632680072318339,0.10632680072318328,-0.09935222194799688,0.10632680072318328,-0.016563484930805412,-0.016563484930805318,-0.01656348493080535,-0.01656348493080535
longitude,-0.12518218566890613,,-0.060397041899546706,0.03996474890241415,0.03926230017950264,,-0.09828380777549771,1.0,-0.09060327085954169,-0.11181366722900409,-0.07536528639531995,-0.03064733216250223,-0.009724943959958937,0.05013549647042093,-0.007277480078872474,0.018956584129389404,0.010532301575946739,0.04226646307331725,0.0026987082810212234,0.019048063069902352,,0.055666905846462236,0.024916586715566385,0.03163812071907235,0.004499580955544206,0.045667660346240355,-0.03451916140426439,-0.06080470532981123,0.018198194462951924,-0.004160968656735973,-0.09084614712997884,-0.011660983898390402,-0.029580211223506035,-0.0018437082988428534,-0.062298879155834284,-0.02144252147378732,-0.01456414111673928,0.055906734409030906,-0.098090135784321,0.05633126566246815,0.04634476175677449,0.06447505789084071,0.026183586118031125,-0.03463356162280152,0.15477206948454303,0.1606100070904395,0.17805182839510375,0.23533824334427786,-0.001618311707903942,-0.07738534441115619,-0.004450145143239884,0.1547720694845433,0.1520428204969313,0.16061000709043957,0.045667660346240306,-0.006457338685532824,-0.03463356162280159,-0.004499580955544144,-0.09084614712997895,-0.052296304103128605,0.05956742282829533,-0.011660983898390402,0.08446187924723304,0.11290082701830506,0.06595807444962917,0.05633126566246815,0.1482653395782348,,,,,,,,,0.05956742282829533,0.05956742282829546,0.05956742282829541,-0.043198120372229025,0.05956742282829541,-0.01166098389839035,-0.011660983898390313,-0.011660983898390207,-0.011660983898390207
accommodates,-0.013614101932333459,,0.11425592707923464,0.09368200455076187,0.08806225597696671,,0.010284754726553824,-0.09060327085954169,1.0,0.6692691940401472,0.8266543178313513,0.8837271610537624,-0.09984199258085887,0.07909733994221575,-0.09967237503177966,-0.0838204399277401,0.007517364519424511,0.07861342580066162,-0.09935081101741398,0.051533558319792734,,-0.018009450615876197,-0.05094386535182065,-0.09316267196627019,0.0240156514875128,-0.12048261520596769,-0.0645930698956346,-0.11971540627714358,-0.08487087917449768,-0.08244337825100168,-0.039347422572017766,0.29720718855629497,0.03788864398819292,-0.0276270384848793,0.0019509052260340666,0.07899652954935447,-0.03282419274291659,-0.02454929630819322,0.006386315006397738,0.054174640684350434,0.06924198784915366,-0.10946121621940053,-0.02894929050143987,-0.1536323388505954,0.5224785045107397,0.5538344030132276,-0.29169180382822957,-0.34578569297895145,0.009570971184993003,0.9415257582468519,0.8320410584881212,0.52247850451074,0.513699984333043,0.5538344030132274,-0.1204826152059682,-0.014957925655693701,-0.15363233885059527,-0.024015651487512883,-0.039347422572018,-0.0996198683512383,0.2692965506176495,0.29720718855629497,-0.15161512341946234,-0.07955996516773578,0.2307834645812788,0.054174640684350434,0.04486119342476904,,,,,,,,,0.2692965506176495,0.2692965506176502,0.26929655061765,-0.13547111110344856,0.26929655061765,0.2972071885562949,0.29720718855629463,0.2972071885562945,0.2972071885562945
bathrooms,0.059712388354763286,,0.015170901572206847,0.15711423416072007,0.14212450922809358,,0.05580444333344696,-0.11181366722900409,0.6692691940401472,1.0,0.7569493444120472,0.6368165791163211,0.07858999059396829,0.13421911363989367,0.09224802384154857,0.04350628125254679,-0.10898625127558008,0.042311800178655455,0.09947950244466168,-0.02698742412510293,,-0.04290436962651667,-0.07504873911007912,-0.12514192238648777,-0.049311973524305275,-0.25550613710624775,-0.2447326459548588,-0.2301228852823897,-0.1068895532598937,-0.24711670600954672,-0.2288684313960301,0.08923386908097596,0.1390389756404251,0.030069331976306807,0.09973219288584913,0.12232910920595785,0.023810309519262437,0.0224584621143625,-0.020574210495701097,0.20570252321428772,0.2254971499985439,-0.16801661875500307,0.04662088322935121,-0.31075320908671034,0.5571027009182478,0.5345825035807203,-0.0042089585277429245,-0.0291318515982849,-0.24310081481296264,0.6056566790990389,0.601732232232241,0.5571027009182485,0.48693163775347625,0.5345825035807202,-0.2555061371062478,-0.25973468534737976,-0.31075320908670984,0.0493119735243052,-0.22886843139603005,-0.1843278687292331,0.32419607512884135,0.08923386908097596,0.02010803486892779,-0.056466066222945775,0.2847600027669747,0.20570252321428772,0.07772988507951445,,,,,,,,,0.32419607512884135,0.32419607512884135,0.3241960751288417,-0.11163043329662449,0.3241960751288417,0.08923386908097596,0.0892338690809758,0.08923386908097579,0.08923386908097579
