variable_name,data_type,n_unique,n_missing,pct_missing,min,max,range,mean,median,std,precision,mode
id,continuous,570.0,0,0.0,1913774,1527204974355428183,1.5272049743535145e+18,6.141019583877284e+17,7.03583339751348e+17,5.471651467192643e+17,0.0,1913774
listing_url,discrete_categorical,570.0,0,0.0,https://www.airbnb.com/rooms/1003670265286987594,https://www.airbnb.com/rooms/994328687289367772,,,,,,https://www.airbnb.com/rooms/1003670265286987594
scrape_id,discrete_numeric,1.0,0,0.0,20251017043258,20251017043258,0.0,20251017043258.0,20251017043258.0,0.0,0.0,20251017043258
last_scraped,discrete_categorical,1.0,0,0.0,2025-10-17,2025-10-17,,,,,,2025-10-17
source,discrete_categorical,2.0,0,0.0,city scrape,previous scrape,,,,,,city scrape
name,discrete_categorical,564.0,0,0.0,"""Elegant Escape"" (KING BED) Great Location!",💥New! 👑KING BEDS 🐶Pets📍Location ⛰Views 🔹Modern,,,,,,Downtown Bozeman Stay | Breakfast. Kitchen. Pool.
description,discrete_categorical,529.0,6,1.05,"""Awesome host, location and lodging!"" -Seth • Rece...",🔥 Luxury Bozeman Getaway | Modern and Fully Loaded...,,,,,,The Sapphire Motel is the perfect home base for yo...
neighborhood_overview,discrete_categorical,280.0,266,46.67,- Walk to Montana State University's campus & Nort...,✅ What’s Nearby • Downtown Bozeman – Approx. 0.9 m...,,,,,,✅ What’s Nearby • Downtown Bozeman – Approx. 0.6 m...
picture_url,discrete_categorical,569.0,0,0.0,https://a0.muscache.com/pictures/00f416c1-6a8d-4ba...,https://a0.muscache.com/pictures/prohost-api/Hosti...,,,,,,https://a0.muscache.com/pictures/hosting/Hosting-U...
host_id,continuous,326.0,0,0.0,159312,705006599,704847287.0,161291200.65614036,87300632.0,170047413.55826196,0.0,158595657
host_url,discrete_categorical,326.0,0,0.0,https://www.airbnb.com/users/show/100568826,https://www.airbnb.com/users/show/9892898,,,,,,https://www.airbnb.com/users/show/158595657
host_name,discrete_categorical,270.0,0,0.0,Aaron,Zack,,,,,,Mountain Home
host_since,discrete_categorical,307.0,0,0.0,2010-07-06,2025-07-03,,,,,,2017-11-13
host_location,discrete_categorical,40.0,83,14.56,"Acton, MA","Waco, TX",,,,,,"Bozeman, MT"
host_about,discrete_categorical,185.0,183,32.11,I am a food enthusiast-map collector-yogi-sailor-a...,"XC skier, mountain biker, trail runner, hiker, bac...",,,,,,Mountain Home is run by members of the local commu...
host_response_time,discrete_categorical,4.0,62,10.88,a few days or more,within an hour,,,,,,within an hour
host_response_rate,discrete_categorical,15.0,62,10.88,0%,99%,,,,,,100%
host_acceptance_rate,discrete_categorical,38.0,48,8.42,0%,99%,,,,,,100%
host_is_superhost,discrete_categorical,2.0,9,1.58,f,t,,,,,,t
host_thumbnail_url,discrete_categorical,319.0,0,0.0,https://a0.muscache.com/defaults/user_pic-50x50.pn...,https://z0.muscache.cn/im/pictures/user/0339516e-0...,,,,,,https://a0.muscache.com/im/pictures/user/556be290-...
host_picture_url,discrete_categorical,319.0,0,0.0,https://a0.muscache.com/defaults/user_pic-225x225....,https://z0.muscache.cn/im/pictures/user/0339516e-0...,,,,,,https://a0.muscache.com/im/pictures/user/556be290-...
host_neighbourhood,discrete_categorical,13.0,472,82.81,Bigfork Landing,Winstead Park,,,,,,Cameron
host_listings_count,discrete_numeric,22.0,0,0.0,1,1148,1147.0,40.09473684210526,2.0,155.54240310543818,0.0,1
host_total_listings_count,discrete_numeric,28.0,0,0.0,1,2341,2340.0,69.65964912280701,3.0,311.5852713487811,0.0,1
host_verifications,discrete_categorical,5.0,0,0.0,"['email', 'phone', 'work_email']",['phone'],,,,,,"['email', 'phone']"
host_has_profile_pic,discrete_categorical,2.0,0,0.0,f,t,,,,,,t
host_identity_verified,discrete_categorical,2.0,0,0.0,f,t,,,,,,t
