id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1913774,Downtown Bozeman Vacation Rental,9892898,Brian,,Bozeman,45.68422,-111.03839,Entire home/apt,96,3,606,2025-10-10,4.18,1,259,84,STR22-00028
1950545,Northside Hideaway,8224408,Paul,,Bozeman,45.68563,-111.03118,Entire home/apt,172,2,44,2025-09-23,0.32,17,350,6,str20-00211
2390321,2 Blocks 2 Main,7849959,Irene,,Bozeman,45.67434,-111.0333,Entire home/apt,200,3,52,2025-09-14,0.45,2,364,3,STR22-00083
2536175,Modern Home Near Campus & Downtown,8287259,Kristine Marie,,Bozeman,45.66473,-111.03977,Entire home/apt,150,3,344,2025-09-25,2.50,1,317,35,STR20-00308
2839082,"Charming downtown home, Bogart park",1577112,Zack,,Bozeman,45.6757,-111.03284,Entire home/apt,489,3,70,2025-09-21,0.58,1,362,1,STR21-00060
2968623,Sunny Bozeman MSU Cottage,15146634,Frances,,Bozeman,45.67241,-111.04913,Entire home/apt,120,2,220,2025-10-12,1.76,1,164,21,STR23-00143
3372306,Lovely 2BR Bozeman Cottage near Main St,190138,Anna,,Bozeman,45.68444,-111.04357,Entire home/apt,157,30,73,2025-07-01,0.54,1,275,3,
4008507,"The Loft: near MSU, private entry, kitchen & baths",20738079,Lori,,Bozeman,45.66932,-111.04256,Entire home/apt,179,2,295,2025-10-12,2.34,2,348,34,STR24-00101
4134363,Yellow Dogs Cottage: Unique Large Downtown Cottage,21447984,Sharon,,Bozeman,45.67114,-111.04041,Entire home/apt,235,3,116,2025-09-21,0.87,3,350,13,Exempt
4778710,Bozeman House Dog Friendly with Hottub,14101343,Steven And Eleanor,,Bozeman,45.68605,-111.07734,Entire home/apt,,30,0,,,1,0,0,
5230388,The Montana Mountain Villa,20738079,Lori,,Bozeman,45.66868,-111.04182,Entire home/apt,1447,4,4,2025-08-06,0.05,2,308,3,STR24-00030
6662056,Modern Loft-House: Big Sky Country,34871220,Ehson,,Bozeman,45.65955,-111.02278,Entire home/apt,165,30,162,2025-06-01,1.31,1,294,1,
6783856,Remote Worker's Dream,35514344,Janette,,Bozeman,45.679,-111.08748,Entire home/apt,225,30,15,2021-03-07,0.12,1,363,0,
6800497,Your Private Suite 1 block from heart of Downtown,16264310,Kent,,Bozeman,45.67712,-111.03485,Entire home/apt,159,2,396,2025-10-12,3.32,1,363,35,Str20-00361
6970499,Downtown Red Chair Retreat,36548325,Doug,,Bozeman,45.68185,-111.04333,Entire home/apt,73,3,414,2025-10-02,3.46,2,228,30,STR23-00001
7480329,"Near Downtown, For Extended Stays - 30 days min.",3437116,Jill,,Bozeman,45.6724,-111.02983,Entire home/apt,77,30,11,2024-02-20,0.10,1,45,0,
