,id,scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_clean
id,1.0,,0.4593752590027974,-0.04385783986981607,-0.04162669629811937,,0.0429496430355787,0.10093276702353296,0.09147682842934872,0.11386900599057956,0.0861858716606311,0.12368281132301248,-0.06567950004767495,-0.1943671183403152,-0.0693721314830942,-0.06522959402338331,-0.279101430068951,-0.22481862763199065,-0.06837978489964992,-0.26171145746344127,,0.11648445159618027,0.16605875874487946,0.16587931713083584,0.0689579176613928,-0.38258752684609443,-0.07279963614801087,-0.0009156691138897675,0.1632029491747038,-0.2085409993760121,-0.10723707344116035,0.03630698756319381,-0.01822272315446011,-0.05998480057590569,-0.03698431757560586,-0.04786954468204791,-0.03247674952168904,-0.014651318462221114,-0.029640470668441908,0.08220068151575753,-0.004927607462924349,0.2116019789360114,-0.030199096097676813,0.13249182224788655,0.1804399838851082
scrape_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_id,0.4593752590027974,,1.0,-0.12254012713013811,-0.11791865292940472,,0.08467710502316618,0.009328400722379044,0.032126858613415125,0.02114432373027671,0.03627608489330377,0.045973545768075406,-0.047235850806330804,-0.09495142765406446,-0.09523257450625197,-0.1285694684931692,-0.1985666835839509,-0.055197074067271416,-0.0678105372590803,-0.14895044723974313,,0.08448655704764815,0.10849140404087808,0.11589062264051418,0.02567912195127372,-0.17910008144620962,0.01326033029477262,0.006862075181275683,0.11797531254429924,-0.06584855952868995,0.07150427331912168,0.1395097443483402,-0.08050461134255836,-0.10220061193351318,-0.0582001030029516,-0.09003723160381948,-0.07590712874323298,-0.06717329478924251,-0.04725290280650953,-0.0330445675943429,-0.12049384838306548,0.16251068030325777,-0.012254814267762038,0.08070336752839509,0.3723679401755141
host_listings_count,-0.04385783986981607,,-0.12254012713013811,1.0,0.9956474718798175,,-0.12858247439732323,0.19542723893995048,-0.10119392628864882,-0.04822013136300008,-0.10219689307775552,-0.13496131637507075,0.1160837631548037,0.4159384806853023,0.1259994203604825,0.8566936870646689,0.2781878549900561,0.25592706569894746,0.16223969548545047,0.2742226738054078,,-0.22841663573122695,-0.29189222735242615,-0.3030178239828611,0.05966760526936382,-0.20003716743452804,-0.22259174752454558,-0.20706296203541605,-0.2972846775410603,-0.2035247758647684,-0.3120221470780837,-0.0936996324976183,-0.2386651317003101,-0.18765074915665028,-0.16285853602866923,-0.2952441097991263,-0.371046613958521,-0.15461416004758763,-0.3497368871900963,0.8793028840911168,0.981691590466898,-0.16528792297894163,-0.011269202014367886,-0.19326555444849433,-0.055006454765380006
host_total_listings_count,-0.04162669629811937,,-0.11791865292940472,0.9956474718798175,1.0,,-0.13463562325004433,0.2048333047225123,-0.10570569798687018,-0.05467963917539173,-0.09733691578529512,-0.13788474805365464,0.12459912354273847,0.4181424565046364,0.13459096614506671,0.8521707489609054,0.2803114640383233,0.2579537273691392,0.170164115112949,0.2768677995644406,,-0.22551591971261226,-0.29062687674857207,-0.30264512798587245,0.057199873928147495,-0.2102383643737098,-0.23324418833569469,-0.21680866013484676,-0.2968376818094477,-0.21381503319139591,-0.3236330432555674,-0.09633922024137188,-0.24127314918455436,-0.1917244071031677,-0.16620873266943775,-0.295467524849211,-0.37470672633963104,-0.15107089435705068,-0.3489894199660123,0.8755792390440648,0.9747857086917922,-0.15644185400576044,-0.011914460301436931,-0.207731406089739,-0.05739913314064919
neighbourhood_group_cleansed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude,0.0429496430355787,,0.08467710502316618,-0.12858247439732323,-0.13463562325004433,,1.0,-0.6934377835999781,-0.09335552790096852,-0.004979166567399734,0.03857582143547078,-0.04820995491602457,-0.00470218582653942,-0.14593252575552645,-0.03588054921075424,-0.0968438416384472,-0.1234773890534027,-0.17501729499746657,-0.01971759574892847,-0.14224269333477682,,-0.03164722437549246,-0.019343277411297894,-0.033594129835625715,-0.15898213845965564,-0.010567657166091636,-0.012449272222601934,0.01552990438067762,-0.03715200811648892,-0.010249375319941344,0.06824448076916416,-0.042461740247531916,-0.02664910353419433,-0.041358646569360655,0.002650957829565202,0.03583938971696426,0.009514069484654239,-0.06285127122147914,0.0008259492546029106,-0.024713166690062193,-0.12970165699682512,0.30090622666150085,-0.013322742390300903,-0.02489808354990369,-0.10592327509975133
longitude,0.10093276702353296,,0.009328400722379044,0.19542723893995048,0.2048333047225123,,-0.6934377835999781,1.0,0.06587192287064476,0.06175385967444938,-0.06941610684176336,0.0052045574927886635,-0.01781501216985585,0.1524681636379111,0.018105757685635007,0.10840762973582516,0.09698945614792957,0.1774934544135969,-0.005069462831046711,0.11518656924946133,,0.03892579807009481,0.04287974633514968,0.0519869251689407,0.1728277755400913,-0.07470655466342548,-0.027378598554318945,-0.05019144333598404,0.054184830848501,-0.059057942884561385,-0.1418657174236441,0.06470640379652193,-0.029057330341301906,-0.03032084707955366,-0.040553019916886215,-0.0606712568081074,-0.0568035936783054,0.01363191197760284,-0.08389346835995178,0.1640537618786598,0.2142384195272543,-0.16462331989265833,-0.005665397850046291,0.027225921350644434,0.2575584203767541
accommodates,0.09147682842934872,,0.032126858613415125,-0.10119392628864882,-0.10570569798687018,,-0.09335552790096852,0.06587192287064476,1.0,0.5630187119313094,0.7608083112027124,0.8276248585985604,-0.12443705746762586,0.004496398696105253,-0.11271923705403077,-0.10854898399129308,0.07296889502482623,0.07833786559764498,-0.11577173081130039,0.07227148680860095,,0.1193215179931294,0.1593553625132179,0.14690534010895212,0.056515580574240554,-0.007463285989956594,0.0411797428261982,0.08070411495198224,0.14403637021549573,-0.005570133156143981,-0.008097029968692786,0.08446291172184364,0.09408301895580252,0.08002384944092349,0.1522459386698351,0.03876215216563428,0.052869824787225544,0.03794077434742787,0.09327407271865709,-0.13150725445005776,-0.0734589861110891,-0.17806683974851106,-0.026621536458573798,0.111198275157012,0.03985526751951781
bathrooms,0.11386900599057956,,0.02114432373027671,-0.04822013136300008,-0.05467963917539173,,-0.004979166567399734,0.06175385967444938,0.5630187119313094,1.0,0.47003403557442897,0.528386732592566,-0.06104028183846736,0.06523164546693004,-0.05206813509890302,-0.049149900189898794,0.09988884144186992,0.06912768025888608,-0.05174524781343953,0.09114024711617003,,0.056284943789709524,0.06860630874049616,0.057646094776510566,0.03880840664483504,-0.06889021789746713,-0.02906124731940793,0.00586351060799848,0.05656153160595269,-0.057662271445145886,-0.0005922650065814381,0.026320991922771382,0.01701074531262517,0.038191324365896964,0.02821488243904692,0.0397127306947168,0.020626131241698275,0.03387002644863901,0.038177654992173626,-0.08976124227167277,-0.04410780118061386,-0.1295843187673557,,0.04018237325413967,-0.0577187744231614
