variable_name,data_type,n_unique,n_missing,pct_missing,min,max,range,mean,median,std,precision,mode
id,continuous,1358.0,0,0.0,8521,1517697900266995668,1.5176979002669873e+18,6.303908356353009e+17,6.827959573939089e+17,5.6687327669083315e+17,0.0,8521
listing_url,discrete_categorical,1358.0,0,0.0,https://www.airbnb.com/rooms/1004102324803384826,https://www.airbnb.com/rooms/999611564853363629,,,,,,https://www.airbnb.com/rooms/1004102324803384826
scrape_id,discrete_numeric,1.0,0,0.0,20250928035003,20250928035003,0.0,20250928035003.0,20250928035003.0,0.0,0.0,20250928035003
last_scraped,discrete_categorical,1.0,0,0.0,2025-09-28,2025-09-28,,,,,,2025-09-28
source,discrete_categorical,2.0,0,0.0,city scrape,previous scrape,,,,,,city scrape
name,discrete_categorical,1243.0,0,0.0,"""Green"" House + parking Harvard/MIT",宁静套房（紧临高尔夫球场）,,,,,,"Blueground | E Cambridge, gym & w/d, nr lechmere t"
description,discrete_categorical,1090.0,11,0.81,#### This is a special listing to make a package r...,"🌿 Keep it simple at this peaceful, centrally locat...",,,,,,You’ll be at the heart of Cambridge with stunning ...
neighborhood_overview,discrete_categorical,376.0,664,48.9,* Safe neighborhood down the street from Davis and...,🌆 Neighborhood Vibes Stay right in the heart of Do...,,,,,,This furnished apartment is located in Central Squ...
picture_url,discrete_categorical,1329.0,0,0.0,https://a0.muscache.com/pictures/012e0a6c-dfef-4f4...,https://a0.muscache.com/pictures/prohost-api/Hosti...,,,,,,https://a0.muscache.com/pictures/hosting/Hosting-U...
host_id,continuous,448.0,0,0.0,35384,720731863,720696479.0,177736911.92562592,107434423.0,194991580.8084605,0.0,107434423
host_url,discrete_categorical,448.0,0,0.0,https://www.airbnb.com/users/show/1000338,https://www.airbnb.com/users/show/999992,,,,,,https://www.airbnb.com/users/show/107434423
host_name,discrete_categorical,385.0,0,0.0,Aaron,Zhengyi,,,,,,Blueground
host_since,discrete_categorical,413.0,0,0.0,2009-09-01,2025-09-24,,,,,,2016-12-16
host_location,discrete_categorical,50.0,250,18.41,"Athens, GA","Zürich, Switzerland",,,,,,"Cambridge, MA"
host_about,discrete_categorical,272.0,480,35.35,.,大学老师,,,,,,"We’re Blueground, a global proptech company with s..."
host_response_time,discrete_categorical,4.0,111,8.17,a few days or more,within an hour,,,,,,within an hour
host_response_rate,discrete_categorical,28.0,111,8.17,0%,99%,,,,,,100%
host_acceptance_rate,discrete_categorical,52.0,86,6.33,0%,99%,,,,,,100%
host_is_superhost,discrete_categorical,2.0,41,3.02,f,t,,,,,,f
