variable_name,data_type,n_unique,n_missing,pct_missing,min,max,range,mean,median,std,precision,mode
id,continuous,2877.0,0,0.0,90676,1517931680426327396,1.5179316804262367e+18,8.487105551105097e+17,9.79658684650991e+17,5.26980770152655e+17,0.0,90676
listing_url,discrete_categorical,2877.0,0,0.0,https://www.airbnb.com/rooms/1000637489089938969,https://www.airbnb.com/rooms/999980697197164755,,,,,,https://www.airbnb.com/rooms/1000637489089938969
scrape_id,discrete_numeric,1.0,0,0.0,20250926165842,20250926165842,0.0,20250926165842.0,20250926165842.0,0.0,0.0,20250926165842
last_scraped,discrete_categorical,1.0,0,0.0,2025-09-26,2025-09-26,,,,,,2025-09-26
source,discrete_categorical,2.0,0,0.0,city scrape,previous scrape,,,,,,city scrape
name,discrete_categorical,2844.0,0,0.0,"""Big House"" near OSU",💫Coastal Style in the City - Close to Everything!💫,,,,,,Modern Apt | Parking | Near German Village + Dtwn
description,discrete_categorical,2509.0,13,0.45,"Welcome to The Berger Haus! A stylish 2-bedroom, 1...",🛏️ Private carriage house with no shared spaces 🅿️...,,,,,,Explore a variety of attractions within easy reach...
neighborhood_overview,discrete_categorical,1033.0,1365,47.45,"""The Victorian Village is known for quaint, leafy ...","📍 GRANDVIEW HEIGHTS 🏙️ Lively, walkable neighborho...",,,,,,- Columbus Museum of Art- 0.8 miles; - Victorian V...
picture_url,discrete_categorical,2835.0,0,0.0,https://a0.muscache.com/pictures/003d4de4-ae82-418...,https://a0.muscache.com/pictures/prohost-api/Hosti...,,,,,,https://a0.muscache.com/pictures/miso/Hosting-1219...
host_id,continuous,1013.0,0,0.0,78761,716221421,716142660.0,258952954.63607925,217660325.0,196999659.35107437,0.0,432234139
host_url,discrete_categorical,1013.0,0,0.0,https://www.airbnb.com/users/show/100563614,https://www.airbnb.com/users/show/99137257,,,,,,https://www.airbnb.com/users/show/432234139
host_name,discrete_categorical,735.0,16,0.56,Aamna,Zoubida,,,,,,Sara
host_since,discrete_categorical,900.0,16,0.56,2010-02-07,2025-08-29,,,,,,2021-11-16
host_location,discrete_categorical,111.0,602,20.92,"Amanda, OH","Zanesfield, OH",,,,,,"Columbus, OH"
host_about,discrete_categorical,514.0,1002,34.83,,✈️ Wanderlust Enthusiast on a mission to explore t...,,,,,,Thank you for considering staying at one of our re...
host_response_time,discrete_categorical,4.0,174,6.05,a few days or more,within an hour,,,,,,within an hour
host_response_rate,discrete_categorical,32.0,174,6.05,0%,99%,,,,,,100%
host_acceptance_rate,discrete_categorical,55.0,90,3.13,0%,99%,,,,,,100%
host_is_superhost,discrete_categorical,2.0,161,5.6,f,t,,,,,,t
host_thumbnail_url,discrete_categorical,959.0,16,0.56,https://a0.muscache.com/defaults/user_pic-50x50.pn...,https://a0.muscache.com/im/users/9761047/profile_p...,,,,,,https://a0.muscache.com/im/pictures/user/User-4322...
host_picture_url,discrete_categorical,959.0,16,0.56,https://a0.muscache.com/defaults/user_pic-225x225....,https://a0.muscache.com/im/users/9761047/profile_p...,,,,,,https://a0.muscache.com/im/pictures/user/User-4322...
host_neighbourhood,discrete_categorical,171.0,207,7.19,Arena District,Worthington Park,,,,,,South Columbus
host_listings_count,continuous,51.0,16,0.56,1.0,3005.0,3004.0,51.244669695910524,8.0,277.37221258015893,1.0,1.0
host_total_listings_count,continuous,62.0,16,0.56,1.0,4935.0,4934.0,75.03040894792031,9.0,462.4192828277348,1.0,1.0
host_verifications,discrete_categorical,4.0,16,0.56,"['email', 'phone', 'work_email']",['phone'],,,,,,"['email', 'phone']"
host_has_profile_pic,discrete_categorical,2.0,16,0.56,f,t,,,,,,t
host_identity_verified,discrete_categorical,2.0,16,0.56,f,t,,,,,,t
neighbourhood,discrete_categorical,1.0,1365,47.45,Neighborhood highlights,Neighborhood highlights,,,,,,Neighborhood highlights
neighbourhood_cleansed,discrete_categorical,27.0,0,0.0,Clintonville,Westland,,,,,,Near North/University
neighbourhood_group_cleansed,empty,,2877,100.0,,,,,,,,
