,id,scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_clean,log_price,price_per_accommodates,log_price_per_accommodates,log_reviews,log_accommodates,log_beds,price_zscore,price_percentile,log_price_zscore,reviews_zscore,reviews_percentile,reviews_per_month_zscore,occupancy_rate,occupancy_rate_booked,occupancy_is_capped,est_annual_revenue,est_annual_revenue_booked,revenue_per_accommodates,revenue_per_bedroom,log_est_revenue,host_listings_in_city,host_is_professional,pct_professional_hosts,pct_large_operators,median_host_listings,gini_host_concentration,market_professionalization_score,purchase_price,monthly_payment,zori_rent,annual_cash_flow,cash_on_cash_roi,cap_rate,price_to_rent_ratio,revenue_yield,annual_cash_flow_booked,cash_on_cash_roi_booked,cap_rate_booked,revenue_yield_booked
id,1.0,,0.462600535753889,0.0774129868365896,0.04684471871411628,,-0.0719040777919887,-0.04247557784449499,0.016906118444604788,0.0031319127572032087,-0.007837478146700893,-0.029895486122738957,-0.1955690135207962,-0.18544457716823431,-0.1682697050490224,-0.17962663661383216,-0.005451832630628437,-0.0054517306780868,-0.1848510090007726,-0.005475351403600718,,0.136647553146286,0.1610442106097936,0.16015377591120178,0.10359202744617695,-0.41931750058800304,-0.05179750089721046,0.11584891203657462,0.1547110211337097,-0.24834966257983562,-0.12936105977114207,-0.07029038826410058,-0.07767762472506334,-0.08140804136811318,-0.05711705468056499,-0.08521357514752687,-0.04525073441148314,-0.13961457991160092,-0.0742143190166516,,-0.06361328469668451,-0.06537291265212733,0.01426224354599072,0.01899156436879839,0.19215191294867442,-0.010848269653596079,-0.12256350216535662,-0.0075461126338713476,-0.15483836543660637,-0.46088688984775744,0.022796549549538234,-0.032520356903408196,-0.01084826965359636,-0.1403496350843552,-0.12256350216536498,-0.4193175005880044,-0.4539059762113167,0.1921519129486748,-0.10359202744617961,-0.1293610597711424,-0.07855630481094603,-0.005525072699851688,-0.07029038826410058,-0.00423745639128059,-0.004115114500049598,-0.16293080372979166,-0.06361328469668451,0.029577981844758475,,,,,,,,,-0.005525072699851646,-0.005525072699851726,-0.005525072699851673,0.07865871897867424,-0.005525072699851673,-0.07029038826410082,-0.07029038826410015,-0.07029038826409947,-0.07029038826409947
scrape_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_id,0.462600535753889,,1.0,0.16661192053402304,0.124591562620881,,-0.0549778180866368,-0.06915768453887237,0.041479993097528214,0.014656727650749877,-0.0018018420669886736,0.009852182719648014,-0.16326218732199532,-0.05021025745520025,-0.1408429551449895,-0.1491192651870976,-0.007759802483535257,-0.007759476498098745,-0.1539509081851467,-0.007774581743531457,,0.14095843105751793,0.1505628907809187,0.14151346479894947,0.07841739516930252,-0.19498284969026985,0.0017722653038763775,0.09766300496121634,0.13347146488109912,-0.10203685052500823,-0.08025585840087453,-0.036122133100447956,-0.12203943249050249,-0.12346934131579852,-0.09625872826013893,-0.12792508909961536,-0.10904556141373567,-0.14829382235447897,-0.10455961844561393,,0.019078773809384844,0.01737132525687512,0.0013890521817593023,-0.003830750733465554,0.17694410161211496,0.02363113112455168,-0.06432703119348468,0.021751127319129586,-0.1231355763351725,-0.21200787363333198,0.05091133722052536,0.004192910874427915,0.023631131124551643,-0.08288149420760871,-0.0643270311934904,-0.19498284969026913,-0.20407156413231115,0.17694410161211505,-0.07841739516930399,-0.0802558584008747,-0.03859130544078692,0.026629771314884573,-0.036122133100447956,0.022871170527637846,0.028275246347561362,-0.10724716178798938,0.019078773809384844,0.04202545869505942,,,,,,,,,0.026629771314884608,0.026629771314884625,0.02662977131488466,0.04084801604625243,0.02662977131488466,-0.03612213310044804,-0.03612213310044766,-0.036122133100447325,-0.036122133100447325
host_listings_count,0.0774129868365896,,0.16661192053402304,1.0,0.9282769609305002,,0.12460682329853735,-0.014931426207133782,-0.022230896184314206,-0.03742130544429105,-0.029176311967082175,-0.034620327715093005,-0.020209096034718033,0.2038974529121289,-0.02540212074014889,-0.024399222746161717,-0.003822372034413574,-0.003820858884198273,-0.021977078561940235,-0.0038139330358466336,,0.0890857573343862,0.07564630626704227,0.06846566378934299,0.0023918488063843896,-0.08305158812110137,-0.10346331469808256,-0.07575093943194218,0.07029836059556,-0.08339648398715102,-0.13457578268792544,0.12816953137776516,-0.1847299766251977,-0.19315092752308377,-0.1364292701387434,-0.15355430479743248,-0.18227537046993003,-0.10807927329874564,-0.20398348868863328,,0.32816168518174227,0.2802690647213391,0.38110567769648296,-0.011281252940349824,-0.0829458921313509,0.2950388449318195,0.0799083882554775,0.2651421982333641,0.1131412374919415,-0.18489140858125364,-0.017462089259540316,-0.03103573683025729,0.2950388449318231,0.014244733730703072,0.07990838825547593,-0.08305158812110182,-0.1830127494470055,-0.08294589213135131,-0.0023918488063843727,-0.13457578268792572,-0.057273084187608084,0.29533044175058526,0.12816953137776516,0.2549265717397505,0.2981153655876644,0.04003332793802289,0.32816168518174227,0.13939414025968644,,,,,,,,,0.2953304417505853,0.29533044175058576,0.295330441750585,0.008001980336277165,0.295330441750585,0.12816953137776513,0.1281695313777639,0.12816953137776502,0.12816953137776502
host_total_listings_count,0.04684471871411628,,0.124591562620881,0.9282769609305002,1.0,,0.1149474880197238,-0.01470155763142497,-0.02130667872489519,-0.036725247798222733,-0.031420201566373276,-0.0332849737029224,-0.004758898438546671,0.19729453911515857,-0.005995963845657604,-0.004759743513817908,-0.0021052158513022745,-0.002103863774852408,-0.002428416892704673,-0.0020963903752216134,,0.056677524105382106,0.04149045416994493,0.0362028175579565,0.0008307428483881105,-0.0808499360247905,-0.10422751592089646,-0.07567612317196,0.03905884230141439,-0.08309129835299953,-0.13316311972561598,0.11799631683092496,-0.16302813112881026,-0.17079251110987143,-0.12294806368409401,-0.14061136930057241,-0.16882252597641648,-0.08905224799446183,-0.18054453215058347,,0.2963061595578656,0.2518488390574747,0.34787991946248503,-0.011691761605123727,-0.09558909950770263,0.2758127019723203,0.092121623167955,0.2473895791880914,0.12122528080314202,-0.1739905906971692,-0.014608452300838556,-0.028960758852654252,0.2758127019723207,0.0362697980833985,0.0921216231679542,-0.08084993602479029,-0.1730961856753656,-0.09558909950770243,-0.0008307428483880556,-0.13316311972561617,-0.055924889656411535,0.27487395072426574,0.11799631683092496,0.23707674928090375,0.28955011106379464,0.04476847347305706,0.2963061595578656,0.12849235912933055,,,,,,,,,0.2748739507242658,0.27487395072426735,0.2748739507242664,0.018917776895237385,0.2748739507242664,0.11799631683092496,0.11799631683092413,0.11799631683092421,0.11799631683092421
neighbourhood_group_cleansed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude,-0.0719040777919887,,-0.0549778180866368,0.12460682329853735,0.1149474880197238,,1.0,0.13906436855377968,-0.06060265945499349,-0.004370850458618366,-0.010225394670610337,-0.030040855757829867,0.1447556349571152,0.07293298157784803,0.1232835484428792,0.13076659921142422,-0.007595219470576111,-0.007595033633932442,0.13734889798727273,-0.007596020106358609,,-0.027773577497039487,-0.020465819670295655,-0.017380063167869962,-0.0036067780493126353,-0.06659789337521921,-0.12440128056620062,-0.09325922944037486,-0.009082728394225732,-0.08795733466765907,-0.07114171222617559,0.02583145444361225,-0.05096740041473354,-0.04771160929422497,-0.056858040172200267,-0.018788782992970827,-0.04035202227813905,0.05272282608995533,-0.08111225720235968,,0.02307008491432922,0.025764256303601577,-0.04554658733920377,-0.05505633201595113,-0.15490429773323466,0.04460590434421245,0.0829047850183558,0.03885034231076042,0.14564859735442365,-0.10270760135398298,-0.04585757829826641,-0.03609951017336428,0.044605904344212424,0.05393978203511096,0.08290478501835566,-0.06659789337521972,-0.10221014285209222,-0.15490429773323516,0.0036067780493129133,-0.07114171222617564,-0.04068628549986294,0.038878084331358455,0.02583145444361225,0.03397800481786651,0.038717569909321715,0.03642830591533624,0.02307008491432922,-0.0011146225589236212,,,,,,,,,0.038878084331358455,0.038878084331358705,0.03887808433135867,-0.000491663371762128,0.03887808433135867,0.02583145444361225,0.025831454443612012,0.02583145444361214,0.02583145444361214
longitude,-0.04247557784449499,,-0.06915768453887237,-0.014931426207133782,-0.01470155763142497,,0.13906436855377968,1.0,-0.04260453407971944,-0.058824034632284077,-0.04266416009218252,-0.007848451801257482,0.031055110025664787,0.01570125056623465,0.010092793458421276,0.023357111455553945,-0.01236939471949178,-0.012369436395809154,0.025186904728220785,-0.012369571397970147,,-0.010280544602481581,-0.023513705215980552,-0.026136334278589808,-0.0050254051175785235,0.005988003301402219,-0.05601902003480483,-0.05747448083065765,-0.02290586101576958,-0.023837552474573278,-0.022820499300743823,-0.006046241022603897,-0.04788231784540593,-0.03835881588231797,-0.062480557909549414,-0.026096750074803495,-0.03131355243310633,-0.04883344953164022,-0.052166859871866485,,-0.0033089791636340864,-0.003262406606917335,0.015585210216011816,-0.044690288441725456,-0.07873257115845064,0.00863659171130715,-0.05661936692412845,0.010220806304387854,-0.024737545606956304,-0.013381746975995607,-0.035937428457939,-0.003640196512847299,0.0086365917113072,-0.05301229816783407,-0.05661936692412809,0.005988003301402214,-0.016416994623265162,-0.07873257115845073,0.005025405117578765,-0.022820499300743882,-0.015230537799074878,0.011608373890203999,-0.006046241022603897,0.012108743772604574,0.014108180360231783,-0.014232369074032079,-0.0033089791636340864,-0.03052536047494222,,,,,,,,,0.011608373890203996,0.011608373890204008,0.011608373890203975,0.016725877317970823,0.011608373890203975,-0.006046241022603905,-0.0060462410226038606,-0.006046241022603976,-0.006046241022603976
accommodates,0.016906118444604788,,0.041479993097528214,-0.022230896184314206,-0.02130667872489519,,-0.06060265945499349,-0.04260453407971944,1.0,0.6616731758129207,0.7910273268149057,0.8501782018559251,-0.09905421995101346,0.044443966299130805,-0.09404301586706713,-0.09322005936998444,-0.021706781174908804,-0.02170678259302276,-0.09889085152594855,-0.021689779498029027,,0.07080335738012765,0.06933181454696509,0.07887108651615478,0.035143516162094615,0.05057951918535552,0.10211477923569533,0.10547005940893381,0.07206240833266049,0.06559875175028249,0.09389599448389128,0.16672616329739331,0.027931989542158617,0.01925709330466001,0.019084554429411153,0.04808714689159097,0.04992235305012844,-0.07715218225771256,0.022345540543709297,,-0.07911854122580361,-0.06425255492553605,-0.17145948331221467,-0.07816827145631382,0.1012208473301758,0.0344769587389846,0.5116754600114533,-0.03224844435287467,-0.41139704998978915,0.14459293171706933,0.9334895423975392,0.8264115097469937,0.034476958738984514,0.5470149388768136,0.5116754600114531,0.0505795191853557,0.1517908767481969,0.10122084733017601,-0.03514351616209417,0.09389599448389106,0.001209726651935543,0.00416758200065994,0.16672616329739331,-0.020827527958230004,-0.0166139697634419,0.21721653647528227,-0.07911854122580361,-0.021273710117232208,,,,,,,,,0.004167582000659946,0.004167582000659951,0.004167582000659948,-0.1508263033205645,0.004167582000659948,0.16672616329739331,0.16672616329739265,0.16672616329739323,0.16672616329739323
bathrooms,0.0031319127572032087,,0.014656727650749877,-0.03742130544429105,-0.036725247798222733,,-0.004370850458618366,-0.058824034632284077,0.6616731758129207,1.0,0.8032429990578124,0.6346413541610975,-0.024664980426815968,0.02615071038785058,-0.025999388975238305,-0.0276440438449375,-0.00998178713935559,-0.009981824368950707,-0.03048180115234437,-0.00997296074232179,,0.014718172677911869,-0.0034520275457530698,0.003840858487135102,-0.06261992575262092,-0.026151914554707962,-0.029653352719076747,-0.01644055220305164,-0.022021141206495343,-0.01760378926394834,-0.025843399182200088,0.1337319667978157,0.05557347509667812,0.039640043609208905,0.04267248676092077,0.05742127300768796,0.030719640123458715,0.02065992277965664,0.04267535058094447,,-0.126887415772548,-0.1192810058799324,-0.09405403654412577,-0.0070066357832572835,-0.041941605118373436,0.04499066819004755,0.5693044133519828,-0.017751238311345896,-0.021619488611369433,0.01061724467659783,0.6183397762335353,0.6183731177475972,0.0449906681900475,0.5733781840630197,0.5693044133519833,-0.026151914554708253,0.01578985542769729,-0.04194160511837363,0.06261992575262092,-0.02584339918220021,-0.0596797480282775,0.007630082166903786,0.1337319667978157,-0.01608483570819026,-0.020797593467165507,0.2802101087326561,-0.126887415772548,-0.06761415074700765,,,,,,,,,0.0076300821669037944,0.007630082166903822,0.0076300821669037745,-0.11027330819231275,0.0076300821669037745,0.1337319667978156,0.1337319667978156,0.13373196679781427,0.13373196679781427
