,id,scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_clean,log_price,price_per_accommodates,log_price_per_accommodates,log_reviews,log_accommodates,log_beds,price_zscore,price_percentile,log_price_zscore,reviews_zscore,reviews_percentile,reviews_per_month_zscore,occupancy_rate,occupancy_rate_booked,occupancy_is_capped,est_annual_revenue,est_annual_revenue_booked,revenue_per_accommodates,revenue_per_bedroom,log_est_revenue,host_listings_in_city,host_is_professional,pct_professional_hosts,pct_large_operators,median_host_listings,gini_host_concentration,market_professionalization_score,purchase_price,monthly_payment,zori_rent,annual_cash_flow,cash_on_cash_roi,cap_rate,price_to_rent_ratio,revenue_yield,annual_cash_flow_booked,cash_on_cash_roi_booked,cap_rate_booked,revenue_yield_booked
id,1.0,,0.2684442077921837,0.0851783496457399,0.07946767749970639,,-0.037707109214157555,0.026129846753650706,0.04645710213479732,0.06831498931928157,0.07306855271669487,-0.002151735032433275,-0.014775906109236611,-0.15748141485662262,-0.01023646274091337,-0.0130694764678342,-0.2833001417980986,-0.28866836846364585,-0.011620815122331315,-0.2870202099844978,,0.05302691566343857,0.05307168885378558,0.05766517635754975,0.08405371169284746,-0.42130937506452465,-0.06930673486378652,0.0032273558401857173,0.05868035128825793,-0.20079070463552087,-0.1482474094003857,-0.0852649526330132,-0.021036072799905294,-0.028975959228113527,-0.015952950610933127,-0.06243850025797543,-0.041628578000624576,-0.04545797661142435,-0.017851501964300975,0.08932196260958333,0.08524780814697683,0.028121020302214198,0.00909379917012364,0.06136522208457624,-0.01216809127702509,0.01579327126154478,-0.05696374167976442,-0.040251207562008014,-0.5450851977690354,0.0541938616492461,0.006404564195790324,-0.012168091277024293,0.052054334115304954,0.015793271261541935,-0.4213093750645248,-0.5452974142757645,0.06136522208457619,-0.08405371169284348,-0.14824740940038592,-0.09295317724912433,-0.027641223230646494,-0.0852649526330132,-0.05640797549092115,-0.05043897317268587,-0.05113036864812962,0.08932196260958333,0.014682886826774225,,,,,,,,,-0.027641223230646494,-0.02764122323064598,-0.02764122323064703,0.05096783674632529,-0.02764122323064703,-0.08526495263301295,-0.08526495263301408,-0.08526495263301309,-0.08526495263301309
scrape_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_id,0.2684442077921837,,1.0,-0.035551989137562086,-0.02905457800363035,,0.05631295612836389,0.1379825457153947,0.005440226275440694,-0.003999304226921642,-0.011156194517496514,-0.00510104850943365,-0.0006928648567763433,-0.018755401040231198,-0.0033990333475536127,-0.0007563323008180161,-0.057983389776432206,-0.05783510667298423,-0.0022726840991138175,-0.055777909615663805,,0.09435568333409167,0.0909525109484393,0.0906766623541518,0.0938960070439391,-0.14124875777185406,0.013820008637377595,0.024276138467138303,0.09047711573236565,-0.0434836795154932,-0.02350898745362065,-0.017218029092438795,-0.0994106747742667,-0.10481572099492324,-0.07210426507682713,-0.10506286223455202,-0.10719813827918484,-0.07518707195175849,-0.09435041224153601,-0.039008920098072615,-0.05544924469858039,0.07729792041075066,-0.06536544083737993,0.03850629692737735,-0.0034377769083671675,0.007418265116738996,0.028494437888875825,0.007116470949573939,-0.16032936129823322,-0.004002534109601799,-0.009516881734431491,-0.0034377769083670656,0.010869776840789441,0.007418265116738106,-0.14124875777185344,-0.15919615976472243,0.03850629692737705,-0.0938960070439378,-0.02350898745362068,-0.010011201618625483,-0.05106881222054135,-0.017218029092438795,-0.033239952460767,-0.0363207269037439,-0.06646414277598955,-0.039008920098072615,0.014888364130112625,,,,,,,,,-0.05106881222054135,-0.05106881222054099,-0.05106881222054129,0.010949753199835984,-0.05106881222054129,-0.01721802909243867,-0.017218029092438834,-0.017218029092438553,-0.017218029092438553
host_listings_count,0.0851783496457399,,-0.035551989137562086,1.0,0.990531524648795,,0.008926389336170633,0.005041600664541163,0.06650519010288243,0.06862087234380325,0.058341602714752756,0.057107686425533176,-0.009993961121426911,0.2443044993743314,-0.007891532327207148,-0.005066878001567976,0.1080955409202661,0.1472867561006315,-0.006018727134432829,0.11546402529709823,,-0.03301612093213082,-0.033085861336957866,-0.03052567811764526,0.04841906613175189,-0.06913651477130336,-0.05034689183598593,-0.046153998896899605,-0.029878434904541045,-0.0554100063727453,-0.06232715181540735,-0.0025266064294251146,-0.12225098534074748,-0.10325876038490354,-0.0940656334175215,-0.13159170058821176,-0.1709287585204704,-0.057700888115841814,-0.12695401937348827,0.7954929395958081,0.8204767655219307,0.02330499318233431,0.013416298930767328,-0.06355095303806556,0.039241636480192944,0.04819478093164807,-0.005409459829225833,-0.026763999232593046,-0.07803557088625203,0.07941788894919834,0.07189015976118569,0.03924163648019299,0.051331012328040264,0.048194780931648494,-0.0691365147713029,-0.0815271388691867,-0.06355095303806586,-0.048419066131751634,-0.062327151815407565,-0.049181117179862066,-0.023159568279090596,-0.0025266064294251146,-0.05949216395497925,-0.05312589119410023,-0.040266114426758585,0.7954929395958081,0.2382742125097813,,,,,,,,,-0.023159568279090596,-0.023159568279090513,-0.023159568279090503,0.0019974549481220714,-0.023159568279090503,-0.0025266064294251025,-0.0025266064294249247,-0.0025266064294249433,-0.0025266064294249433
host_total_listings_count,0.07946767749970639,,-0.02905457800363035,0.990531524648795,1.0,,0.008587000749095606,0.011937993971431714,0.06334320684645967,0.06430857850362837,0.05523344890912039,0.05544353020608471,-0.009632999208693292,0.24234921104555066,-0.007607037236042419,-0.005256038220954928,0.1203222619380069,0.14376077053815967,-0.006350350241878837,0.12475649969724195,,-0.03409163348689417,-0.03538363384799176,-0.03331851822755549,0.040942114494513744,-0.06382510919520884,-0.04441291700914931,-0.04563619816593974,-0.03276973234436854,-0.04973258882209541,-0.06113346130385684,-0.01545792650516717,-0.11698317731263216,-0.10083214612097371,-0.09034791462098853,-0.12747183816553023,-0.1703535292960557,-0.054102957004089514,-0.11963585100136515,0.760858709238706,0.7918619009712028,0.00045272894538163854,0.002854676425817665,-0.057042946188436056,0.025813868656667537,0.04120180067893098,-0.015390970828701053,-0.03255385158891622,-0.07276521489176666,0.07709956029827575,0.07016514705074905,0.025813868656667596,0.04619694199486329,0.041201800678931234,-0.06382510919520884,-0.07627876319715311,-0.057042946188436035,-0.04094211449451362,-0.06113346130385683,-0.04421070654153029,-0.029149445401701092,-0.01545792650516717,-0.06144590397888601,-0.05619859886714901,-0.04338121999351287,0.760858709238706,0.20321620422809727,,,,,,,,,-0.029149445401701092,-0.029149445401701102,-0.029149445401701037,0.0031190346390259243,-0.029149445401701037,-0.01545792650516717,-0.0154579265051671,-0.015457926505167018,-0.015457926505167018
neighbourhood_group_cleansed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude,-0.037707109214157555,,0.05631295612836389,0.008926389336170633,0.008587000749095606,,1.0,0.1369637751118793,0.029616912777955008,0.018822288520176755,-0.0113850514053018,0.026603995767569135,-0.04511411414847154,0.007130433657109234,-0.051307841339430664,-0.04898542768871783,0.01928553631043697,0.022487202620637664,-0.05188246066798192,0.01883138882859132,,0.01094406656565149,0.0029804410638528274,-0.0029744675823841593,-0.02973008410259533,0.06781021274642171,0.07117105506445336,0.04054788541460533,-0.0036668254456602993,0.0685870658020669,0.06005548116953724,0.08163004474948106,0.03341549485238254,0.030853843725325306,0.0523232956880144,0.010159910401821739,-0.0043168383351169645,0.04353673540827646,0.042596856873535136,-0.0021670357044982175,0.014138056946425916,-0.04291300668055502,-0.04858913916678521,0.06892655728466021,0.038886556674854994,0.07632116364670448,0.009185841293576946,0.05236255250204689,0.10191274761016293,0.02743526735824021,0.020952004539387264,0.03888655667485491,0.07525593893293187,0.07632116364670478,0.06781021274642146,0.10036874643767801,0.06892655728465993,0.02973008410259524,0.06005548116953733,0.06370033383263471,0.012963257759411588,0.08163004474948106,0.01596494399274892,0.02930050571329694,0.04087085052130914,-0.0021670357044982175,-0.0007736872676748557,,,,,,,,,0.012963257759411585,0.012963257759411593,0.012963257759411605,-0.07635362330864162,0.012963257759411605,0.08163004474948106,0.0816300447494814,0.08163004474948118,0.08163004474948118
longitude,0.026129846753650706,,0.1379825457153947,0.005041600664541163,0.011937993971431714,,0.1369637751118793,1.0,0.027588641239920258,0.03982165604737269,0.07266719650889789,0.04962022437523442,0.05899898532026418,0.02147998951587936,0.05035345212971543,0.04107798282153156,0.016985380809174572,-0.003036286209714854,0.04629762527899614,0.011950621801103284,,0.08805441196556517,0.06256450647911897,0.05135957093946171,0.03246073619428267,-0.02227094616899956,-0.04287582313043359,-0.055015504262385,0.0503269294739921,-0.04549377757005062,-0.07462461539338575,-0.09277090904673595,-0.06702223051123894,-0.06519733705425605,-0.04037402895115153,-0.04526545545399851,-0.0861693692170659,-0.02800205747931586,-0.034766625732781525,-0.01806609241859972,-0.022476732568758713,0.03326787399238702,-0.05584023517106933,-0.028530965905824213,-0.0540371212215849,-0.09507998475525963,-0.041038025070968875,-0.11388626467173008,-0.056154272646479424,-0.01695451340404989,0.04207402632772985,-0.05403712122158493,-0.09852669738009377,-0.09507998475525985,-0.02227094616899961,-0.05686109176468382,-0.02853096590582415,-0.03246073619428251,-0.07462461539338601,-0.01747783870396221,-0.045276073487078086,-0.09277090904673595,-0.05701952400929263,-0.07495919261962919,-0.06405750158617855,-0.01806609241859972,0.0065069224364398244,,,,,,,,,-0.045276073487078086,-0.045276073487078246,-0.04527607348707808,0.04856796169287328,-0.04527607348707808,-0.09277090904673588,-0.09277090904673581,-0.09277090904673617,-0.09277090904673617
accommodates,0.04645710213479732,,0.005440226275440694,0.06650519010288243,0.06334320684645967,,0.029616912777955008,0.027588641239920258,1.0,0.6563992350049483,0.847347372809803,0.8529277061648975,-0.13212418131821269,0.013749510639373005,-0.1372751344881726,-0.1293514120068769,0.04731176182795313,0.04689978407386753,-0.1348653993825751,0.05011199490918417,,0.04224466340518815,0.021034500010061866,0.005005610945319877,0.030779805796301678,-0.021352590832554214,0.028449411686378625,0.016208507902316757,0.003983665720345947,0.02123981343302324,0.00247839938780198,0.3882803168710318,0.03442187202053214,0.01943173564929962,0.02279358828095041,0.032950035451500645,0.022775468720410027,-0.004092764635239717,0.03632654101238765,-0.0116337770716588,0.03206135667851391,-0.14506498298729642,-0.0442927402147651,0.018624125028928667,0.47868351084838306,0.6192949695808383,-0.16021250299380885,-0.3096947026792834,0.06940328581390541,0.9337650530085236,0.8342547407045919,0.4786835108483845,0.6050743182216268,0.619294969580838,-0.021352590832554245,0.07065149479241262,0.01862412502892864,-0.030779805796301525,0.0024783993878018935,-0.02697469623672037,0.30596144637920863,0.3882803168710318,-0.13674738059446434,-0.06554590088504218,0.24467234366721044,-0.0116337770716588,-0.07278819660918993,,,,,,,,,0.30596144637920863,0.3059614463792084,0.30596144637920775,-0.10795376448627346,0.30596144637920775,0.3882803168710318,0.38828031687103237,0.3882803168710322,0.3882803168710322
bathrooms,0.06831498931928157,,-0.003999304226921642,0.06862087234380325,0.06430857850362837,,0.018822288520176755,0.03982165604737269,0.6563992350049483,1.0,0.7018422493186025,0.5911597815275008,-0.06833231457409362,-0.006034610137894116,-0.06953151409541075,-0.06442570240301447,-0.03938563444979909,-0.029219436309374645,-0.06694671565221254,-0.03748384677660391,,0.04450190736930415,0.01267171043886134,-0.008349404002363177,0.026703543197601567,-0.10453839303382488,-0.07931325412359058,-0.06941457573676765,-0.00895452330916869,-0.07841491278737474,-0.11039665519031293,0.2766836094413206,0.06447673506932633,0.05292117143391517,0.03310142141795198,0.03399481348082888,0.029121910224384727,0.036127224310424894,0.05034464603568599,0.017373711290084734,0.03274281298941406,-0.06294769488512993,0.013025437442796745,-0.09333013493465747,0.46855248176548586,0.5372544051926742,-0.0031738364875893896,-0.012462567762350309,-0.06321398017298885,0.5872075929066961,0.5843486629746416,0.4685524817654851,0.5224689923166602,0.5372544051926719,-0.1045383930338247,-0.0626484748684368,-0.09333013493465749,-0.026703543197601477,-0.11039665519031289,-0.0995308083827467,0.3336010578063435,0.2766836094413206,-0.01321295653224046,-0.023885868573749355,0.18954770761635933,0.017373711290084734,-0.037954577974459475,,,,,,,,,0.3336010578063435,0.33360105780634447,0.3336010578063438,-0.0251219270644412,0.3336010578063438,0.2766836094413206,0.2766836094413207,0.2766836094413208,0.2766836094413208
