variable_name,data_type,n_unique,n_missing,pct_missing,min,max,range,mean,median,std,precision,mode
id,continuous,33457.0,0,0.0,5269,1510557608102313650,1.5105576081023084e+18,6.104404242824052e+17,6.999812869230706e+17,5.588201598696589e+17,0.0,5269
listing_url,discrete_categorical,33457.0,0,0.0,https://www.airbnb.com/rooms/1000111199730505604,https://www.airbnb.com/rooms/999891253907503853,,,,,,https://www.airbnb.com/rooms/1000111199730505604
scrape_id,discrete_numeric,1.0,0,0.0,20250916040722,20250916040722,0.0,20250916040722.0,20250916040722.0,0.0,0.0,20250916040722
last_scraped,discrete_categorical,2.0,0,0.0,2025-09-16,2025-09-17,,,,,,2025-09-17
source,discrete_categorical,1.0,0,0.0,city scrape,city scrape,,,,,,city scrape
name,discrete_categorical,30834.0,0,0.0,! 1 A New Waikiki Studio Ala wai Moana Convention,🥭WAIKIKI STYLISH PENTHOUSE-Free Parking 🥭,,,,,,Wyndham Kauai Beach Villas | 1BR/1BA King Suite
description,discrete_categorical,26517.0,1010,3.02,    Our ideal location will provide you with a great way to get the most out of your Maui vacation. We have endeavored to make our condo well equipped for your comfort. A renown beach is just across the street and dining options are equally close.<br />  ,"🩴 Steps to the beach. 🏖️<br />Tropical Getaway in Kihei<br />Welcome to your Maui escape at theNest in Kihei – a bright and breezy 1-bedroom, 2-bathroom condo with a pull-out couch, perfect for couples, families, or friends. Just across the street from Kamaole Beach Park III, one of Maui’s best-loved beaches.<br /><br />🛏️ 1 Bedroom • 2 Bathrooms • Sleeps 2–4<br /><br />Live Aloha and SAVE BIG!<br /><br />Message me w/ questions",,,,,,Take it easy at this unique and tranquil getaway.
neighborhood_overview,discrete_categorical,9034.0,17030,50.9,"""Centralized"" is a perfect description of the neighborhood.   Moments to beach....about a 10 minute distance from Island Colony.<br />In the same block is popular casual eateries, ie, Zigu, Aloha Steakhouse, Pau Hana Base, MacDonalds, Heavenly to name a few.  Also, in the lobby is Forty Niner a local foodie spot.<br />Famous International Market Place is just around the corner.  And Royal Hawaiian Ave has a bunch of places to shop and eat too!<br />Royal Hawaiian Shopping Center is a huge 3 level tourist must visit too!<br />The Bus line is right in this block to go everywhere!","🩳Situated on the south shore of Oahu, Waikiki is one of the most iconic destinations in Honolulu. <br />Although Waikiki is widely known as a tourist hotspot, the neighborhood also draws residents seeking a vibrant beachfront lifestyle within close reach of Downtown Honolulu and the University of Hawaiʻi at Mānoa, in addition to numerous service workers and tourism industry professionals.<br /><br />Waikiki offers a broad range of apartments and condos available for rent, many of which tout gorgeous views of the ocean or the nearby mountains.<br />We're super close to Waikiki Beach and everything else Waikiki has to offer.<br /><br />🦩🦚Even the Honolulu Zoo is just a block away!<br /><br />🏬 Waikiki boasts beautiful beaches like Kūhiō Beach, Kahanamoku Beach, and Fort DeRussy Beach Park, along with exceptional shopping at International Market Place, Royal Hawaiian Center, and Waikiki Shopping Center.<br /><br />🍱The community also enjoys a vast selection of restaurants, bars, and shops",,,,,,"Honua Kai occupies 38 pristine beachfront acres on the shores of Kaanapali’s North Beach so you’ll literally be just steps away from the tranquility of Maui’s shoreline. Stroll out to the beach to touch your toes in the soft sand or take a refreshing dip in the Pacific. An “Ohana Play Package” including beach chairs, BBQ equipment, and a portable cooler is provided complimentary."
picture_url,discrete_categorical,32496.0,0,0.0,https://a0.muscache.com/pictures/00018704-352d-4bc8-a802-cfa0f1e91adc.jpg,https://a0.muscache.com/pictures/prohost-api/Hosting-999891253907503853/original/bb728295-f70e-496a-87c7-a4748cb23d25.jpeg,,,,,,https://a0.muscache.com/pictures/miso/Hosting-1252985363791962027/original/50bb40e6-19bf-4c09-a3ce-f0cffcbc030a.jpeg
host_id,continuous,8787.0,0,0.0,884,718331959,718331075.0,197288390.19562423,116164696.0,189952960.19101036,0.0,39073224
host_url,discrete_categorical,8787.0,0,0.0,https://www.airbnb.com/users/show/10000414,https://www.airbnb.com/users/show/99981912,,,,,,https://www.airbnb.com/users/show/39073224
host_name,discrete_categorical,3990.0,2,0.01,A,紀篤,,,,,,Matthew
host_since,discrete_categorical,4041.0,2,0.01,2008-07-20,2025-09-10,,,,,,2015-07-20
host_location,discrete_categorical,1050.0,8385,25.06,"Abbotsford, Canada","Zephyr Cove-Round Hill Village, NV",,,,,,"Honolulu, HI"
host_about,discrete_categorical,4729.0,10145,30.32,"

","ﾛｻﾝｾﾞﾙｽに28年間住んでいましたが､自然が好きで､ﾊﾜｲ島にやってきました。
皆様が このﾊﾜｲ島の大自然の中で 自然とのつながり､宇宙とのつながりを感じていただけたら､､､人間の本来あるべき姿を見つめ直すことができたらとおもい､Hawaii MAKOAﾊﾜｲﾏｺｱを始めました。
ご縁をいただけますことを願って。。。。
I have lived in Los Angeles for 28 years.
I moved in Hawaii Island in 2010 because I love nature and animals.
Hawaii Makoa is the perfect place for me to connect with the earth.",,,,,,"Maui Resort Rentals provides upscale vacation experiences at a curated collection of resort residences.

Our Kaanapali and Wailea offices are just minutes from Maui's beachfront resorts.

Our Ritz-Carlton and Marriott trained staff are here to serve. Your guest experience is our highest priority."
host_response_time,discrete_categorical,4.0,1780,5.32,a few days or more,within an hour,,,,,,within an hour
host_response_rate,discrete_categorical,60.0,1780,5.32,0%,99%,,,,,,100%
host_acceptance_rate,discrete_categorical,97.0,1395,4.17,0%,99%,,,,,,100%
host_is_superhost,discrete_categorical,2.0,563,1.68,f,t,,,,,,t
host_thumbnail_url,discrete_categorical,8432.0,2,0.01,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://z1.muscache.cn/im/users/222740/profile_pic/1414557144/original.jpg?aki_policy=profile_small,,,,,,https://a0.muscache.com/im/pictures/user/40b81dd1-cd1c-4f72-8764-b963dbc50b0f.jpg?aki_policy=profile_small
host_picture_url,discrete_categorical,8432.0,2,0.01,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,https://z1.muscache.cn/im/users/222740/profile_pic/1414557144/original.jpg?aki_policy=profile_x_medium,,,,,,https://a0.muscache.com/im/pictures/user/40b81dd1-cd1c-4f72-8764-b963dbc50b0f.jpg?aki_policy=profile_x_medium
host_neighbourhood,discrete_categorical,386.0,7409,22.14,Ahwatukee Foothills Village,‘Ō‘ōkala,,,,,,Waikiki
host_listings_count,continuous,211.0,2,0.01,1.0,3898.0,3897.0,230.11926468390376,33.0,581.1610368720535,1.0,1.0
host_total_listings_count,continuous,251.0,2,0.01,1.0,9683.0,9682.0,339.38586160514126,42.0,981.3211763780517,1.0,1.0
host_verifications,discrete_categorical,6.0,2,0.01,"['email', 'phone', 'work_email']",[],,,,,,"['email', 'phone']"
host_has_profile_pic,discrete_categorical,2.0,2,0.01,f,t,,,,,,t
host_identity_verified,discrete_categorical,2.0,2,0.01,f,t,,,,,,t
neighbourhood,discrete_categorical,1.0,17030,50.9,Neighborhood highlights,Neighborhood highlights,,,,,,Neighborhood highlights
neighbourhood_cleansed,discrete_categorical,30.0,0,0.0,Central Oahu,Waimea-Kekaha,,,,,,Primary Urban Center
neighbourhood_group_cleansed,discrete_categorical,4.0,0,0.0,Hawaii,Maui,,,,,,Maui
latitude,continuous,22622.0,0,0.0,18.989648285159877,22.22909,3.2394417148401224,20.907427333088076,20.95818,0.8136274167346834,15.0,21.2747247
longitude,continuous,21636.0,0,0.0,-159.71652793068847,-154.84228,4.874247930688483,-157.2130369072975,-156.69108,1.2898152242695737,14.0,-157.820931
property_type,discrete_categorical,80.0,0,0.0,Barn,Yurt,,,,,,Entire condo
room_type,discrete_categorical,4.0,0,0.0,Entire home/apt,Shared room,,,,,,Entire home/apt
accommodates,discrete_numeric,16.0,0,0.0,1,16,15.0,4.835310996204083,4.0,2.5173036009922445,0.0,4
bathrooms,continuous,26.0,3,0.01,0.0,14.0,14.0,1.6571560949363304,1.0,0.9980551115273638,1.0,1.0
bathrooms_text,discrete_categorical,45.0,73,0.22,0 baths,Shared half-bath,,,,,,1 bath
bedrooms,discrete_numeric,18.0,68,0.2,0.0,48.0,48.0,1.618227559974842,1.0,1.2446909744952424,0.0,1.0
beds,continuous,23.0,36,0.11,0.0,32.0,32.0,2.607911193560935,2.0,1.6477326811841189,1.0,2.0
