,id,scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_clean,log_price,price_per_accommodates,log_price_per_accommodates,log_reviews,log_accommodates,log_beds,price_zscore,price_percentile,log_price_zscore,reviews_zscore,reviews_percentile,reviews_per_month_zscore,occupancy_rate,occupancy_rate_booked,occupancy_is_capped,est_annual_revenue,est_annual_revenue_booked,revenue_per_accommodates,revenue_per_bedroom,log_est_revenue,host_listings_in_city,host_is_professional,pct_professional_hosts,pct_large_operators,median_host_listings,gini_host_concentration,market_professionalization_score,purchase_price,monthly_payment,zori_rent,annual_cash_flow,cash_on_cash_roi,cap_rate,price_to_rent_ratio,revenue_yield,annual_cash_flow_booked,cash_on_cash_roi_booked,cap_rate_booked,revenue_yield_booked
id,1.0,,0.3647769994059208,0.04371429315479628,-0.015304173055217743,,0.04794633598187393,-0.09093548011200463,0.14726358926806768,0.08220632460598724,0.15019566167828735,0.12185863412796104,-0.16034904397254957,-0.229115237233311,-0.17482855184403093,-0.0898547179238074,-0.2659719591315008,-0.27718293066884125,-0.17108664965468406,-0.27525624682052663,,-0.014036257171083588,0.04192705657924846,0.059794897424992804,0.06408961079453733,-0.48778824102603635,-0.06363137232242051,0.09335434066401695,0.05503376561321243,-0.25599764107169615,-0.16585938838291708,-0.05639084084262058,-0.04239660481075452,-0.06773246610563201,0.01147842516931882,-0.06856335632696703,-0.015480279727257651,-0.08888913851077136,-0.05993761610178586,-0.04239638039767825,-0.11890043558818622,0.019021016698000055,0.021100199296423556,0.251933733935257,0.09495111914623688,0.12112132765064393,0.011140987631217679,-0.020611362392916922,-0.48527989970056973,0.12273612117791557,0.11962323538528073,0.09495111914623733,0.1326045454424673,0.1211213276506439,-0.48778824102603535,-0.479464196487383,0.25193373393525736,-0.06408961079453958,-0.16585938838291478,-0.13401184478584363,0.040407990738233576,-0.05639084084262058,-0.07092892531791006,-0.03660588586599302,-0.03375932739362065,-0.04239638039767825,0.0027362345385721883,,,,,,,,,0.04040799073823456,0.0404079907382333,0.040407990738233195,0.05732004899889621,0.040407990738233195,-0.05639084084262144,-0.05639084084262184,-0.05639084084262063,-0.05639084084262063
scrape_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_id,0.3647769994059208,,1.0,-0.029957216437867952,-0.04236245489105439,,-0.029681537147930436,-0.13652546968725782,0.18904090331753795,0.09922343509438622,0.18657047059445706,0.19872704837073615,-0.10131551113561177,-0.13434616606084662,-0.0930900525478403,-0.09826092821293991,-0.08760947086561599,-0.06140595702895334,-0.09674558692524755,-0.08216564250253879,,0.07894613268444495,0.08721346577369059,0.08014486223800477,0.00618997758573187,-0.183220444602669,0.006443436679770442,0.10922913378393301,0.07116103034147259,-0.10243163704664739,-0.0483665974024301,0.04126739160776904,-0.03600723503483928,-0.04197961871943856,-0.02991622863673749,-0.05800729621841911,-0.020601430435717955,-0.08443885733313115,-0.022267878144747153,-0.20597244037451407,-0.08823773662297993,-0.17739251851847573,0.024553113691343133,0.1538283896916597,0.10278979361690442,0.13167573364626617,0.003791597209400185,-0.04322140136559706,-0.14953132115559153,0.15470558101748286,0.19303887606897566,0.10278979361690467,0.13233421100513143,0.13167573364626609,-0.18322044460266892,-0.1490857337941597,0.15382838969165977,-0.006189977585732637,-0.04836659740242924,-0.05138083274378755,0.04528884078875814,0.04126739160776904,-0.047553180701438894,-0.022878581109408228,0.038232523164545916,-0.20597244037451407,-0.05560483347562579,,,,,,,,,0.04528884078875854,0.04528884078875813,0.045288840788758035,-0.01680371866016705,0.045288840788758035,0.04126739160776884,0.04126739160776851,0.04126739160776912,0.04126739160776912
host_listings_count,0.04371429315479628,,-0.029957216437867952,1.0,0.8850119992131368,,-0.01360996927307108,0.11855183766506591,-0.06024300744829599,0.013150494498196514,-0.03829848315124067,-0.04400834290943551,0.03806491898380107,0.28369418727381746,0.04085804038964382,0.509100799048084,0.09500287545019129,0.16655089621649502,0.05557141380558363,0.10482995283256162,,-0.014047214674026358,-0.038017524188066344,-0.047271923370413964,0.055457329087454696,-0.09366053472697085,-0.12269759380218775,-0.10357757511229299,-0.04100200337304474,-0.103881198255381,-0.16218931199880673,-0.0956336935109152,-0.033701080512036,-0.027313009177390095,-0.017905326415455093,-0.10890339295009678,-0.08798501047452971,0.014997229956258965,-0.08822138199302001,0.13022998807575029,0.23406084696414398,-0.013048086110261163,-0.007141704007186463,-0.1344169965612051,0.0673165019447835,0.1082232390813681,0.10039038652968872,0.19172588093807694,-0.19216230124907757,-0.03875880757203068,-0.036112850240832675,0.06731650194478325,0.11920774882277183,0.10822323908136815,-0.09366053472697067,-0.18894780856727128,-0.13441699656120504,-0.05545732908745462,-0.1621893119988067,-0.10106886622105757,0.0543142451393434,-0.0956336935109152,0.13726030330163533,0.11436574883560771,0.055737522320718914,0.13022998807575029,0.10786426715679906,,,,,,,,,0.05431424513934344,0.054314245139343485,0.05431424513934334,-0.012699627918022434,0.05431424513934334,-0.09563369351091525,-0.09563369351091505,-0.09563369351091527,-0.09563369351091527
host_total_listings_count,-0.015304173055217743,,-0.04236245489105439,0.8850119992131368,1.0,,-0.03453437235505747,0.21570123377582523,-0.04596114491431323,-0.019504319492372742,-0.047296436220314375,-0.04569076982181195,0.044283781157829744,0.34704285091197107,0.04928129481836418,0.40035502289377,0.11865698678359189,0.19438418099152538,0.06047759801339829,0.1280450580624904,,0.06764828528419094,0.043051559920006414,0.03243814094180093,0.07398703741539919,-0.14074234889921292,-0.1868768596082294,-0.14902794791687385,0.03506527060867977,-0.15807051257964472,-0.24967283350254593,-0.12778178197807488,-0.1401242083705395,-0.14154550996065476,-0.1139999724931311,-0.17363652674684424,-0.15832310325780583,0.009965405967557014,-0.1842218077016445,0.2785854692709747,0.5683595675168698,-0.044239476002040284,-0.010926064043904912,-0.22196128513809152,0.05915853828173762,0.11251092327681733,0.08404822057518693,0.1660159213591242,-0.24416696001055543,-0.007227000371339942,-0.033519845370734325,0.05915853828173745,0.1277852208308414,0.11251092327681714,-0.1407423488992129,-0.24322148595223303,-0.22196128513809155,-0.0739870374153991,-0.249672833502546,-0.15365548379280436,0.07539229382951995,-0.12778178197807488,0.13794299905331567,0.1542499239813316,0.07442298026946866,0.2785854692709747,0.15989230818392794,,,,,,,,,0.07539229382951995,0.07539229382951985,0.0753922938295198,-0.015252476491489676,0.0753922938295198,-0.12778178197807502,-0.12778178197807452,-0.12778178197807483,-0.12778178197807483
neighbourhood_group_cleansed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude,0.04794633598187393,,-0.029681537147930436,-0.01360996927307108,-0.03453437235505747,,1.0,0.6005173644417122,0.02687443038550701,0.08033394139209907,0.02056678925750173,0.017918075724824276,-0.02784603359599275,-0.0046244104976940195,-0.02481472044397864,-0.0019413745613666017,-0.005382044039006088,-0.003183106980415896,-0.018261408075170103,-0.0021935938968899397,,-0.09540869171812727,-0.07208592718893747,-0.07261402977936116,-0.07336132470313683,-0.010773558499587142,0.012931903908690768,0.037456823446234924,-0.07145308175574691,-0.007886178744270333,-0.024503248504966272,0.04853479456247067,0.09124991633678459,0.062166633074919465,0.07043740556942965,0.07458988160897724,0.04687995919980958,0.20053711733093763,0.058221536836553386,0.05802197331806203,-0.0043129490987345405,0.06644101751783948,-0.017900090009579355,0.040915475491518125,0.04284988625338914,0.03438032899903326,0.013376767111472471,0.04936770727251797,-0.03944216869347169,-0.004909584694842104,0.020831421534488574,0.04284988625338922,0.037438999630173775,0.03438032899903365,-0.010773558499587131,-0.03944624771420289,0.040915475491518076,0.07336132470313653,-0.024503248504966203,-0.01332210044635612,0.060840414547092186,0.04853479456247067,0.06207943998879671,0.059918299713450585,0.08991031926499808,0.05802197331806203,0.046015696045758295,,,,,,,,,0.06084041454709218,0.0608404145470922,0.06084041454709216,-0.03805188601034397,0.06084041454709216,0.048534794562470694,0.048534794562470895,0.04853479456247091,0.04853479456247091
longitude,-0.09093548011200463,,-0.13652546968725782,0.11855183766506591,0.21570123377582523,,0.6005173644417122,1.0,-0.052242526947403334,-0.03346736245239906,-0.10132753995324502,-0.07278327170081343,0.077150687650677,0.09827064494381246,0.0792101144101079,0.09611813754406393,0.005073636429467751,0.03517804676054539,0.08774264817008526,0.011737847162939387,,-0.06850409017173131,-0.08216021917304045,-0.09119742774981089,-0.022717668679333527,0.013909123675527948,-0.05106459368695067,-0.010813299058226875,-0.08565292038657704,-0.05928616960765918,-0.13293288514900406,0.055480937991574386,0.0797062138550293,0.04980846935697945,0.04370761761190675,0.01977850100668963,0.002253269671542662,0.2993546609560419,0.005747232351011729,0.10573467515915554,0.2741875990712143,-0.0473261997541158,-0.024093314761921995,-0.05567466511169432,0.12340793627881672,0.17635580163397066,0.12615664539475627,0.2851796378247399,-0.0908040996041549,-0.021924094059692114,-0.06412744637243056,0.12340793627881681,0.18106914128662513,0.1763558016339711,0.013909123675527778,-0.09421277054070419,-0.055674665111694555,0.022717668679333423,-0.1329328851490045,-0.07597772405113497,0.1308751171782115,0.055480937991574386,0.17205270929642114,0.20042018152975508,0.17116510108300292,0.10573467515915554,0.03649701426069118,,,,,,,,,0.13087511717821146,0.13087511717821163,0.13087511717821168,-0.06817297160003553,0.13087511717821168,0.05548093799157458,0.055480937991574435,0.05548093799157446,0.05548093799157446
accommodates,0.14726358926806768,,0.18904090331753795,-0.06024300744829599,-0.04596114491431323,,0.02687443038550701,-0.052242526947403334,1.0,0.5096490086399047,0.8316147951089984,0.8568543736360743,-0.14555655346512714,-0.004157649809056208,-0.16572356162682755,-0.12913463146886328,0.08318134877790294,0.05950897961784184,-0.16726791057003892,0.07943519991249776,,0.07615009349502903,0.07890757478570429,0.05650553398100578,0.07058621463588227,0.030260315096753924,0.1695981108700115,0.23555649509368334,0.04491698633298419,0.04445628611028553,0.05429632108905468,0.45648534583010236,0.09777174991762987,0.06542800960136987,0.11977635678204152,0.06895192408452881,0.08812156100745214,0.006739958991297994,0.09611350250978931,-0.21641306634251772,0.11424444490247303,-0.294862780199053,-0.04424849899743063,0.31754819184981725,0.5049508901570577,0.7208293429247565,-0.10478365304180674,-0.23368049602585558,0.06954342420471399,0.9265900807683306,0.8253486241227954,0.5049508901570579,0.7162998006347806,0.7208293429247584,0.03026031509675402,0.07029213352271131,0.3175481918498173,-0.07058621463588256,0.054296321089055265,0.08032990808685672,0.37210337431897367,0.45648534583010236,-0.13243958375266499,0.041346929614800736,0.3656851623312927,-0.21641306634251772,-0.08840643459656587,,,,,,,,,0.3721033743189741,0.3721033743189744,0.37210337431897456,-0.15528444605154962,0.37210337431897456,0.45648534583010253,0.45648534583010475,0.45648534583010336,0.45648534583010336
bathrooms,0.08220632460598724,,0.09922343509438622,0.013150494498196514,-0.019504319492372742,,0.08033394139209907,-0.03346736245239906,0.5096490086399047,1.0,0.5745637133308927,0.48141980284283653,-0.031915703836244265,0.049775054804544624,-0.06803380140265058,-0.01732592828085857,0.03697186071364174,0.02620479407369376,-0.05579562295801823,0.03770761298929893,,-0.008524627275602579,-0.023033320405964078,-0.02734915684875277,0.034196354646012866,-0.09380457271068841,-0.00804037334689684,0.02731631445755516,-0.020007685804516947,-0.07924414923820612,-0.039399253482673195,0.2507593728147891,0.056392774799584766,0.02713325003923846,0.03597892323218609,0.03160599262012439,0.021091308687433787,0.012246066343709821,0.04309049609371703,0.010212390503633923,0.028526527749022885,-0.0008884504528295639,-0.025155049703862235,0.04547964405024794,0.35746393018926076,0.3273571648067205,-0.0045475543845324,-0.02058609744387076,-0.045344769552996315,0.3606014676715545,0.39603474345867284,0.35746393018926154,0.299642303963493,0.3273571648067197,-0.09380457271068804,-0.042607366992526645,0.04547964405024776,-0.03419635464601286,-0.03939925348267322,-0.05010333322668948,0.23217608599673384,0.2507593728147891,-0.0348564945191624,-0.04915701091774097,0.13415244379582375,0.010212390503633923,0.04391193721307033,,,,,,,,,0.2321760859967339,0.2321760859967339,0.23217608599673406,-0.052300123391712285,0.23217608599673406,0.25075937281478916,0.2507593728147891,0.2507593728147894,0.2507593728147894
