variable_name,data_type,n_unique,n_missing,pct_missing,min,max,range,mean,median,std,precision,mode
id,continuous,1820.0,0,0.0,40669,1517011467451968795,1.517011467451928e+18,8.668975087004525e+17,1.0556819941412076e+18,5.443434318577115e+17,0.0,40669
listing_url,discrete_categorical,1820.0,0,0.0,https://www.airbnb.com/rooms/1000794711962175283,https://www.airbnb.com/rooms/998500475791443097,,,,,,https://www.airbnb.com/rooms/1000794711962175283
scrape_id,discrete_numeric,1.0,0,0.0,20250925032920,20250925032920,0.0,20250925032920.0,20250925032920.0,0.0,0.0,20250925032920
last_scraped,discrete_categorical,2.0,0,0.0,2025-09-25,2025-09-26,,,,,,2025-09-25
source,discrete_categorical,2.0,0,0.0,city scrape,previous scrape,,,,,,city scrape
name,discrete_categorical,1788.0,0,0.0,"""28+ Day Stay: Work & Relax with Ease - Near NYC""",可爱的小窝,,,,,,Lovely room for rent with shared bathroom
description,discrete_categorical,1498.0,22,1.21,"""Peaceful Stay with Quick Access to New York""",🛏️ Stylish 3-Bedroom Apartment in Jersey City Idea...,,,,,,Keep it simple at this peaceful and centrally-loca...
neighborhood_overview,discrete_categorical,515.0,1072,58.9,"""The Heights"" is a diverse neighborhood in Jersey ...",🏙️ Prime Location: Nestled in the heart of Jersey ...,,,,,,Why stay in Manhattan when you can savor the peace...
picture_url,discrete_categorical,1790.0,0,0.0,https://a0.muscache.com/pictures/005f2f39-7ceb-499...,https://a0.muscache.com/pictures/prohost-api/Hosti...,,,,,,https://a0.muscache.com/pictures/hosting/Hosting-1...
host_id,continuous,783.0,0,0.0,16038,719080586,719064548.0,219586176.69560438,126119502.5,214353667.6114309,0.0,28260018
host_url,discrete_categorical,783.0,0,0.0,https://www.airbnb.com/users/show/100017662,https://www.airbnb.com/users/show/99911152,,,,,,https://www.airbnb.com/users/show/28260018
host_name,discrete_categorical,666.0,1,0.05,Abe,Zoheb,,,,,,Bp Stays.
host_since,discrete_categorical,717.0,1,0.05,2009-05-06,2025-09-15,,,,,,2015-02-24
host_location,discrete_categorical,64.0,347,19.07,"Asbury Park, NJ","Westport, CT",,,,,,"Jersey City, NJ"
host_about,discrete_categorical,389.0,774,42.53,"Hello, and welcome to our home. My husband and I w...","¡Bienvenidos a nuestro hogar en Jersey City, cerca...",,,,,,"No hosts. Just minimalist design, five-star servic..."
host_response_time,discrete_categorical,4.0,139,7.64,a few days or more,within an hour,,,,,,within an hour
host_response_rate,discrete_categorical,35.0,139,7.64,0%,99%,,,,,,100%
host_acceptance_rate,discrete_categorical,66.0,93,5.11,0%,99%,,,,,,100%
