,id,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_clean,log_price,price_per_accommodates,log_price_per_accommodates,log_reviews,log_accommodates,log_beds,price_zscore,price_percentile,log_price_zscore,reviews_zscore,reviews_percentile,reviews_per_month_zscore,occupancy_rate,occupancy_rate_booked,occupancy_is_capped,est_annual_revenue,est_annual_revenue_booked,revenue_per_accommodates,revenue_per_bedroom,log_est_revenue,host_listings_in_city,host_is_professional,pct_professional_hosts,pct_large_operators,median_host_listings,gini_host_concentration,market_professionalization_score,purchase_price,monthly_payment,zori_rent,annual_cash_flow,cash_on_cash_roi,cap_rate,price_to_rent_ratio,revenue_yield,annual_cash_flow_booked,cash_on_cash_roi_booked,cap_rate_booked,revenue_yield_booked
id,1.0,,0.47274600753612905,0.04642060440657282,0.050262315214655184,0.03148246401079446,0.06886088375450196,0.13168097575128337,0.06737957514879593,0.08173814645317344,0.03593183999038102,-0.10803681545809206,-0.26908157550893635,-0.11243407872746519,-0.07940869363988749,-0.007687494191195543,-0.007687259592693782,-0.10774113869963035,-0.0076862026762748534,,0.20770219936984283,0.2387705138659054,0.2550359611743711,0.26581899410239057,-0.3236743881558432,0.009695379179285223,0.09394741034138378,0.2654010256941976,-0.12133413702493166,-0.019946063894492733,-0.07055547598140181,-0.0637659633315469,-0.07605009245362548,-0.022934173067475208,-0.10313086796737843,-0.06897307868516635,-0.10429100511056491,-0.06089312442702936,0.09804584633846841,0.04608726978598975,0.18137342749713062,0.0836812199759279,0.20165545112820651,0.0038603411046401093,-0.009942526789650304,-0.008605139768146362,-0.10496710442239035,-0.3902969007442653,0.1323720223223736,0.03523106610480601,0.003860341104640164,0.013678073787896402,-0.009942526789656724,-0.323674388155841,-0.3777118319583014,0.2016554511282086,-0.2658189941023855,-0.019946063894488122,-0.02664754821674321,-0.01810801015625371,-0.07055547598140181,-0.03294371151752221,-0.024046852149778544,-0.09035286958770593,0.09804584633846841,0.23660165205447745,,,,,,,,,-0.018108010156253185,-0.018108010156252356,-0.018108010156252612,0.05999970519545582,-0.018108010156252612,-0.0705554759814005,-0.0705554759814057,-0.07055547598140052,-0.07055547598140052
scrape_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_id,0.47274600753612905,,1.0,-0.010748677307371276,-0.01030499822710349,0.017914242141912198,0.11549552794592143,0.053051696832300765,-0.012826241564808221,0.0093783425697614,0.0034627956927486474,-0.09655025133045486,-0.1530826996886043,-0.10101300124095848,-0.09633389541627821,0.004469744217117453,0.004470326847593181,-0.09891292208281902,0.004470213960023577,,0.13865888427142123,0.14901115308436505,0.15172986860608373,0.13733462444073202,-0.1659102310188277,0.01599400263115596,0.05951481005757318,0.15347106321945406,-0.046851527228135736,-0.025369589421073785,-0.05587286691011929,-0.10910899361088258,-0.1067456069034532,-0.07406829024556712,-0.12202364607210986,-0.10043588443947793,-0.12562771035038814,-0.09830068985926019,0.02890949352445801,-0.05315333543916483,0.2686082124598464,0.13363784665594733,0.1342917725623112,0.010182278956576942,-0.0978581214316058,0.0076658435181239885,-0.1546285941412559,-0.18956785922258965,0.044930404746956816,-0.006414915703748049,0.010182278956577214,-0.08792133999223367,-0.09785812143160826,-0.1659102310188261,-0.18385048608097818,0.13429177256231237,-0.13733462444072847,-0.02536958942107181,-0.02678850380082619,-0.007600984669099981,-0.05587286691011929,-0.013191587039585354,0.0005654084308298043,-0.11866910683829422,0.02890949352445801,0.1508343404492623,,,,,,,,,-0.007600984669099716,-0.007600984669099255,-0.007600984669099371,0.09336746468479272,-0.007600984669099371,-0.055872866910119105,-0.05587286691012116,-0.05587286691011844,-0.05587286691011844
host_listings_count,0.04642060440657282,,-0.010748677307371276,1.0,0.9822568558396356,-0.010063655555042256,-0.0446728776028161,-0.06429213530322252,-0.044397263050473874,-0.05946996864696878,-0.07917670200422612,0.049014284280594726,0.1872655010867093,0.051235321031011916,0.3087719703474611,-0.0010604849947945733,-0.001060375557195593,0.05654006850798349,-0.0010603232522636223,,0.06798891956256943,0.06237890142941261,0.05788715310629117,0.10858272889745209,-0.06639131841384824,-0.06682684643304143,-0.06369864514162756,0.06279667008187893,-0.06382574969298194,-0.0989658683073761,-0.07765875351459467,-0.08403733587589043,-0.05875187932977464,-0.05115372702613121,-0.099724578424739,-0.12514792764278715,-0.04856913326963088,-0.11718661497161184,0.8768151573466767,0.9052664313492609,0.011065275353150782,0.005982347200619001,-0.062331908132662775,0.010538554838561837,0.04120720319945547,0.026099192869519144,0.12855106181609469,-0.1500820546205149,-0.05578931842468694,-0.08536934337658628,0.01053855483856178,0.06528417272976506,0.04120720319945619,-0.06639131841384908,-0.15887054806789958,-0.06233190813266274,-0.10858272889745034,-0.09896586830737515,-0.0414007819839199,-0.013203379968559574,-0.07765875351459467,-0.004324977869497959,-0.0018655310017251323,-0.03372473177870637,0.8768151573466767,0.12397717520423586,,,,,,,,,-0.013203379968559498,-0.013203379968559434,-0.013203379968559423,-0.0006854218441688191,-0.013203379968559423,-0.07765875351459506,-0.07765875351459378,-0.07765875351459309,-0.07765875351459309
host_total_listings_count,0.050262315214655184,,-0.01030499822710349,0.9822568558396356,1.0,-0.016802047272391735,-0.04512222513321093,-0.055679251271737645,-0.04117561925639755,-0.05398104997279135,-0.07489517932589798,0.04567553558815457,0.19382952427285224,0.04784523769509272,0.29309322184684894,-0.001149911841716123,-0.0011496503352449788,0.052826437328232695,-0.0011497056168522778,,0.07067598153351731,0.06569177005029753,0.06148175629939843,0.10969479898989912,-0.06904182849532796,-0.06850799362948147,-0.06551259175513456,0.0666276907053839,-0.06575855361917282,-0.10002609743255293,-0.07625161270078232,-0.08953926665407651,-0.06585796737065462,-0.05550142684902221,-0.10124458856970973,-0.12774770299120647,-0.052263020772916224,-0.12136659925952052,0.8500652857227352,0.8757793743249456,0.014952388333345779,0.0043368087263334736,-0.06516112895741527,0.030875192485803074,0.04946384005452618,0.043368395161472,0.13446916317818705,-0.1519331691490449,-0.04811516677955298,-0.08070234540391691,0.030875192485802894,0.07006706341589895,0.049463840054525705,-0.06904182849532904,-0.16039115395539771,-0.06516112895741488,-0.10969479898989819,-0.10002609743255136,-0.04284752147925474,0.0009460818743874824,-0.07625161270078232,0.007052711664954105,0.013662163452688683,-0.034323099469132035,0.8500652857227352,0.13323112384285368,,,,,,,,,0.0009460818743875542,0.0009460818743875214,0.0009460818743874768,3.113854964269725e-05,0.0009460818743874768,-0.07625161270078282,-0.07625161270078303,-0.07625161270078161,-0.07625161270078161
latitude,0.03148246401079446,,0.017914242141912198,-0.010063655555042256,-0.016802047272391735,1.0,-0.07386843860577819,0.027441921706585264,0.05123590854188958,0.045303178486275034,0.016879576916603023,-0.0036161118297138397,-0.00697250051547662,-0.0019868387692413415,-0.011685421924815153,-0.008680737493826382,-0.0086810533674811,-0.00347233694389746,-0.00868045898793922,,0.04121907134731793,0.03830298403513702,0.03485286518790531,0.0375506385809758,-0.05387406295864937,-0.05745463729797672,-0.059787548633689604,0.03008723358170695,-0.05322131608350746,-0.05826424311909343,-0.0724017841363051,0.021371200828281044,0.01743226296359514,0.021383359569275222,0.01024432107329758,0.01667475020502536,0.017648360637975626,0.038240335612763736,-0.029324505027368053,-0.022262977057502548,-0.025423338424805816,-0.019475256816968614,-0.05090951844155106,-0.002071926977428149,-0.06545065088721053,-0.003527297698277738,-0.08682468813612097,-0.06854038027419204,-0.00010452150143424615,0.004659748387801003,-0.002071926977428131,-0.07223924279923817,-0.06545065088721079,-0.053874062958649084,-0.06747949780488081,-0.050909518441551185,-0.03755063858097552,-0.058264243119093284,-0.028510612626819344,-0.029917977191409505,-0.0724017841363051,-0.022654840290718712,-0.033098719279206046,-0.08955132525015563,-0.029324505027368053,-0.007529487738176697,,,,,,,,,-0.029917977191409546,-0.029917977191409546,-0.0299179771914095,0.07292644615168094,-0.0299179771914095,-0.07240178413630509,-0.0724017841363049,-0.07240178413630434,-0.07240178413630434
longitude,0.06886088375450196,,0.11549552794592143,-0.0446728776028161,-0.04512222513321093,-0.07386843860577819,1.0,-0.055671568712841096,-0.11246780738579379,-0.06210674098637273,-0.04281209282994753,-0.1117318949476357,-0.05621923264490333,-0.1154448044877663,-0.09870539829685142,-0.0035048447845800962,-0.0035049846882619696,-0.11010289068445697,-0.003504070045121968,,0.0015426645862481778,0.000844561845797821,0.0009682406155461392,-0.014042664189534444,0.016358595059985888,0.08398276871303152,0.0656797141492534,0.0022189370529434164,0.06734174738229794,0.06454465583237065,-0.06843436086256682,-0.03841489750697089,-0.030436837579412353,-0.03880554686028861,-0.018054215629293623,-0.023294177597586636,-0.0671471100484277,0.0017659579178650989,-0.0481051666150079,-0.05364578733554173,0.014744250779563494,-0.0041825886838199105,0.07688994929475396,-0.07779985464657767,-0.26738630733712815,-0.04642322342681931,-0.3157993151665888,0.07954498748340706,-0.05794946088779904,-0.04624502890025405,-0.07779985464657684,-0.2588420796781268,-0.26738630733712854,0.016358595059985753,0.08576893365794408,0.07688994929475441,0.01404266418953471,0.0645446558323713,0.03199154835708479,-0.09080186259944259,-0.06843436086256682,-0.05345265157145994,-0.056239622892566704,-0.11832801610103107,-0.0481051666150079,0.06475360116357558,,,,,,,,,-0.09080186259944273,-0.090801862599443,-0.09080186259944373,0.04058996558195835,-0.09080186259944373,-0.06843436086256685,-0.06843436086256778,-0.06843436086256763,-0.06843436086256763
accommodates,0.13168097575128337,,0.053051696832300765,-0.06429213530322252,-0.055679251271737645,0.027441921706585264,-0.055671568712841096,1.0,0.6929643715056892,0.8335997801361896,0.8310402406190841,-0.0713273780470339,-0.004692252443093366,-0.07445047926392516,-0.06984993096606035,-0.00010364601259039053,-0.00010346757725714853,-0.07055576943469906,-0.0001035673335406037,,0.11731093902956491,0.11266456117204222,0.1106906551371235,0.10854963333915042,-0.03137976978629175,0.05084700106848449,0.06202591782481694,0.11628013684198209,0.03650768547423163,0.022212718490493333,0.2674588730570844,0.021127327204402357,0.005545437624182248,0.018772542398470843,0.015310165344868561,0.022740689933415936,0.012758579566183202,0.0027253624187838685,-0.05041109417034317,-0.010554535241198613,-0.13858354787932795,-0.06749770870459056,0.08293571447475953,0.20798631271235435,0.6698910059227453,0.009658134888294069,-0.04277744637768658,0.01674169299948549,0.9320249961983882,0.8224678105869508,0.20798631271235507,0.6654281919110273,0.6698910059227489,-0.03137976978629153,0.020326690702034408,0.08293571447475996,-0.10854963333914924,0.022212718490494072,0.005029630843428642,0.21301489720664502,0.2674588730570844,-0.01095971723165239,0.0255318333799779,0.3007317398745155,-0.05041109417034317,0.056097323121328084,,,,,,,,,0.2130148972066452,0.2130148972066448,0.213014897206645,-0.1481816368646201,0.213014897206645,0.2674588730570846,0.2674588730570817,0.26745887305708227,0.26745887305708227
bathrooms,0.06737957514879593,,-0.012826241564808221,-0.044397263050473874,-0.04117561925639755,0.05123590854188958,-0.11246780738579379,0.6929643715056892,1.0,0.7779015078605772,0.6427361884688305,-0.003486683552357081,0.024013301111581568,-0.00401312105325276,-0.011633006595628187,-0.0028454407942687487,-0.0028454362470336256,-0.003559605551768387,-0.0028451784946994154,,0.08141890270081249,0.06685312621913099,0.054408452140915275,0.05868561268808246,-0.10393596250864631,-0.0726551278108138,-0.060176977437459575,0.053716764161767586,-0.0730179848183044,-0.11030869870480219,0.17539797777518845,0.024393978312498045,0.012022708982578099,0.004895723828342005,0.021454187956929858,0.01994567241566186,0.02708776010686553,0.01429052442418563,-0.01340100581351427,0.009069122810077554,-0.07532471336826256,-0.034985067683883334,-0.06413657921841409,0.26387696081671425,0.6144911535005763,0.05052248604713595,0.23360075649198578,-0.12540176441786138,0.591165560342209,0.6029224152592251,0.26387696081671463,0.5210340408711294,0.6144911535005841,-0.10393596250864623,-0.12464186624869959,-0.06413657921841447,-0.0586856126880838,-0.11030869870480291,-0.06385429704768364,0.24998768957623085,0.17539797777518845,0.03295168499113819,0.032093333213459155,0.2441716702667716,-0.01340100581351427,0.03703782334628613,,,,,,,,,0.2499876895762308,0.2499876895762298,0.24998768957622908,-0.0711329154072765,0.24998768957622908,0.17539797777518862,0.1753979777751903,0.17539797777518917,0.17539797777518917
bedrooms,0.08173814645317344,,0.0093783425697614,-0.05946996864696878,-0.05398104997279135,0.045303178486275034,-0.06210674098637273,0.8335997801361896,0.7779015078605772,1.0,0.80190884076465,-0.022931512396220852,0.0032668028321135014,-0.02578128872252253,-0.03251003433000568,-0.004202574024035872,-0.004202626715958257,-0.025337864727255025,-0.0042018007232092385,,0.05621229888291166,0.03696527009123447,0.025540972066276688,0.02148501843282731,-0.09728205488777615,-0.03896198088524652,-0.023597965043413816,0.024637465276576672,-0.041056710977543064,-0.07582804132994336,0.2241801012922517,0.03972234176771239,0.019464450954210816,0.021090634929264857,0.0386187461379809,0.0348221993443153,0.03070702272137697,0.025670449295170483,-0.046245281144164416,-0.016123827372490723,-0.10833976576287187,-0.042672055145439106,-0.022600989798214947,0.2048277189601225,0.6537415497328,0.02272188579357152,0.10671703325220395,-0.08032269571219437,0.7577888402493227,0.7806749284730916,0.2048277189601243,0.6299342770301068,0.6537415497328003,-0.0972820548877769,-0.07605297447813619,-0.02260098979821538,-0.02148501843282693,-0.0758280413299426,-0.045595738812500834,0.2144946828824511,0.2241801012922517,0.007414540637393485,0.006626183090837794,0.28504737622235643,-0.046245281144164416,0.004818364969161809,,,,,,,,,0.21449468288245113,0.21449468288245332,0.21449468288245158,-0.12136194259814016,0.21449468288245158,0.2241801012922534,0.2241801012922545,0.2241801012922524,0.2241801012922524
