variable_name,data_type,n_unique,n_missing,pct_missing,min,max,range,mean,median,std,precision,mode
id,continuous,45561.0,0,0.0,2708,1500170326776843485,1.5001703267768407e+18,6.814155153159849e+17,8.060066223413481e+17,5.8812329513385e+17,0.0,2708
listing_url,discrete_categorical,45561.0,0,0.0,https://www.airbnb.com/rooms/10000255,https://www.airbnb.com/rooms/999983211883079957,,,,,,https://www.airbnb.com/rooms/10000255
scrape_id,discrete_numeric,1.0,0,0.0,20250901181307,20250901181307,0.0,20250901181307.0,20250901181307.0,0.0,0.0,20250901181307
last_scraped,discrete_categorical,2.0,0,0.0,2025-09-02,2025-09-03,,,,,,2025-09-02
source,discrete_categorical,2.0,0,0.0,city scrape,previous scrape,,,,,,city scrape
name,discrete_categorical,44064.0,1,0.0,! Central Private COZY Vacation House Garden View!,🧳 HIPSTER STUDIO w/ kitchen 12 miles to DISNEYLAND,,,,,,Private bed & Bath – Peaceful & Cozy Stay
description,discrete_categorical,38744.0,958,2.1,"Unique, newly restored one bedroom turn of the cen...",🪷 Welcome to your peaceful Zen escape in the Valle...,,,,,,Keep it simple at this peaceful and centrally-loca...
neighborhood_overview,discrete_categorical,16606.0,25937,56.93,It is walking distance to the famous celebrities s...,🚗 Central Location Highlights: * Downtown LA – ~7 ...,,,,,,The cultural resurgence of downtown Los Angeles ha...
picture_url,discrete_categorical,44482.0,0,0.0,https://a0.muscache.com/pictures/0002ed10-49a0-439...,https://a0.muscache.com/pictures/prohost-api/Hosti...,,,,,,https://a0.muscache.com/pictures/miso/Hosting-1269...
host_id,continuous,23017.0,0,0.0,767,716168390,716167623.0,215716007.07567877,125268197.0,213908329.80886832,0.0,107434423
host_url,discrete_categorical,23017.0,0,0.0,https://www.airbnb.com/users/show/10000147,https://www.airbnb.com/users/show/9999092,,,,,,https://www.airbnb.com/users/show/107434423
host_name,discrete_categorical,8844.0,23,0.05,A,麗華,,,,,,Blueground
host_since,discrete_categorical,5283.0,24,0.05,2008-07-11,2025-08-29,,,,,,2016-12-16
host_location,discrete_categorical,852.0,10510,23.07,"Acireale, Italy","İstanbul, Turkey",,,,,,"Los Angeles, CA"
host_about,discrete_categorical,11728.0,20192,44.32,We are in quiet neighborhood of E. Lancaster home ...,안녕하세요,,,,,,"We’re Blueground, a global proptech company with s..."
host_response_time,discrete_categorical,4.0,10300,22.61,a few days or more,within an hour,,,,,,within an hour
host_response_rate,discrete_categorical,68.0,10300,22.61,0%,99%,,,,,,100%
host_acceptance_rate,discrete_categorical,100.0,9994,21.94,0%,99%,,,,,,100%
host_is_superhost,discrete_categorical,2.0,1762,3.87,f,t,,,,,,f
host_thumbnail_url,discrete_categorical,22119.0,24,0.05,https://a0.muscache.com/defaults/user_pic-50x50.pn...,https://z1.muscache.cn/im/users/16188614/profile_p...,,,,,,https://a0.muscache.com/defaults/user_pic-50x50.pn...
host_picture_url,discrete_categorical,22119.0,24,0.05,https://a0.muscache.com/defaults/user_pic-225x225....,https://z1.muscache.cn/im/users/16188614/profile_p...,,,,,,https://a0.muscache.com/defaults/user_pic-225x225....
host_neighbourhood,discrete_categorical,857.0,9575,21.02,28 Palms,g.k. Lozenets,,,,,,Central LA
host_listings_count,continuous,141.0,24,0.05,0.0,5445.0,5445.0,105.18534378637152,3.0,649.1194269061066,1.0,1.0
host_total_listings_count,continuous,201.0,24,0.05,0.0,9551.0,9551.0,137.6003689307596,5.0,785.1885983096895,1.0,1.0
host_verifications,discrete_categorical,7.0,24,0.05,"['email', 'phone', 'work_email']",[],,,,,,"['email', 'phone']"
host_has_profile_pic,discrete_categorical,2.0,24,0.05,f,t,,,,,,t
host_identity_verified,discrete_categorical,2.0,24,0.05,f,t,,,,,,t
neighbourhood,discrete_categorical,1.0,25936,56.93,Neighborhood highlights,Neighborhood highlights,,,,,,Neighborhood highlights
neighbourhood_cleansed,discrete_categorical,266.0,0,0.0,Acton,Woodland Hills,,,,,,Long Beach
