,id,scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_clean,log_price,price_per_accommodates,log_price_per_accommodates,log_reviews,log_accommodates,log_beds,price_zscore,price_percentile,log_price_zscore,reviews_zscore,reviews_percentile,reviews_per_month_zscore,occupancy_rate,occupancy_rate_booked,occupancy_is_capped,est_annual_revenue,est_annual_revenue_booked,revenue_per_accommodates,revenue_per_bedroom,log_est_revenue,host_listings_in_city,host_is_professional,pct_professional_hosts,pct_large_operators,median_host_listings,gini_host_concentration,market_professionalization_score,purchase_price,monthly_payment,zori_rent,annual_cash_flow,cash_on_cash_roi,cap_rate,price_to_rent_ratio,revenue_yield,annual_cash_flow_booked,cash_on_cash_roi_booked,cap_rate_booked,revenue_yield_booked
id,1.0,,0.5185689472308096,0.06581734520858305,0.06405209840345466,,-0.009313314475218952,0.0657790133140167,0.1454426311059834,0.11185164299555485,0.09698343098027334,0.07529457849351603,-0.1298398763930136,-0.2592613915212402,-0.12315095556945123,-0.10320566813772288,-0.00663859624566896,-0.006638602189704377,-0.12204452592351489,-0.006651055961649386,,0.13956756210900054,0.17378491752948716,0.18871168240202194,0.26232128540736455,-0.47911647698221604,-0.12290152573750814,0.04035199194094779,0.2004789084867241,-0.26212826080714824,-0.19077159954921466,-0.09566651131119484,-0.1374186827001694,-0.14152094381019686,-0.08725147054670773,-0.17434304809196702,-0.15828028208066092,-0.08949873110928244,-0.13079999305232878,0.2905346484796297,0.2745062505996082,0.13739194230764204,-0.014461454870266595,0.007026086005133386,0.04133278704358076,0.035003931736937575,0.02201722356523751,-0.0897997205317605,-0.6124460983037192,0.1300798008549071,0.06587467401197138,0.041332787043581024,0.016534452054802744,0.03500393173694799,-0.4791164769822176,-0.6222959561328998,0.007026086005131408,-0.26232128540737054,-0.1907715995492165,-0.182916202362729,-0.011547235815347948,-0.09566651131119484,-0.025775384844041193,-0.007902598430593282,-0.1590976015837848,0.2905346484796297,0.22568966217975778,,,,,,,,,-0.011547235815347686,-0.0115472358153477,-0.011547235815348752,0.052756419219913586,-0.011547235815348752,-0.09566651131119475,-0.09566651131119472,-0.09566651131119491,-0.09566651131119491
scrape_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_id,0.5185689472308096,,1.0,0.13571956798676676,0.12691144737669532,,-0.0029996508441315676,0.08365738526669979,0.15434715540726898,0.08160673111873853,0.05971195760126941,0.07713359032347797,-0.14928733187147372,-0.1133140271896778,-0.16644700279946595,-0.14708347123713664,0.011466684253064229,0.011466773134760085,-0.16555344638782574,0.011467696852607095,,0.09823419809723785,0.11692919489343587,0.13656744654736572,0.23826130120771105,-0.2928864293796354,-0.06625287314302811,0.040255064123853386,0.15037166258082404,-0.11789589803923617,-0.12354013805770131,-0.044464033074623224,-0.20254268743224135,-0.18233900147806312,-0.14208222926198114,-0.19614230779873407,-0.20495629578712182,-0.11676966905352976,-0.18534597062560773,0.28614143252878665,0.26650432848886435,0.15820517758037428,-0.022600304362880262,-0.0013247799968795584,0.023964848865493615,0.06355832821390736,0.011196178988611626,-0.08310524643207608,-0.3336862568275421,0.15679014151454282,0.10023909705939446,0.023964848865493736,0.07378251680997841,0.06355832821391323,-0.29288642937963555,-0.34341520023544314,-0.0013247799968806743,-0.23826130120771394,-0.12354013805770253,-0.13341778501304286,-0.029256081321047782,-0.044464033074623224,-0.0425841582948259,-0.023479207369209873,-0.14856279409315343,0.28614143252878665,0.24241723631896056,,,,,,,,,-0.02925608132104767,-0.029256081321047626,-0.029256081321048302,0.0020687194938061797,-0.029256081321048302,-0.04446403307462323,-0.04446403307462323,-0.04446403307462328,-0.04446403307462328
host_listings_count,0.06581734520858305,,0.13571956798676676,1.0,0.9564683771964668,,-0.029201590453838216,0.03127181385813428,-0.02376019134473131,-0.02619425990996798,-0.05568447306690198,-0.011952087955564936,0.03930599330837364,0.03439307655853817,0.04470268700865313,0.04193057905378687,0.004916650175757919,0.004916622601771766,0.043579243805764764,0.004918608637929882,,0.017226103619835485,0.0022222791790657403,0.015678309886164313,0.10209257794196618,-0.0922092838412745,-0.07522446827061491,-0.035282632057234156,0.02919751770294382,-0.07784472094844826,-0.11321815308043996,-0.0566701300867036,-0.05140059086539418,-0.04981162704486265,-0.008077711366267493,-0.04565415334753854,-0.062400241795613404,0.00039690357493452977,-0.06275788572953726,0.206046958642088,0.1976036286287341,0.05213987443884053,-0.006238807796479559,-0.05239075931715623,0.11880650457665852,0.03349417966434028,0.12560754640263325,0.06768553736259438,-0.1798795587538741,-0.015546184351665503,-0.008131230294511106,0.11880650457665846,0.03298567220825723,0.033494179664339936,-0.09220928384127498,-0.1712565184918807,-0.05239075931715649,-0.1020925779419664,-0.11321815308044043,-0.0691694428483891,0.013924591830910486,-0.0566701300867036,0.04414819103366594,0.04400866960251581,-0.09793946966330576,0.206046958642088,0.13778648532229024,,,,,,,,,0.013924591830910523,0.013924591830910599,0.01392459183091059,0.0227780037397737,0.01392459183091059,-0.05667013008670372,-0.05667013008670377,-0.05667013008670421,-0.05667013008670421
host_total_listings_count,0.06405209840345466,,0.12691144737669532,0.9564683771964668,1.0,,-0.006791479907482092,0.047457104491994896,-0.00611379576120564,-0.01045474590781282,-0.032235132428193126,0.008664484585972103,0.037387317227586585,0.07803453499037585,0.043857730992876515,0.04361682926679268,0.00430228813187702,0.004302291816685284,0.04279400854025089,0.004304443172043576,,0.013197039107355332,0.0013925284895624638,0.01365996127171336,0.10684677718762416,-0.08893536139849081,-0.06643955874719662,-0.030876450491231777,0.02664611877858785,-0.06979009833019832,-0.10676893620335531,-0.04843522623581477,-0.06234335943266021,-0.0662136596516988,-0.025942990919831,-0.05218836477834099,-0.07510445839436371,-0.010457435497665342,-0.07925170953299472,0.22383821846678154,0.21590636078154146,0.03908332951460608,-0.006800421676012963,-0.03718263793516187,0.16000593655740938,0.04866925896096086,0.16381377186265908,0.06930609334591689,-0.17744639727004907,0.0018906852264063529,0.009775701771144224,0.16000593655740952,0.04010317827612763,0.048669258960960464,-0.0889353613984914,-0.1695084026904065,-0.037182637935161994,-0.1068467771876237,-0.10676893620335504,-0.06521198838868872,0.02617237385245806,-0.04843522623581477,0.06358486943779663,0.056880238436364736,-0.10896039479114807,0.22383821846678154,0.145036311752641,,,,,,,,,0.026172373852458138,0.026172373852458027,0.026172373852458037,0.03850719473832634,0.026172373852458037,-0.04843522623581493,-0.04843522623581485,-0.04843522623581494,-0.04843522623581494
neighbourhood_group_cleansed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude,-0.009313314475218952,,-0.0029996508441315676,-0.029201590453838216,-0.006791479907482092,,1.0,0.5155853341640669,-0.0027250315305716003,-0.024003082468697267,0.010729515353605673,0.007795596517492996,0.053313332378155234,0.025210218019610545,0.05831720931140731,0.04587815886868861,-0.004934731743631274,-0.004934754937577421,0.05596924218981111,-0.004928345000064868,,0.03880141355265135,0.03341256370801945,0.02971837403573846,-7.651989372067565e-05,-0.04208849009672528,-0.06580175961712004,-0.05865151877497561,0.02482988706891938,-0.05390605759674868,-0.047896095688417746,-0.032293088739439355,-0.008446485863612697,-0.011893632509325937,-0.0071766274445975884,0.013768179056821912,0.005006942332215162,-0.08294673864620498,-0.003777555924030867,-0.11763874485145301,-0.12283532933161126,0.007657356846988595,-0.0017129653848202467,-0.060269918575209566,-0.007406984050022194,-0.05398753331474544,-0.0042198625885957386,-0.060920079723221374,-0.03689184027644683,0.00527613329305302,0.024709799384717,-0.0074069840500221905,-0.05044081752879179,-0.05398753331474543,-0.04208849009672497,-0.0417103243968693,-0.06026991857520935,7.651989372088195e-05,-0.047896095688417635,-0.024480396680977966,-0.011342029421304427,-0.032293088739439355,-0.008779257466426695,-0.00766594811473715,-0.06654869248918001,-0.11763874485145301,-0.10421690034322402,,,,,,,,,-0.011342029421304434,-0.011342029421304382,-0.01134202942130453,0.04086763510152791,-0.01134202942130453,-0.03229308873943938,-0.03229308873943937,-0.03229308873943953,-0.03229308873943953
longitude,0.0657790133140167,,0.08365738526669979,0.03127181385813428,0.047457104491994896,,0.5155853341640669,1.0,0.06063861423845943,0.03057260098254103,0.045134695988792585,0.060146919361750484,-0.022461360710041574,0.014661729919314068,-0.02451197398588204,-0.021458123174018975,0.006968851018970193,0.0069688734885826175,-0.02413187188831485,0.006974117587312942,,0.04895990275573371,0.04444564092235365,0.04921472044732167,0.06749949327586949,-0.04458490585395899,-0.04156390815285175,-0.03356044221415175,0.0511791065107532,-0.0394123944061254,-0.0471723547285582,-0.00015028507659207573,-0.02912524204475586,-0.03422985268762086,-0.011689640915596353,-0.028747969559977753,-0.033653222875990915,-0.056914099605615,-0.029782030049457432,0.03128690755795723,0.022253132735952565,0.04954163780499808,-0.004941092843633336,-0.02189871265374016,0.011044738569944233,0.044451188253283404,0.004533040859085654,-0.008665762473223884,-0.06526904246609787,0.06415704383604008,0.06942603281983141,0.011044738569944238,0.048434015760176384,0.04445118825328404,-0.04458490585395916,-0.06767754673644773,-0.021898712653740285,-0.06749949327586985,-0.0471723547285583,-0.02838448643041157,-0.008581024407624932,-0.00015028507659207573,-0.011161102786707957,-0.006469697446386364,-0.04894099231702585,0.03128690755795723,0.03739322988658987,,,,,,,,,-0.008581024407624888,-0.008581024407624864,-0.008581024407624975,-0.0061509915504281394,-0.008581024407624975,-0.0001502850765920784,-0.0001502850765920582,-0.0001502850765920759,-0.0001502850765920759
accommodates,0.1454426311059834,,0.15434715540726898,-0.02376019134473131,-0.00611379576120564,,-0.0027250315305716003,0.06063861423845943,1.0,0.6835739199486609,0.8203232647658025,0.8143437490140774,-0.12391974045298322,0.0028243874725102495,-0.125250328283356,-0.09101317755417505,-0.01096373054079609,-0.010963736669854476,-0.11818047915386211,-0.010966827713026548,,0.00908378338709443,0.030518101214103654,0.04108128992669936,0.21224187407393624,-0.10551313336565735,0.00908097493580046,0.022855237591471518,0.06133804132441265,0.008769669665791062,0.010245822497157515,0.241504646169105,-0.010333822242662546,-0.0359272977080649,-0.028651875893013434,-0.0597047148638619,-0.028005729956692968,-0.09358618514236883,-0.03733385200427922,0.1809990767289262,0.1998348648983735,-0.09717648863300773,-0.0292685004022885,-0.028003815360089168,0.13374412070021882,0.6045832113677054,-0.03142476284132839,-0.19617046376389552,-0.052785418478120114,0.9384601247916504,0.8471684627483417,0.1337441207002189,0.5941448328256675,0.6045832113677075,-0.10551313336565735,-0.05920700887794131,-0.028003815360089345,-0.21224187407393502,0.010245822497157123,-0.020636676163843678,0.12051702961036652,0.241504646169105,-0.09241852635090383,-0.06464358784003721,0.17432531124486914,0.1809990767289262,0.1496074190989778,,,,,,,,,0.12051702961036657,0.12051702961036667,0.12051702961036649,-0.08910227364774717,0.12051702961036649,0.241504646169105,0.2415046461691052,0.24150464616910464,0.24150464616910464
bathrooms,0.11185164299555485,,0.08160673111873853,-0.02619425990996798,-0.01045474590781282,,-0.024003082468697267,0.03057260098254103,0.6835739199486609,1.0,0.8527368035922257,0.7778967130461478,-0.09287127749038529,-0.022058512731941052,-0.110815955004353,-0.06045736798288114,0.036339597335247935,0.03633958398177177,-0.10084115034349637,0.036337611458308564,,-0.07025729247262752,-0.05156004076977606,-0.05530965925563124,0.13923003406291973,-0.08303861362488929,-0.003053369781432494,0.02224469360723919,-0.03303929338209148,-0.012845765971544987,-0.006910708177212582,0.22816869877262982,0.08085920666061147,0.05035191774329727,0.057771735387036366,0.00787414483883235,0.04994247701644035,-0.019874505555778948,0.053516643215959524,0.12636101654546375,0.1324345074286218,-0.033523811160598924,0.010488671522097745,-0.015611558455668717,0.1774860241045536,0.5488789698324373,0.0012345824086235479,0.07270157555102445,-0.05991208565957091,0.5956845621672207,0.6411297236380622,0.17748602410455253,0.48840122019121646,0.548878969832437,-0.08303861362488907,-0.06108206808963401,-0.015611558455668983,-0.13923003406291903,-0.006910708177212778,-0.017659973393333,0.1840800572692151,0.22816869877262982,-0.02446522120601786,-0.041344192515185764,0.19425326310380242,0.12636101654546375,0.1179195920776556,,,,,,,,,0.1840800572692151,0.1840800572692156,0.184080057269215,-0.057376710695455344,0.184080057269215,0.22816869877262988,0.22816869877262974,0.22816869877263143,0.22816869877263143
