,id,host_id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price_clean
id,1.0,0.4994999014902329,0.001591927386768813,0.014246186890581719,0.09758511170229833,-0.08690009990302473,-0.17909628453424017,0.20229032942432393,0.20547014120393806,0.40392275237920666,0.07809704154905499,0.09758511170229833
host_id,0.4994999014902329,1.0,0.00045994770270385424,0.09274579077454892,0.1482903505719733,-0.12029578138171935,-0.0411152981311988,0.24327494911499356,-0.06366688275489553,0.2557810647599491,0.12296507582850001,0.1482903505719733
latitude,0.001591927386768813,0.00045994770270385424,1.0,0.041179515469311374,0.04712223345952198,0.021246466170600848,-0.05152630791606317,-0.042282097382215805,0.06041691896767444,-0.02991966510510087,-0.0306063542284274,0.04712223345952198
longitude,0.014246186890581719,0.09274579077454892,0.041179515469311374,1.0,-0.07340841410441512,-0.005354215246198229,0.03675038471432074,0.023880075519480796,-0.11757096691197104,0.08125673635860892,0.007700111910078693,-0.07340841410441512
price,0.09758511170229833,0.1482903505719733,0.04712223345952198,-0.07340841410441512,1.0,-0.11224875735040794,-0.04324888233726898,-0.003554747908513552,0.005805096888045558,0.031778728248024954,-0.01933072270154613,1.0
minimum_nights,-0.08690009990302473,-0.12029578138171935,0.021246466170600848,-0.005354215246198229,-0.11224875735040794,1.0,-0.11814425049794015,-0.1955211213474637,0.017778454833983326,-0.022638497597028313,-0.16329754297075655,-0.11224875735040794
number_of_reviews,-0.17909628453424017,-0.0411152981311988,-0.05152630791606317,0.03675038471432074,-0.04324888233726898,-0.11814425049794015,1.0,0.730028523594879,-0.10915487065519754,0.0786568181566731,0.6417461964115965,-0.043248882337268986
reviews_per_month,0.20229032942432393,0.24327494911499356,-0.042282097382215805,0.023880075519480796,-0.003554747908513552,-0.1955211213474637,0.730028523594879,1.0,-0.06299702018146576,0.1469979433093211,0.8877595058098332,-0.003554747908513552
calculated_host_listings_count,0.20547014120393806,-0.06366688275489553,0.06041691896767444,-0.11757096691197104,0.005805096888045558,0.017778454833983326,-0.10915487065519754,-0.06299702018146576,1.0,0.15383288069488038,-0.053476287542435594,0.005805096888045561
availability_365,0.40392275237920666,0.2557810647599491,-0.02991966510510087,0.08125673635860892,0.031778728248024954,-0.022638497597028313,0.0786568181566731,0.1469979433093211,0.15383288069488038,1.0,0.07358121848515957,0.031778728248024954
number_of_reviews_ltm,0.07809704154905499,0.12296507582850001,-0.0306063542284274,0.007700111910078693,-0.01933072270154613,-0.16329754297075655,0.6417461964115965,0.8877595058098332,-0.053476287542435594,0.07358121848515957,1.0,-0.019330722701546135
price_clean,0.09758511170229833,0.1482903505719733,0.04712223345952198,-0.07340841410441512,1.0,-0.11224875735040794,-0.043248882337268986,-0.003554747908513552,0.005805096888045561,0.031778728248024954,-0.019330722701546135,1.0
