var1,var2,correlation
number_of_reviews,reviews_per_month,0.7300285235948789
minimum_nights,reviews_per_month,-0.19552112134746413
availability_365,calculated_host_listings_count,0.1538328806948812
availability_365,reviews_per_month,0.14699794330932078
number_of_reviews,minimum_nights,-0.11814425049793864
price_clean,minimum_nights,-0.11224875735040758
number_of_reviews,calculated_host_listings_count,-0.10915487065519605
number_of_reviews,availability_365,0.07865681815667275
reviews_per_month,calculated_host_listings_count,-0.06299702018146575
price_clean,number_of_reviews,-0.04324888233726893
price_clean,availability_365,0.03177872824802573
availability_365,minimum_nights,-0.02263849759702893
minimum_nights,calculated_host_listings_count,0.017778454833983097
price_clean,calculated_host_listings_count,0.005805096888045565
price_clean,reviews_per_month,-0.003554747908513551
