,id,scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_clean,log_price,price_per_accommodates,log_price_per_accommodates,log_reviews,log_accommodates,log_beds,price_zscore,price_percentile,log_price_zscore,reviews_zscore,reviews_percentile,reviews_per_month_zscore,occupancy_rate,occupancy_rate_booked,occupancy_is_capped,est_annual_revenue,est_annual_revenue_booked,revenue_per_accommodates,revenue_per_bedroom,log_est_revenue,host_listings_in_city,host_is_professional,pct_professional_hosts,pct_large_operators,median_host_listings,gini_host_concentration,market_professionalization_score,purchase_price,monthly_payment,zori_rent,annual_cash_flow,cash_on_cash_roi,cap_rate,price_to_rent_ratio,revenue_yield,annual_cash_flow_booked,cash_on_cash_roi_booked,cap_rate_booked,revenue_yield_booked
id,1.0,,0.40477947873601655,0.08598789111919955,0.0720252079747499,,-0.10103723192823247,-0.03159735011198991,0.08066634641258462,0.06978915500806988,0.088149070338585,0.035868318539236596,-0.0031547924260884055,-0.11861729159192418,-0.00020527092253192557,0.030215737851455166,-0.1838724053346029,-0.1713808623713578,-0.004237644528142186,-0.18123470495034127,,0.06913301633795119,0.06534805677889607,0.0682186603767366,0.08476311339454363,-0.41000298348736136,-0.10030019781900115,-0.0024400020147968375,0.07178421279483378,-0.19599842592362585,-0.11442544670238991,-0.08183679404839479,-0.0436427181262094,-0.0629468423435484,-0.0419099701720792,-0.08493495104792066,-0.07252638704744784,-0.12087393626149436,-0.06285505099318824,,0.06439040665898704,0.054173603464666584,0.007116977170961744,0.08234962155250376,0.05079672787353605,0.02317039957505057,0.030057907405225598,0.018809919338444708,-0.045102479217952844,-0.57167679734678,0.056028011840560374,0.037058411134622694,0.023170399575050713,0.0384357402236927,0.03005790740522315,-0.41000298348736014,-0.5722179400130103,0.05079672787353661,-0.08476311339454323,-0.11442544670239091,-0.07203098109274729,0.014824071944229888,-0.08183679404839479,-0.007338024633911347,0.001640094094155445,-0.09780009941226311,0.06439040665898704,0.059414894580461945,,,,,,,,,0.014824071944229716,0.014824071944229383,0.014824071944229019,0.09212722327171706,0.014824071944229019,-0.08183679404840048,-0.08183679404840305,-0.0818367940483943,-0.0818367940483943
scrape_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_id,0.40477947873601655,,1.0,0.10332212120426501,0.07474417672668128,,-0.14233973734623392,-0.004963084166199006,0.0770556450664963,0.017001412481157115,0.06340029041011702,0.04538627019977289,-0.028202631665698363,0.015306144779314202,-0.03077921968330785,-0.028215877568927992,-0.018296630438375927,0.02274174262439414,-0.03072684092921426,-0.005482120989034858,,0.16188693964321035,0.1639358336148451,0.16422216278676624,0.1569036148558575,-0.183904479197902,-0.028246513379677974,-0.014072901017807752,0.16754494146978824,-0.04902929896416932,-0.018339604026620587,-0.002481704873949984,-0.11461580391767082,-0.11429943007301228,-0.07281544069214087,-0.09875646946232111,-0.1005390388025708,-0.15129391235559073,-0.11040523243965046,,0.035091609717418135,0.002591154408198166,0.03790128283212758,0.033917484674068805,0.03255294968373018,0.08294945470689047,0.005733702859445478,0.07725269919112762,-0.07361922083362299,-0.23708957670405034,0.05738155390180231,0.04560397019778316,0.0829494547068904,0.0005571353329171148,0.005733702859444644,-0.18390447919790223,-0.23484868378482615,0.032552949683730424,-0.15690361485585794,-0.018339604026620885,-0.010124862893358967,0.02060034379608054,-0.002481704873949984,0.016698587880118902,0.045910502282784295,-0.13370378698574933,0.035091609717418135,0.09933890736056186,,,,,,,,,0.020600343796080386,0.020600343796080365,0.020600343796080212,0.08802270320918669,0.020600343796080212,-0.002481704873952335,-0.0024817048739533354,-0.0024817048739497636,-0.0024817048739497636
host_listings_count,0.08598789111919955,,0.10332212120426501,1.0,0.9758905220571163,,-0.012492346745949479,-0.0007023671942352957,0.03189513838773373,0.025718551554887597,0.02012590589467771,0.0409245790704355,-0.0015671881921961702,0.1839706061830024,-0.002195903582216696,-0.001961835468440389,0.036032489611586414,0.1111020666044333,-0.0016463453401921898,0.041562157019339824,,0.03730314605534012,0.04435022552608609,0.04650400675977197,0.10307266983050596,-0.06480972522860141,-0.06254531531553639,-0.04989880973404371,0.049108843703046585,-0.06369005819490078,-0.071688938377504,0.016530877628686044,-0.0985514060676829,-0.10580368486673668,-0.01141332205996561,-0.07321160553993136,-0.1020969012383852,-0.0467046376715437,-0.09013040636861196,,0.26555887490905594,0.2634433245895255,0.11956915907249972,0.008049976947397716,-0.06805725448183082,0.3877221769576082,0.17364853099131433,0.36655695431994917,0.1755943174351946,-0.12525017985625683,0.02813832040751352,0.03293084849211012,0.38772217695760774,0.05827035243220226,0.1736485309913148,-0.06480972522860132,-0.12456975321934909,-0.0680572544818307,-0.10307266983050611,-0.07168893837750386,-0.03315544392637564,0.3063638930566216,0.016530877628686044,0.3103717589124416,0.3728677066443315,-0.040627124946068516,0.26555887490905594,0.15654869143010383,,,,,,,,,0.30636389305662176,0.30636389305662104,0.30636389305662154,0.012843329808322361,0.30636389305662154,0.016530877628686092,0.016530877628686765,0.016530877628685967,0.016530877628685967
host_total_listings_count,0.0720252079747499,,0.07474417672668128,0.9758905220571163,1.0,,-0.015069560703091144,0.007632423000668957,0.03224879251281523,0.026026907633939653,0.021303122932969206,0.04636748203162651,0.0026155224985195003,0.18818634149418834,0.00136414948556988,0.0018818986096356643,0.0499122513256067,0.11390459823049744,0.002234696627762391,0.05441336567720443,,0.02880261947107041,0.035726166473712996,0.03803604230801405,0.09310821677149464,-0.06189249241313273,-0.0616107679525578,-0.04922642291678976,0.03999032834135469,-0.0613758179092568,-0.0710385136684823,0.008111178542937717,-0.0951869724286918,-0.10228068981285586,-0.010175524873568336,-0.06171349435981342,-0.0922558693993627,-0.03382562942664876,-0.08965743016882162,,0.24914924189902563,0.2747941800658773,0.08875695802416364,0.02058063592711117,-0.06657760373383939,0.34965601158064974,0.1559809294995433,0.3305883041610478,0.1506049206469435,-0.11943046150090848,0.0300968078614084,0.03899266384776841,0.34965601158064824,0.05536045789652162,0.15598092949954342,-0.06189249241313252,-0.11877974575703362,-0.06657760373383927,-0.09310821677149443,-0.07103851366848216,-0.031212832822958888,0.27508473893211527,0.008111178542937717,0.27887032090867203,0.34179725132404326,-0.04108858008577726,0.24914924189902563,0.14054320826022665,,,,,,,,,0.2750847389321152,0.2750847389321156,0.27508473893211494,0.016837975883901395,0.27508473893211494,0.008111178542937641,0.008111178542938274,0.008111178542937763,0.008111178542937763
neighbourhood_group_cleansed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude,-0.10103723192823247,,-0.14233973734623392,-0.012492346745949479,-0.015069560703091144,,1.0,-0.6366469668509842,0.007482901414956537,0.008475833916278368,-0.015638002545737273,-0.0468845169742131,0.03922984708948851,0.014928569940612257,0.031527412871570126,0.049681691128065024,0.00874235868444825,0.015328830423082319,0.04289861720715921,0.006927864827225197,,-0.12257529555601494,-0.09955578341892864,-0.09458679670979202,-0.03342130013791028,0.12933290036000336,0.06492504644449328,0.0392588732346147,-0.09037852369454777,0.07276679670549463,0.10587013304583277,0.15106537002748535,0.06396574776273005,0.04298368638809082,0.05380369620521039,0.03849163845709773,0.009101736846202853,0.20157728956500806,0.03201690891443888,,-0.017055806463874567,0.053272970347403796,-0.10013045258801735,-0.007500330713614101,0.054315489902328457,0.04259975997170109,0.17033207167181977,0.03857228941553559,0.18857214275539444,0.16175905609476673,0.03434265178123803,-0.030248818816163814,0.0425997599717012,0.17082780192864166,0.17033207167182024,0.12933290036000294,0.1634603173541179,0.054315489902328457,0.033421300137910274,0.10587013304583301,0.032494906523029825,0.09247422179954759,0.15106537002748535,0.07158358319036609,0.07337280138573649,0.1262306056327169,-0.017055806463874567,-0.007663658599826585,,,,,,,,,0.09247422179954767,0.09247422179954781,0.09247422179954758,-0.05848570897207297,0.09247422179954758,0.1510653700274856,0.15106537002748527,0.15106537002748516,0.15106537002748516
longitude,-0.03159735011198991,,-0.004963084166199006,-0.0007023671942352957,0.007632423000668957,,-0.6366469668509842,1.0,0.022633795035827204,-0.01172358773107726,0.04315921975678598,0.08448584051401221,-0.02305743719607396,-0.009731452186503425,-0.020321820334817955,-0.03610060150158817,0.027801219559356823,0.01026077209775052,-0.022960505479251825,0.020199911375183982,,0.052900255961105334,0.02962138579584141,0.01793895276483477,0.015405208059057193,-0.027909383181166484,-0.024001537754415284,-0.005293350399954064,0.01587829381589147,-0.02171518060647019,-0.06683240909006137,-0.03499264485305301,0.033178638184771986,0.02010592232398145,-0.0009042099782937225,0.03455702781552872,0.06281132376177072,0.09489927275067128,0.05289333702553328,,-0.13924324519134565,-0.13420016320419917,-0.03374248558634701,-0.10083588201402963,-0.03506758399503082,-0.017289826188027612,0.024522132172605134,-0.019629334422557435,-0.004105363377086198,-0.017629920748330162,0.030486894598597315,0.09187315227302681,-0.01728982618802756,0.02271519353542436,0.02452213217260518,-0.02790938318116639,-0.018894288098000346,-0.03506758399503088,-0.015405208059057292,-0.06683240909006095,-0.027528954707798547,-0.019534293580936092,-0.03499264485305301,-0.03008693581128012,-0.03193243786000684,0.004502129129648206,-0.13924324519134565,-0.14566364107462917,,,,,,,,,-0.01953429358093608,-0.019534293580936005,-0.019534293580936,-0.028396174786087882,-0.019534293580936,-0.03499264485305276,-0.034992644853052646,-0.034992644853053104,-0.034992644853053104
accommodates,0.08066634641258462,,0.0770556450664963,0.03189513838773373,0.03224879251281523,,0.007482901414956537,0.022633795035827204,1.0,0.6214297967133305,0.7907391237439853,0.7947335392210472,-0.046999387347799904,0.052820246379857834,-0.045847420660234575,-0.036404699771138506,0.06981973787098243,0.06488436740284893,-0.03698013056171048,0.0690530219907472,,0.04632917766219401,0.03825570417680538,0.023689862064315503,0.008883565765168584,-0.056628354670592865,0.017754003042562177,-0.022594840055810757,0.0197734461333889,0.015196669508188721,0.002408816165221705,0.2443127077657911,-0.04591465109049318,-0.04844961188132254,-0.030012518748980598,-0.008815363992667571,-0.008577012582840273,-0.07593866149135349,-0.07643228541504607,,-0.014606965854615338,0.12656037462345163,-0.1554197909401737,-0.09935932171577869,0.011352649285998382,0.04005405107375053,0.6206318258667636,-0.022198363240612973,-0.2728876030658045,-0.029842108873542973,0.9272167094379861,0.7946920925358215,0.040054051073750534,0.6303224614142524,0.6206318258667641,-0.05662835467059258,-0.027320731170440638,0.011352649285998474,-0.008883565765168586,0.002408816165221659,-0.01786196581864968,0.19150267188306233,0.2443127077657911,-0.06655263968450222,-0.014202982564749226,0.2532738905944146,-0.014606965854615338,0.015496288033905374,,,,,,,,,0.19150267188306236,0.1915026718830624,0.19150267188306178,-0.11508100433288149,0.19150267188306178,0.24431270776579048,0.24431270776579045,0.24431270776579148,0.24431270776579148
bathrooms,0.06978915500806988,,0.017001412481157115,0.025718551554887597,0.026026907633939653,,0.008475833916278368,-0.01172358773107726,0.6214297967133305,1.0,0.7256888562408537,0.6320008708115182,0.012871271788950017,0.028145174665277262,0.02280824603274624,0.0295436208762407,0.008140344282966195,0.0027080532566637235,0.04105414150769324,0.007897988709728371,,0.048465891265765136,0.03998772924163678,0.025369435107498582,0.014868989759137098,-0.10786950052788098,-0.0634024182036399,-0.08176396222351075,0.02242130562487362,-0.06990188938997804,-0.08044172848344858,0.14083884289466495,-0.038577089358308544,-0.04756030007614251,-0.05493350586343663,-0.031819959077560196,-0.0337437002564962,-0.06175339850558983,-0.07231140632323545,,0.14277118116943244,0.11091448236464319,0.0858363390096644,0.04698177891801513,-0.08967078556499908,0.023547423380533783,0.431886045632358,-0.019134708546633336,-0.040494925499277655,-0.08956022850638512,0.5112346907121574,0.5742935004872411,0.023547423380533717,0.4000476106204987,0.43188604563235844,-0.10786950052788113,-0.08862936188925823,-0.08967078556499915,-0.01486898975913703,-0.08044172848344852,-0.057707173623972,0.1359345412480396,0.14083884289466495,-0.03324271155248117,-0.029425650991073055,0.17098546371953857,0.14277118116943244,0.06780529391225666,,,,,,,,,0.13593454124803953,0.13593454124803953,0.13593454124803891,-0.027329503396536125,0.13593454124803891,0.14083884289466458,0.14083884289466414,0.14083884289466522,0.14083884289466522
