,id,host_id,neighbourhood_group,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price_clean
id,1.0,0.4252934491183468,,-0.04804561957830257,-0.03799576203771715,0.150973529477399,-0.007604239216498246,-0.4611376368068497,-0.003541328271862505,0.3010829445020487,0.19082029980501708,-0.1387303712910819,0.150973529477399
host_id,0.4252934491183468,1.0,,-0.05970718943677526,-0.02975922809431324,0.07342723501342943,-0.04473731178574436,-0.2234614163481221,0.03490650831476572,0.39023803406358104,0.19891058270230716,-0.03790407123709282,0.07342723501342943
neighbourhood_group,,,,,,,,,,,,,
latitude,-0.04804561957830257,-0.05970718943677526,,1.0,-0.22545152570646348,-0.019553207860532735,-0.0006002418889900948,0.03565549589219381,0.027647759935773873,-0.029556230542302147,-0.03245509631353644,0.01668953868004328,-0.019553207860532735
longitude,-0.03799576203771715,-0.02975922809431324,,-0.22545152570646348,1.0,-0.05313831412164884,-0.009354587850795916,0.048317316241657436,0.03189918499152727,-0.03383452125591378,-0.044520178847437086,0.03370281767148422,-0.05313831412164884
price,0.150973529477399,0.07342723501342943,,-0.019553207860532735,-0.05313831412164884,1.0,-0.070351780888723,-0.0656054178802683,0.000236337796805588,0.15371192944054302,0.08552733909030898,-0.0642140190287601,1.0
minimum_nights,-0.007604239216498246,-0.04473731178574436,,-0.0006002418889900948,-0.009354587850795916,-0.070351780888723,1.0,-0.23203448392979484,-0.32786841348985796,-0.10170895037271023,-0.057122338266953517,-0.3459672329267662,-0.070351780888723
number_of_reviews,-0.4611376368068497,-0.2234614163481221,,0.03565549589219381,0.048317316241657436,-0.0656054178802683,-0.23203448392979484,1.0,0.6959908717190805,-0.12506023266145727,0.012311962165688146,0.6514921108338205,-0.0656054178802683
reviews_per_month,-0.003541328271862505,0.03490650831476572,,0.027647759935773873,0.03189918499152727,0.000236337796805588,-0.32786841348985796,0.6959908717190805,1.0,0.021462213435640923,0.09984565078461384,0.8746744033968172,0.00023633779680558807
calculated_host_listings_count,0.3010829445020487,0.39023803406358104,,-0.029556230542302147,-0.03383452125591378,0.15371192944054302,-0.10170895037271023,-0.12506023266145727,0.021462213435640923,1.0,0.23458122966759118,0.01603822764616448,0.15371192944054302
availability_365,0.19082029980501708,0.19891058270230716,,-0.03245509631353644,-0.044520178847437086,0.08552733909030898,-0.057122338266953517,0.012311962165688146,0.09984565078461384,0.23458122966759118,1.0,0.07437947669225754,0.08552733909030898
number_of_reviews_ltm,-0.1387303712910819,-0.03790407123709282,,0.01668953868004328,0.03370281767148422,-0.0642140190287601,-0.3459672329267662,0.6514921108338205,0.8746744033968172,0.01603822764616448,0.07437947669225754,1.0,-0.0642140190287601
price_clean,0.150973529477399,0.07342723501342943,,-0.019553207860532735,-0.05313831412164884,1.0,-0.070351780888723,-0.0656054178802683,0.00023633779680558807,0.15371192944054302,0.08552733909030898,-0.0642140190287601,1.0
