,id,host_id,neighbourhood_group,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price_clean
id,1.0,0.4478182156593954,,-0.011973967308205526,-0.06217340227533053,,-0.3797462155509194,-0.24906115488008848,0.2852297542415755,0.11724055776366732,0.23474565187616342,0.08826854968062607,
host_id,0.4478182156593954,1.0,,-0.05154877110470407,-0.11339874948353991,,-0.18107687579804044,-0.07610050229786441,0.2311079004408734,0.12505068121671042,0.18623669180999838,0.11022371215557838,
neighbourhood_group,,,,,,,,,,,,,
latitude,-0.011973967308205526,-0.05154877110470407,,1.0,0.09961373885331001,,0.00862887136955219,-0.014365777846254537,-0.015530448603737996,-0.015682580852219095,-0.014835417062027118,-0.011532056594947703,
longitude,-0.06217340227533053,-0.11339874948353991,,0.09961373885331001,1.0,,0.0007205493082275922,0.017427083066939214,-0.02917912874447197,-0.09395414638756967,-0.09701409734715565,0.004844811738296478,
price,,,,,,,,,,,,,
minimum_nights,-0.3797462155509194,-0.18107687579804044,,0.00862887136955219,0.0007205493082275922,,1.0,-0.12645705182877326,-0.2190374890287851,-0.04185664020103352,-0.1996892225162386,-0.1884201896884374,
number_of_reviews,-0.24906115488008848,-0.07610050229786441,,-0.014365777846254537,0.017427083066939214,,-0.12645705182877326,1.0,0.5639752405237161,-0.05141759216669432,0.09635791121469713,0.6141238508344914,
reviews_per_month,0.2852297542415755,0.2311079004408734,,-0.015530448603737996,-0.02917912874447197,,-0.2190374890287851,0.5639752405237161,1.0,0.008828836572215464,0.22721388091543718,0.822086925641007,
calculated_host_listings_count,0.11724055776366732,0.12505068121671042,,-0.015682580852219095,-0.09395414638756967,,-0.04185664020103352,-0.05141759216669432,0.008828836572215464,1.0,0.09727867935760089,-0.0228983617320534,
availability_365,0.23474565187616342,0.18623669180999838,,-0.014835417062027118,-0.09701409734715565,,-0.1996892225162386,0.09635791121469713,0.22721388091543718,0.09727867935760089,1.0,0.1619348386863887,
number_of_reviews_ltm,0.08826854968062607,0.11022371215557838,,-0.011532056594947703,0.004844811738296478,,-0.1884201896884374,0.6141238508344914,0.822086925641007,-0.0228983617320534,0.1619348386863887,1.0,
price_clean,,,,,,,,,,,,,
