variable_1,variable_2,correlation
estimated_occupancy_l365d,occupancy_rate_booked,1.0000000000000084
number_of_reviews,reviews_zscore,1.0000000000000022
reviews_per_month,reviews_per_month_zscore,1.000000000000002
calculated_host_listings_count,host_listings_in_city,1.0
maximum_nights,minimum_maximum_nights,0.9999521452008462
minimum_nights,minimum_minimum_nights,0.9954462280710684
log_reviews,reviews_percentile,0.9946664944537706
calculated_host_listings_count_entire_homes,host_listings_in_city,0.9940141541377407
calculated_host_listings_count,calculated_host_listings_count_entire_homes,0.9940141541377406
availability_90,availability_eoy,0.9921550313440057
minimum_minimum_nights,minimum_nights_avg_ntm,0.9881453473724193
minimum_nights,minimum_nights_avg_ntm,0.9864452722604102
maximum_maximum_nights,maximum_nights_avg_ntm,0.9847984633499784
availability_60,availability_90,0.9779166660589849
availability_60,availability_eoy,0.9601787052710158
accommodates,log_accommodates,0.9508933832731159
availability_30,availability_60,0.9405415343495918
maximum_minimum_nights,minimum_nights_avg_ntm,0.9306944067698861
host_listings_count,host_total_listings_count,0.9002484424233501
host_listings_count,calculated_host_listings_count,0.8914444019728831
host_listings_count,host_listings_in_city,0.8914444019728831
availability_30,availability_90,0.8832325903334792
host_listings_count,calculated_host_listings_count_entire_homes,0.8825075821996418
minimum_minimum_nights,maximum_minimum_nights,0.8763030670824088
minimum_nights,maximum_minimum_nights,0.8754201964584387
reviews_per_month_zscore,occupancy_rate,-0.23444204105361402
reviews_per_month,occupancy_rate,-0.23444204105361588
minimum_nights,occupancy_rate_booked,-0.2365983024119562
minimum_nights,estimated_occupancy_l365d,-0.2365983024119586
minimum_minimum_nights,log_reviews,-0.23764428969884166
id,occupancy_rate,-0.2384272288348407
minimum_nights,log_reviews,-0.2384689596111189
minimum_minimum_nights,reviews_percentile,-0.24039561351574917
minimum_nights,reviews_percentile,-0.2412025259734257
occupancy_rate,host_is_professional,-0.24299388601209485
minimum_minimum_nights,occupancy_rate_booked,-0.24309362076656543
minimum_minimum_nights,estimated_occupancy_l365d,-0.2430936207665661
id,reviews_percentile,-0.25618921442672
id,number_of_reviews,-0.2565339593790748
id,reviews_zscore,-0.2565339593790756
id,log_reviews,-0.26837576686581066
id,maximum_minimum_nights,-0.3256696480005693
id,minimum_nights_avg_ntm,-0.3790137328604979
id,minimum_nights,-0.3838972700180299
id,minimum_minimum_nights,-0.38692471151982527
availability_30,occupancy_rate,-0.6090822712051165
availability_60,occupancy_rate,-0.7087369463001881
availability_90,occupancy_rate,-0.7563922226890022
availability_eoy,occupancy_rate,-0.794156468392962
availability_365,occupancy_rate,-0.99999999999999
