variable_name,data_type,n_unique,n_missing,pct_missing,min,max,range,mean,median,std,precision,mode
id,continuous,81853.0,0,0.0,3109,1482028708285108528,1.4820287082851054e+18,6.474768960270866e+17,8.417509805807858e+17,5.533184161109961e+17,0.0,3109
name,discrete_categorical,76096.0,0,0.0,! PARIS! Cosy flat Anvers,🥐Charmant T2 - Paris 11 - 4 people - 🥐,,,,,,Appartement
host_id,continuous,59587.0,0,0.0,2626,717175691,717173065.0,188163859.59784004,74266499.0,210517274.02392858,0.0,314994947
host_name,discrete_categorical,11296.0,20,0.02,1 Rue Affre,지민,,,,,,Joffrey Sally
neighbourhood_group,empty,,81853,100.0,,,,,,,,
neighbourhood,discrete_categorical,20.0,0,0.0,Batignolles-Monceau,Élysée,,,,,,Buttes-Montmartre
latitude,continuous,38993.0,0,0.0,48.816090055186486,48.90167,0.08557994481351727,48.863979560385346,48.86524,0.018125502172962958,15.0,48.849
longitude,continuous,44767.0,0,0.0,2.2298957,2.46836,0.23846429999999996,2.343039810180872,2.34685,0.03421832707764313,16.0,2.3017715
room_type,discrete_categorical,4.0,0,0.0,Entire home/apt,Shared room,,,,,,Entire home/apt
price,empty,,81853,100.0,,,,,,,,
minimum_nights,continuous,108.0,0,0.0,1,1000,999.0,44.04735318192369,3.0,110.0782549441131,0.0,2
number_of_reviews,continuous,629.0,0,0.0,0,4040,4040.0,27.22796965291437,7.0,61.90759888783553,0.0,0
last_review,discrete_categorical,3512.0,17960,21.94,2010-05-28,2025-09-15,,,,,,2025-09-07
reviews_per_month,continuous,888.0,17960,21.94,0.01,67.92,67.91,1.0330342917064468,0.56,1.3392745957332106,2.0,0.01
calculated_host_listings_count,continuous,95.0,0,0.0,1,816,815.0,23.151246747217574,1.0,92.45202403329561,0.0,1
availability_365,continuous,366.0,0,0.0,0,365,365.0,127.25310006963703,74.0,135.21510080381748,0.0,0
number_of_reviews_ltm,continuous,142.0,0,0.0,0,839,839.0,6.887029186468425,1.0,13.512288212700632,0.0,0
license,discrete_categorical,52486.0,17256,21.08,0610029488,Exempt - hotel-type listing,,,,,,"Available with a mobility lease only (""bail mobilité"")"
price_clean,empty,,81853,100.0,,,,,,,,
