,id,scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_clean,log_price,price_per_accommodates,log_price_per_accommodates,log_reviews,log_accommodates,log_beds,price_zscore,price_percentile,log_price_zscore,reviews_zscore,reviews_percentile,reviews_per_month_zscore,occupancy_rate,occupancy_rate_booked,occupancy_is_capped,est_annual_revenue,est_annual_revenue_booked,revenue_per_accommodates,revenue_per_bedroom,log_est_revenue,host_listings_in_city,host_is_professional,pct_professional_hosts,pct_large_operators,median_host_listings,gini_host_concentration,market_professionalization_score,purchase_price,monthly_payment,zori_rent,annual_cash_flow,cash_on_cash_roi,cap_rate,price_to_rent_ratio,revenue_yield,annual_cash_flow_booked,cash_on_cash_roi_booked,cap_rate_booked,revenue_yield_booked
id,1.0,,0.41800729348258575,0.1462031265560282,0.15483905464319492,,-0.043415669434649834,-0.0257863640856261,0.09793021848062462,0.08420038669074326,0.11700117770268041,0.030111706255366195,0.005354390535221429,-0.10857509452241032,0.013483890112879687,0.018258892861197768,-0.24431131453450344,-0.21357246124353857,0.005693860534292228,-0.23583161760234933,,0.15119833429794913,0.16445439514083873,0.16935929069972025,0.17563674930773915,-0.4599779890660871,-0.12556565338981265,-0.05934884641758316,0.172120680569649,-0.2773018614240199,-0.19046519662477585,0.02726660779975203,-0.11557118815528991,-0.14272456179329346,-0.10609439926105911,-0.12824381611806115,-0.12417749558215892,-0.1257420855182163,-0.14460292012113946,0.27494629456946074,0.25353400268472975,0.09806963581904223,-0.04320425837649752,0.0007249940135181896,0.0966757896498744,0.17328310667140298,0.0810755522738738,0.11605773262711079,-0.6029865846110419,0.09079504330854532,0.01380687524553239,0.09667578964987446,0.16347224172686564,0.1732831066714102,-0.4599779890660882,-0.6051482310016657,0.000724994013515861,-0.17563674930773737,-0.19046519662477374,-0.11941543725759618,0.07569935240854302,0.02726660779975203,0.06379508310521283,0.06679428877600016,-0.08614561379265226,0.27494629456946074,0.2213645732715704,,,,,,,,,0.07569935240854302,0.07569935240854274,0.0756993524085427,0.05821513987121322,0.0756993524085427,0.027266607799751836,0.027266607799752138,0.02726660779975198,0.02726660779975198
scrape_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_id,0.41800729348258575,,1.0,0.19503474178565744,0.157698514426029,,-0.05614047481345299,-0.023238354211056824,0.062372269041905244,0.04272977459404594,0.02913983189931777,0.005145863444550061,-0.03694195763566086,-0.010305265601387698,-0.03404453227472522,-0.03630413443318949,-0.03357581813034485,0.014239130017720385,-0.036470815994665805,-0.014628707800460824,,0.18962937346786554,0.18878109162831846,0.1867283813674976,0.19344647611990368,-0.21885385873239124,-0.027612970648758305,-0.01566666453625942,0.1865195550850271,-0.11000618974757678,-0.06835097969363693,0.061552642516171326,-0.14665225148602581,-0.16216954513429088,-0.12982043204021398,-0.12911705577151666,-0.1359257176349463,-0.1410973249751854,-0.16045575714164897,0.38753495232651886,0.34653471620448656,0.25641863274254534,-0.0026220728904078135,0.041192180707770705,0.0722165197095626,0.12919082199323867,0.08070140804450614,0.0878262565924363,-0.27120371506483654,0.05751349178035859,-0.005655408386932251,0.0722165197095625,0.15067752790298242,0.12919082199324158,-0.21885385873239135,-0.2722665269575472,0.04119218070776931,-0.193446476119903,-0.06835097969363607,-0.028776854507376326,0.03637201754026531,0.061552642516171326,0.04936324035089486,0.049866960361300436,-0.1490420525939516,0.38753495232651886,0.19472137055008917,,,,,,,,,0.03637201754026528,0.036372017540265096,0.036372017540265124,0.0677133530963777,0.036372017540265124,0.06155264251617122,0.06155264251617146,0.06155264251617128,0.06155264251617128
host_listings_count,0.1462031265560282,,0.19503474178565744,1.0,0.8744722340434112,,-0.023096474009241127,-0.058367630444244346,0.021255256481032405,0.0037946590010858425,-0.05065076032871319,-0.07406574428771216,0.0106705304575613,0.0690847863477058,0.016225372549180214,0.009974527950502816,-0.09055402062851517,-0.0270153391737124,0.010853395100257566,-0.08519533191424848,,0.08938290166984211,0.08668332646788277,0.0920876569763832,0.12473892230821138,-0.09060129326674309,-0.07164465651889419,-0.031075580988906466,0.09603685314306326,-0.08935836900795364,-0.12104419023939542,0.2383756576592666,-0.11055177611497569,-0.11373089457749244,-0.05990522239706736,-0.08571527043187344,-0.06768837503469965,-0.1518865995076577,-0.13535642463652095,0.14453391009611577,0.08079179024483905,0.20612522923673698,-0.007931640558804354,0.024395888981828432,0.39341583169291916,0.26094739823603474,0.39829551885443526,0.30912366113278594,-0.18679424415560547,0.0015189608860811084,-0.13309749311927152,0.39341583169291977,0.12790169564542095,0.2609473982360351,-0.09060129326674303,-0.17502306026061304,0.024395888981827953,-0.12473892230821114,-0.12104419023939483,-0.057584449344343654,0.3500018708647739,0.2383756576592666,0.36536872656726627,0.44649987196118207,-0.025415080606773496,0.14453391009611577,0.16809380330103618,,,,,,,,,0.3500018708647739,0.3500018708647741,0.35000187086477363,0.0832298207787372,0.35000187086477363,0.23837565765926655,0.23837565765926677,0.23837565765926666,0.23837565765926666
host_total_listings_count,0.15483905464319492,,0.157698514426029,0.8744722340434112,1.0,,-0.021322328469242133,-0.051734893131239475,0.05325216560769602,0.019298195436504715,-0.024267519516329036,-0.09070141107767325,-0.00977195378954748,0.08290081759168999,-0.0077091729794931925,-0.01010022736531519,-0.08877515742045732,-0.01258653504946592,-0.009395110033314034,-0.08043071648717462,,0.0666311754317555,0.07644100002371733,0.08240056475410655,0.11757131253553782,-0.08601456305904041,-0.07049445426365154,-0.029135725002344168,0.08659793120519652,-0.0849811641201161,-0.1151173090744745,0.2822184743600334,-0.10341409181711556,-0.10406950956594715,-0.05359035266309793,-0.060740542303083477,-0.052204765733073984,-0.15007479813584684,-0.12340700974240791,0.1657747766108811,0.0646406372744676,0.21743053597290773,-0.007952632424166807,0.018255885540263406,0.6846845011232486,0.4062282667493842,0.5754235612266301,0.45480678993805024,-0.17628240714131102,0.0241054665630182,-0.16764633632580273,0.6846845011232492,0.13455296988044554,0.40622826674938456,-0.08601456305904023,-0.165393359185798,0.01825588554026297,-0.1175713125355373,-0.11511730907447362,-0.05477526383624534,0.6271636477336917,0.2822184743600334,0.5383137737456506,0.6253644291520861,0.04843794622609161,0.1657747766108811,0.15547363164848724,,,,,,,,,0.6271636477336917,0.6271636477336923,0.6271636477336923,0.07311999495224264,0.6271636477336923,0.28221847436003333,0.28221847436003356,0.28221847436003333,0.28221847436003333
neighbourhood_group_cleansed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude,-0.043415669434649834,,-0.05614047481345299,-0.023096474009241127,-0.021322328469242133,,1.0,-0.2281470293271294,0.00779385512742541,-0.004619714362245855,0.012359138639820792,-0.008298078523003414,-0.0028015244303915697,0.007425451141140605,8.406393577546476e-05,0.0016910015199264217,0.03476999352671041,0.029740725808253512,-0.0010155370424823535,0.032482465686015594,,-0.012689620390852134,-0.022127532891641464,-0.026615867930388656,-0.029443735552345977,0.03412462554739799,0.01471324600136231,0.007943507324546963,-0.030321418927546674,0.030858151764728867,-0.024743052113647048,-0.007601054148119794,0.01136785251362018,0.01635300502613771,0.010062220308751714,0.0027576122250436035,0.007953507153393087,-0.013031099882322733,0.0008552084872890472,-0.024715853644812883,-0.025661919862017154,0.013919401060778517,-0.003281368327467024,0.02781424045683017,-0.012106923212652504,-0.02285632198860177,-0.011572508866770434,-0.026351286489765015,0.03541801949739373,0.0019559513300004025,-5.6416219759686384e-05,-0.012106923212652516,-0.01973241612000174,-0.022856321988602112,0.03412462554739799,0.03665788862270791,0.027814240456830244,0.029443735552346032,-0.024743052113647055,0.021484947835130767,-0.013057536553092565,-0.007601054148119794,-0.011024308846556136,-0.011730406864922348,0.014936404990224948,-0.024715853644812883,0.018483487608939596,,,,,,,,,-0.013057536553092565,-0.013057536553092509,-0.013057536553092525,-0.012930170179926618,-0.013057536553092525,-0.007601054148119774,-0.007601054148119794,-0.007601054148119794,-0.007601054148119794
longitude,-0.0257863640856261,,-0.023238354211056824,-0.058367630444244346,-0.051734893131239475,,-0.2281470293271294,1.0,-0.028695823468291744,-0.05085757037325527,0.01076645347585765,-0.005618691974892341,-0.014501997282254599,-0.025580151117993423,-0.03205689095569879,-0.022248635537424555,0.013803182370897093,-0.0012996192267637294,-0.017846405433861623,0.011562965547466983,,-0.0163809668548649,-0.014133576279098857,-0.00843396958334312,-0.036860037393322186,0.045461160956298964,0.03002918839028775,0.022731364370283957,-0.011147651584280851,0.03869619538574654,0.027995682171097894,-0.008127719012259093,0.009212924751353695,0.015475717953667003,0.0008663660616081298,0.02528404943921279,0.01995569704822439,-0.055958825153948726,0.023114884803641385,-0.020466946596520454,-0.01112404118502005,-0.04858527294476487,-0.035273999860419306,0.03381034243713501,-0.025684891003918832,-0.0800308175819382,-0.017543735059144187,-0.07056563631083443,0.05316567040484345,-0.03271090556032056,-0.0031999677062673907,-0.025684891003918825,-0.07688354268065399,-0.08003081758193806,0.045461160956299186,0.0515762554093128,0.03381034243713509,0.03686003739332217,0.027995682171097776,0.012743755093461654,-0.0200035488603689,-0.008127719012259093,-0.010492537946584961,-0.022808233489196836,-0.001110105058894142,-0.020466946596520454,-0.0694622954818301,,,,,,,,,-0.020003548860368904,-0.020003548860368918,-0.020003548860368918,-0.02928008247469382,-0.020003548860368918,-0.008127719012259088,-0.008127719012259133,-0.008127719012259109,-0.008127719012259109
accommodates,0.09793021848062462,,0.062372269041905244,0.021255256481032405,0.05325216560769602,,0.00779385512742541,-0.028695823468291744,1.0,0.5430207801009513,0.8354569100130947,0.82792407183418,-0.05739939464521837,0.0949086368884296,-0.0614038718352384,-0.054229240141377415,0.07177754909522302,0.07104514519254979,-0.05872892816987586,0.07080616310411092,,0.06718223044281427,0.0682095332062433,0.06217960269910125,0.1170026649950437,-0.0587927601351759,-0.019379587769076743,-0.03284424725433742,0.07053034482949191,-0.026611200000505177,-0.03844775664112876,0.03613820598282177,-0.003160342344674186,-0.029051927152736117,-0.027583126616032513,-0.02359627219827504,-0.0181178402817846,0.004755337965532966,-0.02729620664573776,0.09265563002853335,0.10435438388492398,-0.10831150957324288,-0.022146892833975196,-0.016419130504210268,0.04738848076089207,0.5734337480651259,-0.027911056725586678,-0.1817764084998286,-0.054799454783797594,0.9290202696547376,0.7673978149999152,0.04738848076089209,0.581384902095519,0.5734337480651258,-0.05879276013517579,-0.05562392299953289,-0.016419130504210584,-0.11700266499504343,-0.03844775664112865,-0.02852604046502243,0.05772993038953237,0.03613820598282177,-0.05775336143478442,-0.036278012816959596,0.16720714726035454,0.09265563002853335,0.09163334508094835,,,,,,,,,0.05772993038953235,0.05772993038953222,0.05772993038953228,-0.0986074000216336,0.05772993038953228,0.03613820598282176,0.03613820598282187,0.036138205982821546,0.036138205982821546
bathrooms,0.08420038669074326,,0.04272977459404594,0.0037946590010858425,0.019298195436504715,,-0.004619714362245855,-0.05085757037325527,0.5430207801009513,1.0,0.5556457449439957,0.5218989144880867,0.04054771340501401,0.044572047179413606,0.03813816232578589,0.031021719251225068,-0.01471896682021943,-0.02200649612089676,0.03982496240724813,-0.02000059306347787,,0.02167068457164756,0.026641292631154487,0.02438717306968833,0.0880739210513426,-0.14000550868992143,-0.12746715015964533,-0.11650682267257723,0.03947266663881948,-0.13317276876545556,-0.15194731612805795,0.01424374753619491,-0.03985288888517502,-0.0561947737819133,-0.052205608605132355,-0.07698047055113741,-0.0689918780330612,-0.010786159762871788,-0.05178357441837063,0.06762237119282363,0.04847468279495966,0.11744798947150197,0.27808360714213276,-0.13242522799921141,0.033398151094761665,0.42825097147848984,-0.017507963915912486,0.04322063985008386,-0.1690796735637546,0.4444706056688238,0.4613976080838433,0.033398151094761665,0.43081996653431204,0.42825097147849017,-0.14000550868992076,-0.16825761969146844,-0.132425227999212,-0.08807392105134311,-0.15194731612805773,-0.10023750549259003,0.04846030822900223,0.01424374753619491,-0.03038231396350121,-0.029796365129861745,0.12328394510877133,0.06762237119282363,0.13484208413899995,,,,,,,,,0.048460308229002214,0.048460308229002255,0.04846030822900225,-0.04485902767407299,0.04846030822900225,0.014243747536194932,0.014243747536194905,0.014243747536194923,0.014243747536194923
