variable_1,variable_2,correlation
log_price,log_price_zscore,1.0000000000000013
cash_on_cash_roi_booked,cap_rate_booked,1.0000000000000002
cash_on_cash_roi_booked,revenue_yield_booked,1.0000000000000002
cap_rate_booked,revenue_yield_booked,1.0
est_annual_revenue_booked,annual_cash_flow_booked,1.0
annual_cash_flow,revenue_yield,1.0
annual_cash_flow,cap_rate,1.0
est_annual_revenue,annual_cash_flow,1.0
est_annual_revenue,cap_rate,1.0
estimated_revenue_l365d,annual_cash_flow_booked,1.0
calculated_host_listings_count,host_listings_in_city,1.0
cap_rate,revenue_yield,1.0
estimated_revenue_l365d,est_annual_revenue_booked,1.0
est_annual_revenue,revenue_yield,1.0
est_annual_revenue,cash_on_cash_roi,1.0
annual_cash_flow,cash_on_cash_roi,0.9999999999999999
price_clean,price_zscore,0.9999999999999998
estimated_occupancy_l365d,occupancy_rate_booked,0.9999999999999991
annual_cash_flow_booked,revenue_yield_booked,0.9999999999999988
annual_cash_flow_booked,cap_rate_booked,0.9999999999999988
cash_on_cash_roi,cap_rate,0.9999999999999988
est_annual_revenue_booked,cap_rate_booked,0.9999999999999988
estimated_revenue_l365d,cap_rate_booked,0.9999999999999988
estimated_revenue_l365d,revenue_yield_booked,0.9999999999999988
est_annual_revenue_booked,revenue_yield_booked,0.9999999999999988
minimum_nights_avg_ntm,number_of_reviews_ltm,-0.35722753091207354
minimum_nights,log_reviews,-0.3584374564188254
minimum_nights_avg_ntm,log_reviews,-0.3603374735564588
minimum_minimum_nights,number_of_reviews_l30d,-0.36780897475178753
minimum_minimum_nights,number_of_reviews_ly,-0.379574351864317
availability_30,log_est_revenue,-0.3885450919738107
minimum_minimum_nights,number_of_reviews_ltm,-0.40629061621329776
minimum_minimum_nights,reviews_per_month,-0.40993024979249004
minimum_minimum_nights,reviews_per_month_zscore,-0.40993024979249104
minimum_minimum_nights,reviews_percentile,-0.42639233223855283
availability_60,log_est_revenue,-0.4285221439906926
minimum_minimum_nights,log_reviews,-0.4303410609232575
availability_90,log_est_revenue,-0.4497861703764861
id,number_of_reviews,-0.4599779890660871
id,reviews_zscore,-0.4599779890660882
availability_eoy,log_est_revenue,-0.4979347174433804
availability_30,occupancy_rate,-0.49947284939622816
availability_60,occupancy_rate,-0.5967444189754777
id,log_reviews,-0.6029865846110419
id,reviews_percentile,-0.6051482310016657
log_est_revenue,price_to_rent_ratio,-0.6377165867717489
availability_90,occupancy_rate,-0.6605934812547319
availability_eoy,occupancy_rate,-0.7384579160044867
availability_365,log_est_revenue,-0.7411515847581499
availability_365,occupancy_rate,-0.9999999999999968
