variable_name,data_type,n_unique,n_missing,pct_missing,min,max,range,mean,median,std,precision,mode
id,continuous,5684.0,0,0.0,15373,1518246788234100829,1.5182467882340854e+18,6.330836109474609e+17,7.2481192367184e+17,5.5835152938627066e+17,0.0,15373
listing_url,discrete_categorical,5684.0,0,0.0,https://www.airbnb.com/rooms/1000090352573229384,https://www.airbnb.com/rooms/9999926,,,,,,https://www.airbnb.com/rooms/1000090352573229384
scrape_id,discrete_numeric,1.0,0,0.0,20250930030713,20250930030713,0.0,20250930030713.004,20250930030713.0,0.003906593663397489,0.0,20250930030713
last_scraped,discrete_categorical,1.0,0,0.0,2025-09-30,2025-09-30,,,,,,2025-09-30
source,discrete_categorical,2.0,0,0.0,city scrape,previous scrape,,,,,,city scrape
name,discrete_categorical,5360.0,0,0.0,! Rare 10 Guests/FamilyVacation+BeachHouse!Newport,🏡🏡🤩😍 Beautiful apartment perfect location.💎💜,,,,,,Wyndham Long Wharf Resort |2BR King Suite
description,discrete_categorical,4968.0,37,0.65,"""Casnewydd"" (kas-new-with) is anything but ordinar...",🐔Welcome to The Roost – Your Providence Farmhouse ...,,,,,,Shingle-style architecture makes this beautiful re...
neighborhood_overview,discrete_categorical,2250.0,2633,46.32,"""If you're looking for that proverbial ""All Americ...",▶ What's nearby — Aquidneck Shopping Centre - 4 mi...,,,,,,"Narragansett, Rhode Island, is a charming coastal ..."
picture_url,discrete_categorical,5545.0,0,0.0,https://a0.muscache.com/pictures/00034430-1cd6-4a4...,https://a0.muscache.com/pictures/prohost-api/Hosti...,,,,,,https://a0.muscache.com/pictures/hosting/Hosting-1...
host_id,continuous,2899.0,0,0.0,11808,718717272,718705464.0,209716568.08163264,142367925.5,190863045.4076482,0.0,223489475
host_url,discrete_categorical,2899.0,0,0.0,https://www.airbnb.com/users/show/100021167,https://www.airbnb.com/users/show/9990213,,,,,,https://www.airbnb.com/users/show/223489475
host_name,discrete_categorical,1368.0,0,0.0,A,Zongdong,,,,,,Rhonda
host_since,discrete_categorical,2089.0,0,0.0,2009-03-30,2025-09-12,,,,,,2018-10-31
host_location,discrete_categorical,359.0,1450,25.51,"Addison, MI","Zürich, Switzerland",,,,,,"Providence, RI"
host_about,discrete_categorical,1285.0,2646,46.55,"Love Renovating & Design, Fashion, Food, Travel, L...",￼ I love visiting different parts of the world! Of...,,,,,,I am the Vacation Leasing Consultant with Narragan...
host_response_time,discrete_categorical,4.0,504,8.87,a few days or more,within an hour,,,,,,within an hour
host_response_rate,discrete_categorical,38.0,504,8.87,0%,99%,,,,,,100%
host_acceptance_rate,discrete_categorical,90.0,295,5.19,0%,99%,,,,,,100%
host_is_superhost,discrete_categorical,2.0,99,1.74,f,t,,,,,,f
host_thumbnail_url,discrete_categorical,2749.0,0,0.0,https://a0.muscache.com/defaults/user_pic-50x50.pn...,https://z0.muscache.cn/im/pictures/user/fa98e6af-a...,,,,,,https://a0.muscache.com/defaults/user_pic-50x50.pn...
host_picture_url,discrete_categorical,2749.0,0,0.0,https://a0.muscache.com/defaults/user_pic-225x225....,https://z0.muscache.cn/im/pictures/user/fa98e6af-a...,,,,,,https://a0.muscache.com/defaults/user_pic-225x225....
host_neighbourhood,discrete_categorical,167.0,2675,47.06,Albion,Wyoming,,,,,,Newport East
host_listings_count,continuous,71.0,0,0.0,1,3818,3817.0,139.24120337790288,3.0,546.4135295356217,0.0,1
host_total_listings_count,continuous,79.0,0,0.0,1,4935,4934.0,181.27920478536242,4.0,698.0296411240258,0.0,1
host_verifications,discrete_categorical,5.0,0,0.0,"['email', 'phone', 'work_email']",['phone'],,,,,,"['email', 'phone']"
host_has_profile_pic,discrete_categorical,2.0,0,0.0,f,t,,,,,,t
host_identity_verified,discrete_categorical,2.0,0,0.0,f,t,,,,,,t
neighbourhood,discrete_categorical,1.0,2633,46.32,Neighborhood highlights,Neighborhood highlights,,,,,,Neighborhood highlights
neighbourhood_cleansed,discrete_categorical,38.0,0,0.0,Barrington,Woonsocket,,,,,,Newport
neighbourhood_group_cleansed,discrete_categorical,5.0,0,0.0,Bristol,Washington,,,,,,Newport
latitude,continuous,4888.0,0,0.0,41.15037,42.0107708,0.8604008000000007,41.56082795612769,41.493645,0.18363629671042608,14.0,41.4902895
longitude,continuous,4903.0,0,0.0,-71.859497,-71.1268,0.7326970000000017,-71.41587898689612,-71.41928,0.13092550232799438,14.0,-71.3199932
property_type,discrete_categorical,51.0,0,0.0,Barn,Yurt,,,,,,Entire home
room_type,discrete_categorical,3.0,0,0.0,Entire home/apt,Shared room,,,,,,Entire home/apt
accommodates,discrete_numeric,16.0,0,0.0,1,16,15.0,5.450035186488388,5.0,3.1597952185466416,0.0,4
bathrooms,continuous,20.0,704,12.39,0.0,10.5,10.5,1.6314257028112449,1.0,0.9487501823545452,1.0,1.0
bathrooms_text,discrete_categorical,28.0,1,0.02,0 baths,Shared half-bath,,,,,,1 bath
bedrooms,discrete_numeric,14.0,75,1.32,0.0,18.0,18.0,2.4002495988589767,2.0,1.5176352561748419,0.0,1.0
beds,discrete_numeric,19.0,727,12.79,0.0,18.0,18.0,3.1831753076457536,3.0,2.253043713896099,0.0,1.0
amenities,discrete_categorical,5220.0,0,0.0,"[""32 inch HDTV with standard cable"", ""Laundromat n...","[""Window AC unit"", ""Body soap"", ""Mini fridge"", ""Lo...",,,,,,"[""Free parking on premises"", ""Building staff"", ""Ai..."
price,discrete_categorical,936.0,754,13.27,"$1,000.00",$999.00,,,,,,$300.00
minimum_nights,discrete_numeric,37.0,0,0.0,1,365,364.0,7.773223082336383,2.0,17.52315119575137,0.0,2
maximum_nights,continuous,110.0,0,0.0,1,1125,1124.0,394.899366643209,365.0,401.2907457373206,0.0,365
minimum_minimum_nights,continuous,40.0,9,0.16,1.0,365.0,364.0,7.7258149779735685,2.0,20.728396894237328,1.0,2.0
maximum_minimum_nights,continuous,48.0,9,0.16,1.0,365.0,364.0,10.14431718061674,3.0,26.34237712527077,1.0,2.0
minimum_maximum_nights,continuous,102.0,9,0.16,1.0,2147483647.0,2147483646.0,4163060.125814978,365.0,94462649.57085639,1.0,1125.0
maximum_maximum_nights,continuous,101.0,9,0.16,1.0,2147483647.0,2147483646.0,4163093.8310132157,365.0,94462648.08536309,1.0,1125.0
minimum_nights_avg_ntm,continuous,164.0,0,0.0,1.0,365.0,364.0,8.935080928923293,2.8,23.17101218954889,1.0,2.0
