variable_name,data_type,n_unique,n_missing,pct_missing,min,max,range,mean,median,std,precision,mode
id,continuous,7540.0,0,0.0,958,1499677890538720999,1.49967789053872e+18,5.275898513011487e+17,5.4513920195659744e+17,5.577198000603053e+17,0.0,958
listing_url,discrete_categorical,7540.0,0,0.0,https://www.airbnb.com/rooms/1000704809520026503,https://www.airbnb.com/rooms/999995823941483379,,,,,,https://www.airbnb.com/rooms/1000704809520026503
scrape_id,discrete_numeric,1.0,0,0.0,20250901181253,20250901181253,0.0,20250901181253.0,20250901181253.0,0.0,0.0,20250901181253
last_scraped,discrete_categorical,1.0,0,0.0,2025-09-01,2025-09-01,,,,,,2025-09-01
source,discrete_categorical,2.0,0,0.0,city scrape,previous scrape,,,,,,city scrape
name,discrete_categorical,7079.0,0,0.0,"!B Upper Room w/private bath, 1 guest only",🎷 Stay in the Heart of Fillmore & Japantown 🎶,,,,,,Chic King Suite at Wyndham Donatello in SF
description,discrete_categorical,6074.0,89,1.18,Large and sunny one bedroom with views of Candlest...,🥰 Beautiful fully detached corner house in a very ...,,,,,,This 250 sqft room has a queen bed and a private b...
neighborhood_overview,discrete_categorical,3135.0,3081,40.86,located in historical Nob Hill district. on the in...,"📍Set just one block from Fisherman’s Wharf, the Ma...",,,,,,Russian Hill is a vibrant and desirable neighborho...
picture_url,discrete_categorical,6998.0,0,0.0,https://a0.muscache.com/pictures/0014cebc-a57f-467...,https://a0.muscache.com/pictures/prohost-api/Hosti...,,,,,,https://a0.muscache.com/pictures/miso/Hosting-1003...
host_id,continuous,3688.0,0,0.0,1169,716069750,716068581.0,185179416.5551724,78910325.0,209478057.5565761,0.0,542041520
host_url,discrete_categorical,3688.0,0,0.0,https://www.airbnb.com/users/show/100238132,https://www.airbnb.com/users/show/9999808,,,,,,https://www.airbnb.com/users/show/542041520
host_name,discrete_categorical,2118.0,1,0.01,1906 Mission,戸上,,,,,,Ronald Alan
host_since,discrete_categorical,2469.0,1,0.01,2008-07-31,2025-08-28,,,,,,2023-10-16
host_location,discrete_categorical,227.0,1664,22.07,"Adair Village, OR","Yucca Valley, CA",,,,,,"San Francisco, CA"
host_about,discrete_categorical,2299.0,2892,38.36,,"我喜歡旅行，美食，音樂，閱讀和運動！ I love travelling, food, music,...",,,,,,"We’re Blueground, a global proptech company with s..."
host_response_time,discrete_categorical,4.0,1138,15.09,a few days or more,within an hour,,,,,,within an hour
host_response_rate,discrete_categorical,50.0,1138,15.09,0%,99%,,,,,,100%
host_acceptance_rate,discrete_categorical,98.0,802,10.64,0%,99%,,,,,,100%
host_is_superhost,discrete_categorical,2.0,137,1.82,f,t,,,,,,f
host_thumbnail_url,discrete_categorical,3626.0,1,0.01,https://a0.muscache.com/defaults/user_pic-50x50.pn...,https://z1.muscache.cn/im/pictures/user/7406e94f-e...,,,,,,https://a0.muscache.com/im/pictures/user/User-5420...
host_picture_url,discrete_categorical,3626.0,1,0.01,https://a0.muscache.com/defaults/user_pic-225x225....,https://z1.muscache.cn/im/pictures/user/7406e94f-e...,,,,,,https://a0.muscache.com/im/pictures/user/User-5420...
host_neighbourhood,discrete_categorical,243.0,311,4.12,Alameda,ж.к. Стрелбище,,,,,,Mission District
host_listings_count,continuous,109.0,1,0.01,1.0,5445.0,5444.0,273.2573285581642,4.0,1000.3292267005252,1.0,1.0
host_total_listings_count,continuous,128.0,1,0.01,1.0,6785.0,6784.0,327.5435734182252,5.0,1179.3863385835818,1.0,1.0
host_verifications,discrete_categorical,5.0,1,0.01,"['email', 'phone', 'work_email']",['phone'],,,,,,"['email', 'phone']"
host_has_profile_pic,discrete_categorical,2.0,1,0.01,f,t,,,,,,t
host_identity_verified,discrete_categorical,2.0,1,0.01,f,t,,,,,,t
neighbourhood,discrete_categorical,1.0,3081,40.86,Neighborhood highlights,Neighborhood highlights,,,,,,Neighborhood highlights
neighbourhood_cleansed,discrete_categorical,37.0,0,0.0,Bayview,Western Addition,,,,,,Downtown/Civic Center
neighbourhood_group_cleansed,empty,,7540,100.0,,,,,,,,
latitude,continuous,5325.0,0,0.0,37.70848,37.81094,0.10246000000000066,37.77034745038478,37.77581355,0.023239121003000202,14.0,37.7884146
