,id,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_clean,log_price,price_per_accommodates,log_price_per_accommodates,log_reviews,log_accommodates,log_beds,price_zscore,price_percentile,log_price_zscore,reviews_zscore,reviews_percentile,reviews_per_month_zscore,occupancy_rate,occupancy_rate_booked,occupancy_is_capped,est_annual_revenue,est_annual_revenue_booked,revenue_per_accommodates,revenue_per_bedroom,log_est_revenue,host_listings_in_city,host_is_professional,pct_professional_hosts,pct_large_operators,median_host_listings,gini_host_concentration,market_professionalization_score,purchase_price,monthly_payment,zori_rent,annual_cash_flow,cash_on_cash_roi,cap_rate,price_to_rent_ratio,revenue_yield,annual_cash_flow_booked,cash_on_cash_roi_booked,cap_rate_booked,revenue_yield_booked
id,1.0,,0.3733739610587708,0.10304995545558013,0.07603005777398568,-0.014745279088072293,0.0037503989516593852,0.09869732641324827,0.13079251135188433,0.1286652854400169,0.0779750378269046,-0.08605425012348221,-0.10143470779958441,-0.08289364045836882,0.03205544813004849,-0.24837850440895115,-0.2365154628304978,-0.0802140632663451,-0.2441142200448535,,0.0885666327196209,0.0865726566581549,0.07356129440578814,0.03960872622472832,-0.492193579406177,-0.1094820615285216,0.0018604300398101386,0.07364311901597541,-0.24955802575849942,-0.18471980909478222,-0.08291152264374764,-0.03238507978296125,-0.07091869188573928,-0.017701999149216392,-0.06976958430257707,-0.04020642996698996,-0.07692729640011871,-0.05562160417176846,0.07405794790545117,0.05817289579320912,0.11139971006378231,0.05471990271968731,0.10811152103320743,0.0331496613474198,0.07624480740199825,0.02497000712951914,-0.01640719218619293,-0.5428757443624487,0.08873397315841443,0.07359115876048679,0.033149661347419694,0.10762129753376837,0.07624480740200411,-0.4921935794061753,-0.567571113844717,0.10811152103320602,-0.03960872622472514,-0.18471980909478297,-0.13344907742841944,0.03476583354553188,-0.08291152264374764,0.021657090712074577,0.02227004137077226,-0.0339768740700393,0.07405794790545117,0.15114933596564945,,,,,,,,,0.034765833545532074,0.034765833545531255,0.03476583354553188,0.07785966811786384,0.03476583354553188,-0.08291152264374507,-0.08291152264374746,-0.08291152264374625,-0.08291152264374625
scrape_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_id,0.3733739610587708,,1.0,0.03337850246310565,-0.0156332752331354,-0.01353457068793151,-0.004117745921515799,0.06845127497758259,0.07511799751981753,0.06650806760919278,0.06220640479512241,-0.08202467833321923,-0.09858433987569602,-0.08743781267265059,-0.09034384376235459,-0.14295918190618395,-0.11795292071622791,-0.0906143719558785,-0.12892970301263812,,0.12265071873876982,0.12467523298199444,0.10434782757183368,0.009867857393561752,-0.20714474279481573,-0.013554527411884983,-0.023339126849304618,0.10184742288832839,-0.05194501538589942,-0.04930724501301952,-0.014082227818845673,-0.09487914417741987,-0.11007005791426552,-0.0684381458873075,-0.09682430819400961,-0.0797581208750178,-0.0768653043106876,-0.10193840745652448,-0.04206935739885781,-0.07911417472412403,0.2528084523983959,-0.014791872861327965,0.07176125848595585,-0.02138906388331082,0.034970454509681066,-0.027873886083252888,-0.036943971519679084,-0.20675646427717537,0.058432271676359636,0.060304024373555545,-0.021389063883310896,0.05851177292135706,0.03497045450968238,-0.20714474279481582,-0.21247924263927442,0.07176125848595537,-0.009867857393560444,-0.04930724501301966,-0.030097860117519498,-0.0006334443037277274,-0.014082227818845673,-0.024003591041121392,-0.023655298710429012,-0.008452602189277065,-0.04206935739885781,0.08723586346541183,,,,,,,,,-0.0006334443037276097,-0.0006334443037279294,-0.0006334443037277462,0.035715055559908906,-0.0006334443037277462,-0.014082227818845054,-0.014082227818845909,-0.014082227818845132,-0.014082227818845132
host_listings_count,0.10304995545558013,,0.03337850246310565,1.0,0.8188165675046087,0.005970862295585892,-0.021932217315615076,0.017602982077002807,-0.002929340631895545,0.007368784374771257,0.0119587408477197,-0.025828595203022324,0.17693210981056975,-0.021529809841535994,-0.0252601411918507,-0.012216307046744935,0.0631593549502977,-0.025417741087684517,0.020828001731204193,,0.07851718715139622,0.08442261934937116,0.0831540412228532,0.10132885828275515,-0.1008538940632121,-0.08607919148262842,-0.08713625489578067,0.08679328819246722,-0.07962834038392708,-0.10624436867849851,-0.026469594152523982,-0.14320402786349995,-0.12069446826044711,-0.08723918047339484,-0.14572514362523029,-0.17217166642298085,-0.09101197022518392,-0.14957311281240465,0.3676392214230164,0.34638444112144284,0.18834056392800574,-0.00713010585245968,-0.08498021455948984,0.3002775922318763,0.14442098020349384,0.29627365519775173,0.16051526366445984,-0.12191142309640725,0.022604974961823968,0.010695517315143375,0.30027759223187644,0.05553342935402933,0.14442098020349367,-0.10085389406321153,-0.12464422399334768,-0.08498021455949038,-0.1013288582827553,-0.10624436867849857,-0.06216681118406437,0.22601227835857923,-0.026469594152523982,0.29030950949031675,0.31009123465567673,-0.02343788936506128,0.3676392214230164,0.20886507288997483,,,,,,,,,0.22601227835857926,0.22601227835857843,0.22601227835857915,0.004972982189599526,0.22601227835857915,-0.026469594152524,-0.026469594152524256,-0.026469594152523885,-0.026469594152523885
host_total_listings_count,0.07603005777398568,,-0.0156332752331354,0.8188165675046087,1.0,-0.006800404226534144,-0.014869719970023532,0.005233213974024369,-0.0054239226601976095,0.00013519585765923677,-0.004651544284066402,-0.020990718372814684,0.15579500680014746,-0.018910223422967352,-0.022395839701064794,-0.021702232137638066,0.0605665882608943,-0.021948039754656392,-0.00023568002902923585,,0.0423634306493961,0.04564958489874214,0.049170642195312066,0.07560361497366931,-0.07382306287556789,-0.0700885153302463,-0.0668177799228227,0.05257733338486998,-0.06256235361274151,-0.08924200457505317,0.08829284516220127,-0.08789574477714691,-0.07558423307893736,-0.05637390632349325,-0.1019540693572632,-0.14292866994437692,-0.056578736519226805,-0.09744111781083373,0.1873703542368115,0.18560100685941305,0.07158867700403211,-0.007340417023357095,-0.07456335297183775,0.7684750009845641,0.2726696931340196,0.7588470065429457,0.33255178811027336,-0.10439729745091593,0.008811366642009485,-0.010499507943324897,0.7684750009845633,0.07302862035116717,0.27266969313401873,-0.07382306287556759,-0.10339751190957633,-0.0745633529718381,-0.07560361497366923,-0.08924200457505252,-0.045129634439426414,0.5621524735633906,0.08829284516220127,0.7052534836365346,0.7287542831104992,0.06251447266138956,0.1873703542368115,0.13307464874378216,,,,,,,,,0.5621524735633906,0.5621524735633874,0.5621524735633885,-0.0035269182362888665,0.5621524735633885,0.08829284516220134,0.08829284516220118,0.0882928451622015,0.0882928451622015
latitude,-0.014745279088072293,,-0.01353457068793151,0.005970862295585892,-0.006800404226534144,1.0,-0.13449116647829704,-0.038233943602683784,-0.031651653276541666,-0.018802643313619163,-0.03329948140960094,0.021710205489770543,-0.0022637775658343943,0.029266337635900655,-0.027494672970026394,-0.01710057681593193,-0.019253892840252553,0.02190683512727087,-0.020187858295064122,,-0.0018683101645197008,-0.00822712332925493,-0.01357543907875493,-0.02522843551444178,-0.00239482604397593,-0.04028002278511268,-0.04181982784411594,-0.017566941841705548,-0.02487540607456158,-0.04626782624502158,-0.04328923359135567,-0.039994039526620485,-0.05280987988532097,-0.018522487600571406,-0.020792794699222752,-0.032436024460994875,0.04240866745260955,-0.05488046100042547,-0.0017157425676632989,-0.00879351927201367,0.045215369214300555,0.08464484666939821,-0.0649381015123368,-0.007609630777863832,-0.02759298570322192,-0.008843819951013333,0.024527719130880796,-0.01007211890910375,-0.043343836421169596,-0.026533380784665918,-0.00760963077786388,-0.031063922458838253,-0.02759298570322214,-0.0023948260439759722,-0.013422123755550406,-0.06493810151233667,0.025228435514441476,-0.04626782624502128,-0.031852869795031775,0.005684682406928244,-0.04328923359135567,-0.0034849189771461835,-0.0036484294197463214,0.011564737470665765,-0.0017157425676632989,0.020559641419123077,,,,,,,,,0.005684682406928234,0.005684682406928264,0.0056846824069282315,0.029204648899434478,0.0056846824069282315,-0.04328923359135555,-0.04328923359135566,-0.04328923359135546,-0.04328923359135546
longitude,0.0037503989516593852,,-0.004117745921515799,-0.021932217315615076,-0.014869719970023532,-0.13449116647829704,1.0,0.012490461874301395,0.012826673135070294,0.019248829157880735,0.014869727214866145,0.0340374315849834,0.05020667024630002,0.04600913908812888,0.030299718718160944,0.03545674658916051,0.029550349689323165,0.04309832774727075,0.0337407335463094,,0.03367620159480876,0.0224095296462904,0.029797262329764214,0.01786366698850932,-0.061259732345915884,-0.06356739478785435,-0.05159598760247586,0.03386936429401537,-0.0597076496272951,-0.0482610891750648,-0.0693747970147314,-0.07159081689045389,-0.0661330175618693,-0.07983346599197516,-0.033366594328119836,-0.03416512582653832,-0.12902531071781145,-0.066793768388278,0.03872744786582659,0.03829457231557942,0.005542141245852635,-0.002293985739829074,-0.04889732156233367,-0.0052452697411234555,-0.06263409177027078,-0.0021634943960473934,-0.05631695330717594,-0.06334320028173927,-0.011743673026005283,-0.0024514271961579726,-0.005245269741123463,-0.06838214518016002,-0.06263409177027034,-0.061259732345915974,-0.06240152065384807,-0.04889732156233339,-0.017863666988509302,-0.04826108917506504,-0.04271287113322386,-0.019146679111342824,-0.0693747970147314,-0.012248565594461027,-0.01365878703049103,-0.045574568166261896,0.03872744786582659,0.03813371967788729,,,,,,,,,-0.019146679111342785,-0.019146679111342723,-0.01914667911134268,0.021431158682439798,-0.01914667911134268,-0.06937479701473152,-0.06937479701473141,-0.06937479701473151,-0.06937479701473151
accommodates,0.09869732641324827,,0.06845127497758259,0.017602982077002807,0.005233213974024369,-0.038233943602683784,0.012490461874301395,1.0,0.5762353577663097,0.8554697050935129,0.8944846133778667,-0.14386698435545464,-0.03605592015598638,-0.16430949670842127,-0.1723254465884852,0.013177341119499772,0.008536996758590773,-0.156122059543542,0.011335615240025012,,0.06670398777130314,0.07294322525711618,0.06605157534920929,0.0426656088865002,-0.05483796089819883,0.04145092446055995,0.022601390197574567,0.06457909812728034,0.013623995361854099,0.03690171434851496,0.345392470892489,0.10090272961906621,0.05771340014440406,0.07221225099934646,0.07805633041392522,0.07095798294056545,0.05059703139981883,0.08464959134553353,-0.1578214942732471,-0.13659555103697874,-0.15285620733952668,-0.07076837001290538,0.011550229724177147,0.033832433858001006,0.6018900233897129,-0.03598655229249063,-0.3551985325310542,0.0586322453703695,0.9339634145949162,0.859688590126216,0.03383243385800106,0.6330633018924448,0.6018900233897154,-0.054837960898198874,0.04331451843489801,0.011550229724176977,-0.042665608886500006,0.03690171434851469,-0.0044659565071422675,0.10010632713550954,0.345392470892489,-0.0531815389457744,-0.0368272967489439,0.20834131284085275,-0.1578214942732471,-0.012478758047331492,,,,,,,,,0.1001063271355097,0.1001063271355097,0.1001063271355103,-0.08792090600605235,0.1001063271355103,0.3453924708924895,0.3453924708924896,0.3453924708924896,0.3453924708924896
bathrooms,0.13079251135188433,,0.07511799751981753,-0.002929340631895545,-0.0054239226601976095,-0.031651653276541666,0.012826673135070294,0.5762353577663097,1.0,0.6297636312377749,0.590272326426915,-0.07913253860652354,-0.06731620220285298,-0.0969250754600014,-0.10612572659483292,-0.0603726704913911,-0.06651153040138592,-0.08948039276327222,-0.06554464594083258,,0.049831439438258844,0.06086172269078517,0.04684256158527947,0.033219396055271355,-0.10225239705261897,-0.025212270984215728,-0.020610218219928575,0.043183501228253464,-0.050158209690741674,-0.029472061192529545,0.21724000125251397,0.04877142079735438,0.022256906682006413,-0.0010547213917484173,0.043655824178871955,0.034796492789891324,-0.0010694469168262414,0.045109508349271896,-0.08076091070873617,-0.08780261573189244,0.03657396831603564,0.076226227961525,-0.02316289457439896,0.02318454860651867,0.34741760104568653,-0.022662705414466855,-0.13233635124454707,-0.033187282366480594,0.4754945639344112,0.5511782853699434,0.023184548606518838,0.3780095098744276,0.34741760104568636,-0.10225239705261861,-0.049702360775402674,-0.023162894574398685,-0.03321939605527106,-0.029472061192529812,-0.05369352102910545,0.062121568198854865,0.21724000125251397,-0.03255936870709554,-0.043195817503798035,0.10252094268355416,-0.08076091070873617,0.04617282870183753,,,,,,,,,0.06212156819885489,0.06212156819885444,0.06212156819885479,-0.022760762171528167,0.06212156819885479,0.21724000125251458,0.21724000125251394,0.21724000125251366,0.21724000125251366
bedrooms,0.1286652854400169,,0.06650806760919278,0.007368784374771257,0.00013519585765923677,-0.018802643313619163,0.019248829157880735,0.8554697050935129,0.6297636312377749,1.0,0.83101377239354,-0.0837939815563701,-0.07592776235595282,-0.10028373057320727,-0.15152763105629521,-0.05397103447876505,-0.06603380247104612,-0.09512738194672254,-0.0610401902656218,,0.051652512611460796,0.04637822130274649,0.03185250694996653,-0.006194429739023113,-0.13069291749888093,-0.041997031784644145,-0.04373322320720489,0.02747983011273848,-0.06067044505816933,-0.0480932103775299,0.2720993314719647,0.09592427017639156,0.049192828782185886,0.053549884058340505,0.09668940383328549,0.07981913179254842,0.043039385353748544,0.08551476839557023,-0.1553744688806545,-0.14345865609789543,-0.09015517600646487,-0.035779300461992694,-0.07011831844903124,0.03772820202660181,0.5562096207654426,-0.025048118441578608,-0.23124123016618475,-0.03056677141065533,0.777582390361472,0.7965468857487304,0.03772820202660198,0.5896470076601973,0.5562096207654447,-0.13069291749888143,-0.04976613822940087,-0.07011831844903098,0.006194429739023133,-0.04809321037752952,-0.05717322952163068,0.10516313570545449,0.2720993314719647,-0.033328505171830364,-0.04723939247640202,0.20561905007160564,-0.1553744688806545,-0.017673794623308536,,,,,,,,,0.10516313570545453,0.10516313570545434,0.10516313570545453,-0.06145390418152293,0.10516313570545453,0.2720993314719657,0.27209933147196513,0.2720993314719636,0.2720993314719636
