,id,scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_clean
id,1.0,,0.4327098392485136,0.10139595893515131,0.12167709302544029,,-0.05321618931161402,0.06926519818195331,0.04682812351648564,0.017820358409011475,0.11783604725196468,0.020730072156006456,-0.03296055632549683,-0.18537711653254899,-0.05523602118447412,-0.009457297499053599,-0.3133568562205876,-0.28233329654165384,-0.04880201994186678,-0.2933022076942993,,0.08294835618331803,0.08341201379506977,0.08396561936451113,0.060365106587384865,-0.48383229309550674,-0.1560519990428138,-0.027985296632856746,0.07581215113461091,-0.2608024903308491,-0.2166486659580636,-0.0753523478600207,-0.059222263249983656,-0.09306093945542818,0.0022512719994825904,-0.11511138270884716,-0.08942403016355896,-0.1323959007417684,-0.08313737516211886,0.11157022489385511,0.06849567496362872,0.14431909433683293,-0.06366514126376767,0.11141322522920073,0.05090911446271159
scrape_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_id,0.4327098392485136,,1.0,0.049510633514946376,0.06605673810543711,,-0.07408575413799844,0.03742912532595043,0.017406817370280454,-0.0605800893577974,0.08172486810085879,0.00978050943850653,-0.09319604517872983,-0.09708437228369178,-0.08767577885312121,-0.09067082561445682,-0.2135009021027454,-0.15804441676339126,-0.09194153906284526,-0.18276181997003388,,0.12052378182761372,0.1242541161333065,0.12133905331552408,0.03740126869765728,-0.22171354907524204,-0.06458230051493166,-0.02752684967209794,0.08850853906437307,-0.11233054641768647,-0.13612639948607103,-0.024559816599179694,-0.12967686148782745,-0.12579129558172605,-0.08067381335236169,-0.14233052553469905,-0.15778268576724527,-0.1477928028965931,-0.12802415481161816,-0.08286420700847227,-0.16435656902901685,0.23978280878143055,-0.011262593332234942,0.08589486924019223,0.11559683747224296
host_listings_count,0.10139595893515131,,0.049510633514946376,1.0,0.9502666902005928,,-0.07753045594885329,-0.09887044944743766,-0.1247498562124065,-0.06125119282341796,-0.08888346883664415,-0.08803200595514016,0.08978589035270497,0.2930986016842313,0.10151338070770959,0.6790523028309988,0.1006100071827811,0.1388068681001812,0.13201234054176583,0.11097491699429218,,-0.03442631629216613,-0.04864284310547479,-0.04448542622356731,0.1099325970891305,-0.16161862975363897,-0.18414543906291256,-0.18170869153660527,0.010379365629739176,-0.1680174378760234,-0.23646905143873415,-0.047093486729131495,-0.09703124663179584,-0.10681390906267671,-0.037389030248681,-0.10000641264621073,-0.173929014756219,0.008069750999395485,-0.20959952904126228,0.5668794063388971,0.5592266874869458,0.044233484120645046,-0.022445674936938977,-0.14797337678109704,0.25314709952328024
host_total_listings_count,0.12167709302544029,,0.06605673810543711,0.9502666902005928,1.0,,-0.08088140948716353,-0.10595907590637356,-0.09264305842594447,-0.042176455532553274,-0.06818651584963768,-0.04876175470124523,0.06886687907152,0.28649944467853433,0.07851665276228165,0.5791672831858192,0.04549518278060492,0.13570289390848078,0.1035073461050819,0.08522512297383061,,0.016143756125742016,0.001409384558582316,0.0046719954209171475,0.1304632330460846,-0.17537929054610993,-0.1961426107481368,-0.1950201673432965,0.05313615563061861,-0.17809893134219235,-0.2535049038700221,-0.017939723862366974,-0.10590160847071504,-0.11758122843924514,-0.040374646304979195,-0.12095958952081493,-0.18752830076505264,0.013152004619362374,-0.20290005121602822,0.5261147642413196,0.5010090928523183,0.07525352469608922,-0.0246920835121696,-0.16818425234630294,0.3844806270971548
neighbourhood_group_cleansed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude,-0.05321618931161402,,-0.07408575413799844,-0.07753045594885329,-0.08088140948716353,,1.0,-0.4467372633527232,-0.02180513633832923,-0.03564331915439035,0.005181571101282902,-0.018964896079412694,-0.0023081740877257443,-0.009214630359427545,-0.01304285186575864,-0.06289578041277558,-0.022643972283410592,-0.03252191151057488,-0.015830112496726348,-0.031777362193714624,,-0.03030636954600922,-0.029538669197753054,-0.03420495732815038,-0.027343096279200382,0.01031536168925396,-0.00718523300404295,-0.01486442338179355,-0.03560523124907364,0.006701118633195041,0.015318349419266235,-0.030943584105030588,0.050883385041944285,0.05397711623469247,0.02128228382128157,0.050699533461550934,0.05546450193248299,0.1620561431850537,0.06037427143449009,-0.07058542403190349,-0.08681811180382949,0.0430090820707984,-0.04795266325887391,-0.037141897389521616,0.03400784748597222
longitude,0.06926519818195331,,0.03742912532595043,-0.09887044944743766,-0.10595907590637356,,-0.4467372633527232,1.0,0.10651924155332067,0.08036053906883861,0.10381033412141204,0.10705944310721673,-0.07633525670163445,-0.07322606401259696,-0.05913613832385682,-0.06370071305963851,0.020448884738051502,-0.034963981865497096,-0.060389022152538316,-0.010576599706808984,,0.018125740550664213,0.03323701716597739,0.04661108608229423,0.009669733095847453,-0.03395407304651796,0.012094781638347768,0.04870649740842487,0.04356723827797528,0.00792427471684157,0.011264365299145384,-0.04681865057947134,-0.027683694881625157,-0.02675066822491106,-0.029544808815736838,0.000731056349302998,0.004575598402346417,-0.317679611898181,-0.009752691739515535,-0.11963059131159805,-0.10557800373604595,-0.03898559228311779,0.010222189874927309,0.01623925480900915,-0.07397402924637331
accommodates,0.04682812351648564,,0.017406817370280454,-0.1247498562124065,-0.09264305842594447,,-0.02180513633832923,0.10651924155332067,1.0,0.6458796007472585,0.7409323889333789,0.8184504881319941,-0.13858669708256632,-0.015594637415476023,-0.16040653442442607,-0.15544735686505418,0.062157997051177055,0.08799581689624755,-0.15766097173266969,0.07555506311157904,,0.06825726376183125,0.09403057967963908,0.08689895501754745,0.03109888512123141,0.012088540284257222,0.09287528490960571,0.10171478092046693,0.06755885850665165,0.07770623224316071,0.06865442158271608,0.2252804235456567,0.05878789285460556,0.0473208878182336,0.06313902894479242,0.03551468504955064,0.037379758808112985,-0.020434264259554368,0.05583728830432976,-0.12516240008520843,-0.07516419859114702,-0.19832025931710587,-0.0076759017113944466,0.06546086945806334,0.13092781889716268
bathrooms,0.017820358409011475,,-0.0605800893577974,-0.06125119282341796,-0.042176455532553274,,-0.03564331915439035,0.08036053906883861,0.6458796007472585,1.0,0.5725645108779784,0.5891498874574382,-0.05015879601075161,-0.006450193933355999,-0.06491918848660712,-0.056625428004218104,0.02048346066088203,0.037618704770259075,-0.06017468670304443,0.029163658575444208,,0.05145407602919691,0.05839052169303545,0.04281239197446604,0.029042426897255554,-0.08329487120086311,-0.03333644318456635,-0.016228107651330745,0.026267339734399243,-0.038798785417544474,-0.025484622143438326,0.14739610977886494,0.0026338605689443704,-0.0076408538081252355,-0.030352130986246104,0.0037263168745600007,-0.002230844684439634,-0.05063926779552626,0.00046827223160122024,-0.12348722079999122,-0.037991697899908534,-0.2746804562940827,-0.0338595769587902,-0.08269189044047282,0.08612603051579898
