room_type,size_bin,segment,n_listings,n_with_roi,median_cash_on_cash_roi,median_cap_rate,median_revenue_yield,median_occupancy_rate,median_est_annual_revenue,median_price_clean,pct_of_market,roi_rank,city
Private room,Unknown,Private room × Unknown,718,2,1499.911213467532,308.50293305131476,308.50293305131476,0.38082191780821917,1315624.0,4762.0,4.7818847818847825,1,Austin
Entire home/apt,3+BR,Entire home/apt × 3+BR,4525,3556,-15.232405912397025,5.474209175328926,5.474209175328926,0.2534246575342466,23345.0,251.0,30.136530136530137,2,Austin
Private room,2BR,Private room × 2BR,187,76,-17.067303611987896,5.107229635410752,5.107229635410752,0.2602739726027397,21780.0,145.5,1.2454212454212454,3,Austin
Entire home/apt,2BR,Entire home/apt × 2BR,3226,2290,-24.980226662811393,3.524645025246052,3.524645025246052,0.2958904109589041,15031.0,138.0,21.485181485181485,4,Austin
Entire home/apt,Studio,Entire home/apt × Studio,558,558,-28.632435183083317,2.7942033211916675,2.7942033211916675,0.3589041095890411,11916.0,92.0,3.7162837162837166,5,Austin
Entire home/apt,1BR,Entire home/apt × 1BR,3812,2727,-29.44846636449881,2.6309970849085693,2.6309970849085693,0.29863013698630136,11220.0,101.0,25.387945387945386,6,Austin
Private room,Studio,Private room × Studio,57,57,-31.880145488429456,2.1446612601224397,2.1446612601224397,0.09315068493150686,9146.0,155.0,0.37962037962037964,7,Austin
Private room,3+BR,Private room × 3+BR,69,41,-32.07594607362541,2.1055011430832478,2.1055011430832478,0.40821917808219177,8979.0,111.0,0.4595404595404595,8,Austin
Private room,1BR,Private room × 1BR,1573,1275,-33.8803598497726,1.7446183878538108,1.7446183878538108,0.34794520547945207,7440.0,57.0,10.476190476190476,9,Austin
Shared room,1BR,Shared room × 1BR,70,69,-41.740522263866644,0.17258590503500063,0.17258590503500063,0.10684931506849316,736.0,17.0,0.4662004662004662,10,Austin
Entire home/apt,Unknown,Entire home/apt × Unknown,205,13,-42.186056529582004,0.08347905189192965,0.08347905189192965,0.010958904109589041,356.0,89.0,1.3653013653013655,11,Austin
