city,room_type,price_clean,number_of_reviews,availability_365
Albany,Entire home/apt,93.0,9,188
Albany,Entire home/apt,91.0,311,354
Albany,Entire home/apt,64.0,373,12
Albany,Entire home/apt,95.0,332,335
Albany,Entire home/apt,89.0,623,246
Albany,Private room,60.0,434,242
Albany,Private room,47.0,845,157
Albany,Entire home/apt,227.0,209,346
Albany,Private room,56.0,231,364
Albany,Private room,47.0,29,308
Albany,Entire home/apt,219.0,194,343
Albany,Private room,45.0,54,365
Albany,Entire home/apt,197.0,122,347
Albany,Private room,56.0,51,116
Albany,Private room,60.0,523,345
Albany,Private room,,132,364
Albany,Private room,41.0,56,335
Albany,Entire home/apt,555.0,58,364
Albany,Private room,71.0,88,241
Albany,Entire home/apt,215.0,1,89
Albany,Entire home/apt,225.0,124,342
Albany,Entire home/apt,177.0,86,359
Albany,Entire home/apt,116.0,131,352
Albany,Entire home/apt,68.0,48,273
Albany,Private room,43.0,47,330
Albany,Entire home/apt,60.0,136,272
Albany,Entire home/apt,749.0,9,365
Albany,Entire home/apt,69.0,183,353
Albany,Private room,32.0,34,310
Albany,Private room,42.0,26,342
Albany,Private room,72.0,129,317
Albany,Private room,72.0,54,323
Albany,Entire home/apt,121.0,962,159
Albany,Entire home/apt,81.0,154,346
Albany,Private room,76.0,30,346
Albany,Entire home/apt,250.0,16,179
Albany,Private room,107.0,102,361
Albany,Private room,51.0,272,201
Albany,Entire home/apt,95.0,719,350
Albany,Entire home/apt,70.0,654,344
Albany,Private room,,7,143
Albany,Entire home/apt,92.0,120,338
Albany,Private room,54.0,71,254
Albany,Private room,47.0,32,355
Albany,Private room,,219,0
Albany,Private room,104.0,1,270
Albany,Entire home/apt,101.0,457,359
Albany,Entire home/apt,128.0,482,348
Albany,Entire home/apt,125.0,325,57
Albany,Private room,66.0,213,213
Albany,Entire home/apt,94.0,320,53
Albany,Entire home/apt,92.0,54,365
Albany,Private room,59.0,457,239
Albany,Entire home/apt,121.0,52,287
Albany,Entire home/apt,79.0,24,365
Albany,Entire home/apt,95.0,137,355
Albany,Entire home/apt,127.0,173,247
Albany,Entire home/apt,127.0,4,95
Albany,Entire home/apt,88.0,25,365
Albany,Entire home/apt,179.0,27,128
Albany,Entire home/apt,160.0,0,365
Albany,Entire home/apt,105.0,54,83
Albany,Entire home/apt,150.0,127,260
Albany,Entire home/apt,149.0,124,75
Albany,Entire home/apt,162.0,23,345
Albany,Entire home/apt,181.0,131,4
Albany,Entire home/apt,,91,0
Albany,Entire home/apt,116.0,382,326
Albany,Entire home/apt,,308,347
Albany,Entire home/apt,145.0,27,364
Albany,Entire home/apt,138.0,129,339
Albany,Entire home/apt,109.0,49,79
Albany,Entire home/apt,97.0,165,242
Albany,Entire home/apt,109.0,100,81
Albany,Entire home/apt,137.0,129,349
Albany,Entire home/apt,118.0,148,78
Albany,Entire home/apt,152.0,267,317
Albany,Entire home/apt,93.0,105,258
Albany,Entire home/apt,96.0,72,346
Albany,Entire home/apt,83.0,75,324
Albany,Private room,119.0,185,73
Albany,Entire home/apt,140.0,26,339
Albany,Entire home/apt,140.0,11,320
Albany,Entire home/apt,105.0,172,227
Albany,Entire home/apt,192.0,172,182
Albany,Entire home/apt,119.0,234,220
Albany,Private room,60.0,84,296
Albany,Entire home/apt,429.0,47,339
Albany,Entire home/apt,94.0,106,179
Albany,Entire home/apt,97.0,203,56
Albany,Entire home/apt,104.0,95,84
Albany,Entire home/apt,107.0,194,315
Albany,Entire home/apt,102.0,19,365
Albany,Entire home/apt,109.0,46,82
Albany,Entire home/apt,67.0,270,185
Albany,Entire home/apt,115.0,30,139
Albany,Entire home/apt,,10,266
Albany,Entire home/apt,100.0,85,83
Albany,Entire home/apt,88.0,95,360
Albany,Entire home/apt,87.0,45,339
Albany,Entire home/apt,103.0,81,167
Albany,Entire home/apt,96.0,349,69
Albany,Entire home/apt,94.0,77,363
Albany,Entire home/apt,151.0,145,229
Albany,Entire home/apt,109.0,102,22
Albany,Entire home/apt,465.0,97,259
Albany,Entire home/apt,120.0,87,53
Albany,Entire home/apt,105.0,87,81
Albany,Entire home/apt,117.0,232,337
Albany,Entire home/apt,76.0,69,53
Albany,Entire home/apt,188.0,172,159
Albany,Entire home/apt,101.0,287,360
Albany,Entire home/apt,178.0,130,71
Albany,Entire home/apt,237.0,50,349
Albany,Entire home/apt,,3,365
Albany,Entire home/apt,,0,0
Albany,Entire home/apt,78.0,118,277
Albany,Entire home/apt,105.0,76,354
Albany,Entire home/apt,125.0,155,356
Albany,Entire home/apt,139.0,260,309
Albany,Entire home/apt,154.0,246,51
Albany,Entire home/apt,128.0,71,257
Albany,Entire home/apt,78.0,62,349
Albany,Entire home/apt,68.0,2,363
Albany,Entire home/apt,118.0,15,346
Albany,Private room,127.0,138,87
Albany,Entire home/apt,106.0,205,350
Albany,Entire home/apt,121.0,10,285
Albany,Entire home/apt,1314.0,17,339
Albany,Entire home/apt,100.0,62,83
Albany,Private room,62.0,0,88
Albany,Entire home/apt,99.0,58,354
Albany,Entire home/apt,,103,0
Albany,Entire home/apt,1050.0,10,365
Albany,Entire home/apt,92.0,8,203
Albany,Entire home/apt,140.0,5,309
Albany,Entire home/apt,126.0,2,307
Albany,Entire home/apt,113.0,113,158
Albany,Private room,68.0,145,84
Albany,Private room,68.0,126,86
Albany,Entire home/apt,,28,0
Albany,Entire home/apt,140.0,3,278
Albany,Entire home/apt,156.0,4,96
Albany,Entire home/apt,105.0,292,333
Albany,Entire home/apt,104.0,104,275
Albany,Entire home/apt,279.0,9,177
Albany,Entire home/apt,347.0,2,2
Albany,Entire home/apt,202.0,5,13
Albany,Entire home/apt,87.0,4,141
Albany,Entire home/apt,110.0,10,364
Albany,Entire home/apt,120.0,70,6
Albany,Entire home/apt,178.0,258,52
Albany,Entire home/apt,123.0,77,43
Albany,Entire home/apt,88.0,92,358
Albany,Entire home/apt,250.0,46,1
Albany,Private room,45.0,39,336
Albany,Entire home/apt,89.0,21,329
Albany,Entire home/apt,78.0,41,352
Albany,Entire home/apt,104.0,31,360
Albany,Private room,47.0,19,213
Albany,Entire home/apt,93.0,14,277
Albany,Entire home/apt,105.0,59,39
Albany,Entire home/apt,105.0,46,308
Albany,Private room,82.0,37,89
Albany,Entire home/apt,72.0,69,264
Albany,Private room,47.0,43,153
Albany,Entire home/apt,71.0,3,364
Albany,Entire home/apt,,13,0
Albany,Entire home/apt,77.0,4,362
Albany,Entire home/apt,111.0,36,90
Albany,Entire home/apt,215.0,127,345
Albany,Entire home/apt,,19,289
Albany,Entire home/apt,800.0,7,82
Albany,Private room,131.0,12,103
Albany,Private room,56.0,21,118
Albany,Private room,160.0,6,105
Albany,Entire home/apt,185.0,4,338
Albany,Entire home/apt,137.0,32,307
Albany,Private room,133.0,6,106
Albany,Private room,127.0,10,93
Albany,Entire home/apt,99.0,47,152
Albany,Entire home/apt,86.0,1,158
Albany,Private room,58.0,20,345
Albany,Entire home/apt,84.0,47,364
Albany,Private room,,3,96
Albany,Entire home/apt,,0,0
Albany,Entire home/apt,84.0,54,348
Albany,Entire home/apt,254.0,117,326
Albany,Entire home/apt,120.0,6,365
Albany,Entire home/apt,120.0,12,364
Albany,Entire home/apt,92.0,2,364
Albany,Entire home/apt,356.0,135,112
Albany,Entire home/apt,219.0,19,277
Albany,Private room,86.0,197,339
Albany,Private room,76.0,16,81
Albany,Entire home/apt,90.0,26,363
Albany,Private room,56.0,4,187
Albany,Entire home/apt,89.0,20,361
Albany,Entire home/apt,66.0,70,248
